"","day","rrday1","snow1","tday1","tmin1","tmax1","date","file","main.site","weekday","yday","count","name","rrday","snow","tday","tmax","tmin","year","holiday","earth.phase","dsnow","dtemp","july","near.july","main.site.named","predCount","residuals"
"3706",976,0,0,19.6,15.1,22.4,2006-08-03,"data/2006_08_elokuu/12103110.206","1210","Thursday",215,200,"Helsinki Kaisaniemi",0,0,17.9,20.8,15.7,6,FALSE,0.720667149553861,0,1.7,FALSE,TRUE,"1210
Tuntematon",1914.9240886747,-8.21442588096137
"3580",936,0.1,0,17.2,16.6,20.3,2006-06-24,"data/2006_06_kesakuu/11602111.206","1160","Saturday",175,66,"Helsinki Kaisaniemi",0,0,17.3,20.9,13.4,6,TRUE,0.997001169925015,0,-0.100000000000001,FALSE,TRUE,"1160
Kantelettarentie",615.695302857253,-7.36368291220449
"2125",554,0,0,11.2,9.2,12.9,2005-06-07,"data/2005_06_kesakuu/12102312.205","1210","Tuesday",158,252,"Helsinki Kaisaniemi",0,0,12,15.6,6.6,5,FALSE,0.976938492777182,0,-0.800000000000001,FALSE,FALSE,"1210
Tuntematon",2081.16516999739,-7.01877429393456
"4580",1188,4.6,18,0.8,0.4,1.7,2007-03-03,"data/2007_03_maaliskuu/11700909.207","1170","Saturday",62,49,"Helsinki Kaisaniemi",0.5,18,1.3,2,0.2,7,FALSE,-0.292600335633348,0,-0.5,FALSE,FALSE,"1170
Lauttasaaren silta",447.36482589444,-6.9189250294469
"10464",2175,0,0,-3,-4,-1.6,2009-11-14,"data/2009_11_marraskuu/11704517.209","1170","Saturday",318,122,"Helsinki Kaisaniemi",0,0,-1.3,2.5,-6.5,9,FALSE,-0.823923005757554,0,-1.7,FALSE,FALSE,"1170
Lauttasaaren silta",1015.63331064872,-6.84370447326839
"10263",2137,1,0,5,2,9.4,2009-10-07,"data/2009_10_lokakuu/11704017.209","1170","Wednesday",280,521,"Helsinki Kaisaniemi",14,0,9.5,11.6,2.5,9,FALSE,-0.309016994374947,0,-4.5,FALSE,FALSE,"1170
Lauttasaaren silta",3407.50168689057,-5.45328875090448
"3711",977,0,0,17.9,15.7,20.8,2006-08-04,"data/2006_08_elokuu/12103110.206","1210","Friday",216,316,"Helsinki Kaisaniemi",0,0,18.6,23.8,14.7,6,FALSE,0.70862667826446,0,-0.700000000000003,FALSE,TRUE,"1210
Tuntematon",2034.19938517505,-5.29860629375606
"8471",1870,0.1,0,4.6,3.4,5.6,2009-01-13,"data/2009_01_tammikuu/11700209.209","1170","Tuesday",13,310,"Helsinki Kaisaniemi",0,0,4.2,5.3,3.9,9,FALSE,-0.908817637339503,0,0.399999999999999,FALSE,FALSE,"1170
Lauttasaaren silta",1949.46991785002,-5.15174046948405
"8459",1867,0,7,0,-2.4,3.1,2009-01-10,"data/2009_01_tammikuu/11700209.209","1170","Saturday",10,98,"Helsinki Kaisaniemi",0,5,-0.7,3.7,-7.2,9,FALSE,-0.929141411403174,2,0.7,FALSE,FALSE,"1170
Lauttasaaren silta",638.686281298218,-5.09091349927807
"10430",2168,13.3,0,1.9,0.7,4.2,2009-11-07,"data/2009_11_marraskuu/11704517.209","1170","Saturday",311,178,"Helsinki Kaisaniemi",0,0,3.4,4.2,0.9,9,FALSE,-0.749826401204568,0,-1.5,FALSE,FALSE,"1170
Lauttasaaren silta",1123.73047840656,-5.07878786919012
