piste;suunta;aika;nimi;ha;pa;ka;ra;la;mp;pp;rv;autot;;
A01;1;0;LAUTTASAAREN SILTA;76;5;1;0;5;0;1;0;87;;ha=henkilöautot
A01;1;100;LAUTTASAAREN SILTA;65;5;1;0;4;0;0;0;75;;pa=pakettiautot
A01;1;200;LAUTTASAAREN SILTA;61;4;1;0;4;0;0;0;70;;ka=kuorma-autot
A01;1;300;LAUTTASAAREN SILTA;52;4;1;0;3;0;0;0;60;;ra=rekka-autot
A01;1;400;LAUTTASAAREN SILTA;31;2;0;0;2;0;0;0;35;;la=linja-autot
A01;1;500;LAUTTASAAREN SILTA;76;5;1;0;5;0;0;0;87;;mp=moottoripyörät
A01;1;600;LAUTTASAAREN SILTA;42;4;1;0;7;0;0;0;54;;pp=polkupyörät
A01;1;615;LAUTTASAAREN SILTA;45;4;3;0;8;0;3;0;60;;rv=raitiovaunut
A01;1;630;LAUTTASAAREN SILTA;60;6;2;0;9;1;11;0;77;;
A01;1;645;LAUTTASAAREN SILTA;77;6;3;0;10;1;11;0;96;;Suunta 1 on keskustaan, linjalla D D1-D13 länteen
A01;1;700;LAUTTASAAREN SILTA;40;12;0;0;9;0;12;0;61;;Aika on alkava tunti tai 15 minuuttia
A01;1;715;LAUTTASAAREN SILTA;55;14;4;0;8;0;25;0;81;;
A01;1;730;LAUTTASAAREN SILTA;84;46;6;0;12;6;19;0;148;;
A01;1;745;LAUTTASAAREN SILTA;90;12;0;0;13;4;9;0;115;;
A01;1;800;LAUTTASAAREN SILTA;105;15;0;0;12;0;25;0;132;;
A01;1;815;LAUTTASAAREN SILTA;66;0;3;0;9;0;25;0;78;;
A01;1;830;LAUTTASAAREN SILTA;97;6;12;0;9;0;43;0;124;;
A01;1;845;LAUTTASAAREN SILTA;113;22;0;0;15;3;34;0;150;;
A01;1;900;LAUTTASAAREN SILTA;326;47;12;0;37;6;93;0;422;;
A01;1;1000;LAUTTASAAREN SILTA;260;93;24;0;12;6;32;0;389;;
A01;1;1100;LAUTTASAAREN SILTA;316;58;13;0;12;15;33;0;399;;
A01;1;1200;LAUTTASAAREN SILTA;353;69;25;1;21;0;38;0;469;;
A01;1;1300;LAUTTASAAREN SILTA;388;64;20;0;23;4;60;0;495;;
A01;1;1400;LAUTTASAAREN SILTA;385;71;12;0;29;9;97;0;497;;
A01;1;1500;LAUTTASAAREN SILTA;96;10;3;0;6;2;20;0;115;;
A01;1;1515;LAUTTASAAREN SILTA;109;11;3;0;11;5;16;0;134;;
A01;1;1530;LAUTTASAAREN SILTA;120;14;0;0;10;2;28;0;144;;
A01;1;1545;LAUTTASAAREN SILTA;105;13;2;0;6;2;44;0;126;;
A01;1;1600;LAUTTASAAREN SILTA;119;15;1;0;10;12;44;0;145;;
A01;1;1615;LAUTTASAAREN SILTA;130;9;2;0;6;4;53;0;147;;
A01;1;1630;LAUTTASAAREN SILTA;113;13;0;0;9;0;40;0;135;;
A01;1;1645;LAUTTASAAREN SILTA;110;5;0;0;8;2;44;0;123;;
A01;1;1700;LAUTTASAAREN SILTA;120;8;0;0;7;4;44;0;135;;
A01;1;1715;LAUTTASAAREN SILTA;90;4;0;0;5;4;44;0;99;;
A01;1;1730;LAUTTASAAREN SILTA;73;5;1;0;6;2;41;0;85;;
A01;1;1745;LAUTTASAAREN SILTA;80;6;1;0;8;3;43;0;95;;
A01;1;1800;LAUTTASAAREN SILTA;334;28;1;1;26;7;114;0;390;;
A01;1;1900;LAUTTASAAREN SILTA;422;24;5;0;28;3;41;0;479;;
A01;1;2000;LAUTTASAAREN SILTA;329;23;5;0;21;3;12;0;378;;
A01;1;2100;LAUTTASAAREN SILTA;266;20;4;0;16;0;1;0;306;;
A01;1;2200;LAUTTASAAREN SILTA;170;12;3;0;10;0;1;0;195;;
A01;1;2300;LAUTTASAAREN SILTA;130;9;2;0;8;0;0;0;149;;
A01;2;0;LAUTTASAAREN SILTA;95;7;1;0;6;0;1;0;109;;
A01;2;100;LAUTTASAAREN SILTA;55;4;1;0;3;0;0;0;63;;
A01;2;200;LAUTTASAAREN SILTA;67;5;1;0;4;0;0;0;77;;
A01;2;300;LAUTTASAAREN SILTA;59;5;1;0;4;0;0;0;69;;
A01;2;400;LAUTTASAAREN SILTA;24;2;0;0;1;0;0;0;27;;
A01;2;500;LAUTTASAAREN SILTA;56;4;1;0;3;0;1;0;64;;
A01;2;600;LAUTTASAAREN SILTA;26;4;2;0;9;0;1;0;41;;
A01;2;615;LAUTTASAAREN SILTA;28;3;2;0;9;0;3;0;42;;
