"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10700102,107,"2003-12-30","Tuesday",0,NA
"36",10700102,107,"2003-12-30","Tuesday",1,NA
"71",10700102,107,"2003-12-30","Tuesday",2,NA
"106",10700102,107,"2003-12-30","Tuesday",3,NA
"141",10700102,107,"2003-12-30","Tuesday",4,NA
"176",10700102,107,"2003-12-30","Tuesday",5,NA
"211",10700102,107,"2003-12-30","Tuesday",6,NA
"246",10700102,107,"2003-12-30","Tuesday",7,NA
"281",10700102,107,"2003-12-30","Tuesday",8,NA
"316",10700102,107,"2003-12-30","Tuesday",9,NA
"351",10700102,107,"2003-12-30","Tuesday",10,NA
"386",10700102,107,"2003-12-30","Tuesday",11,NA
"421",10700102,107,"2003-12-30","Tuesday",12,NA
"456",10700102,107,"2003-12-30","Tuesday",13,14
"491",10700102,107,"2003-12-30","Tuesday",14,20
"526",10700102,107,"2003-12-30","Tuesday",15,27
"561",10700102,107,"2003-12-30","Tuesday",16,19
"596",10700102,107,"2003-12-30","Tuesday",17,21
"631",10700102,107,"2003-12-30","Tuesday",18,11
"666",10700102,107,"2003-12-30","Tuesday",19,5
"701",10700102,107,"2003-12-30","Tuesday",20,38
"736",10700102,107,"2003-12-30","Tuesday",21,6
"771",10700102,107,"2003-12-30","Tuesday",22,0
"806",10700102,107,"2003-12-30","Tuesday",23,4
"2",10700102,107,"2003-12-31","Wednesday",0,0
"37",10700102,107,"2003-12-31","Wednesday",1,2
"72",10700102,107,"2003-12-31","Wednesday",2,0
"107",10700102,107,"2003-12-31","Wednesday",3,1
"142",10700102,107,"2003-12-31","Wednesday",4,0
"177",10700102,107,"2003-12-31","Wednesday",5,1
"212",10700102,107,"2003-12-31","Wednesday",6,7
"247",10700102,107,"2003-12-31","Wednesday",7,10
"282",10700102,107,"2003-12-31","Wednesday",8,13
"317",10700102,107,"2003-12-31","Wednesday",9,13
"352",10700102,107,"2003-12-31","Wednesday",10,8
"387",10700102,107,"2003-12-31","Wednesday",11,12
"422",10700102,107,"2003-12-31","Wednesday",12,9
"457",10700102,107,"2003-12-31","Wednesday",13,15
"492",10700102,107,"2003-12-31","Wednesday",14,17
"527",10700102,107,"2003-12-31","Wednesday",15,28
"562",10700102,107,"2003-12-31","Wednesday",16,12
"597",10700102,107,"2003-12-31","Wednesday",17,5
"632",10700102,107,"2003-12-31","Wednesday",18,7
"667",10700102,107,"2003-12-31","Wednesday",19,5
"702",10700102,107,"2003-12-31","Wednesday",20,3
"737",10700102,107,"2003-12-31","Wednesday",21,3
"772",10700102,107,"2003-12-31","Wednesday",22,3
"807",10700102,107,"2003-12-31","Wednesday",23,0
"3",10700102,107,"2004-01-01","Thursday",0,4
"38",10700102,107,"2004-01-01","Thursday",1,2049
"73",10700102,107,"2004-01-01","Thursday",2,2
"108",10700102,107,"2004-01-01","Thursday",3,1
"143",10700102,107,"2004-01-01","Thursday",4,4
"178",10700102,107,"2004-01-01","Thursday",5,2
"213",10700102,107,"2004-01-01","Thursday",6,0
"248",10700102,107,"2004-01-01","Thursday",7,0
"283",10700102,107,"2004-01-01","Thursday",8,2
"318",10700102,107,"2004-01-01","Thursday",9,2
"353",10700102,107,"2004-01-01","Thursday",10,3
"388",10700102,107,"2004-01-01","Thursday",11,7
"423",10700102,107,"2004-01-01","Thursday",12,8
"458",10700102,107,"2004-01-01","Thursday",13,7
"493",10700102,107,"2004-01-01","Thursday",14,7
"528",10700102,107,"2004-01-01","Thursday",15,13
"563",10700102,107,"2004-01-01","Thursday",16,6
"598",10700102,107,"2004-01-01","Thursday",17,1
"633",10700102,107,"2004-01-01","Thursday",18,1
"668",10700102,107,"2004-01-01","Thursday",19,3
"703",10700102,107,"2004-01-01","Thursday",20,1
"738",10700102,107,"2004-01-01","Thursday",21,0
"773",10700102,107,"2004-01-01","Thursday",22,1
"808",10700102,107,"2004-01-01","Thursday",23,1
"4",10700102,107,"2004-01-02","Friday",0,0
"39",10700102,107,"2004-01-02","Friday",1,2
"74",10700102,107,"2004-01-02","Friday",2,0
"109",10700102,107,"2004-01-02","Friday",3,0
"144",10700102,107,"2004-01-02","Friday",4,0
"179",10700102,107,"2004-01-02","Friday",5,0
"214",10700102,107,"2004-01-02","Friday",6,5
"249",10700102,107,"2004-01-02","Friday",7,6
"284",10700102,107,"2004-01-02","Friday",8,11
"319",10700102,107,"2004-01-02","Friday",9,7
"354",10700102,107,"2004-01-02","Friday",10,4
"389",10700102,107,"2004-01-02","Friday",11,12
"424",10700102,107,"2004-01-02","Friday",12,9
"459",10700102,107,"2004-01-02","Friday",13,8
"494",10700102,107,"2004-01-02","Friday",14,16
"529",10700102,107,"2004-01-02","Friday",15,10
"564",10700102,107,"2004-01-02","Friday",16,8
"599",10700102,107,"2004-01-02","Friday",17,14
"634",10700102,107,"2004-01-02","Friday",18,8
"669",10700102,107,"2004-01-02","Friday",19,8
"704",10700102,107,"2004-01-02","Friday",20,5
"739",10700102,107,"2004-01-02","Friday",21,2
"774",10700102,107,"2004-01-02","Friday",22,3
"809",10700102,107,"2004-01-02","Friday",23,4
"5",10700102,107,"2004-01-03","Saturday",0,1
"40",10700102,107,"2004-01-03","Saturday",1,2
"75",10700102,107,"2004-01-03","Saturday",2,64
"110",10700102,107,"2004-01-03","Saturday",3,0
"145",10700102,107,"2004-01-03","Saturday",4,0
"180",10700102,107,"2004-01-03","Saturday",5,0
"215",10700102,107,"2004-01-03","Saturday",6,1
"250",10700102,107,"2004-01-03","Saturday",7,6
"285",10700102,107,"2004-01-03","Saturday",8,5
"320",10700102,107,"2004-01-03","Saturday",9,9
"355",10700102,107,"2004-01-03","Saturday",10,11
"390",10700102,107,"2004-01-03","Saturday",11,5
"425",10700102,107,"2004-01-03","Saturday",12,11
"460",10700102,107,"2004-01-03","Saturday",13,13
"495",10700102,107,"2004-01-03","Saturday",14,6
"530",10700102,107,"2004-01-03","Saturday",15,9
"565",10700102,107,"2004-01-03","Saturday",16,6
"600",10700102,107,"2004-01-03","Saturday",17,2
"635",10700102,107,"2004-01-03","Saturday",18,6
"670",10700102,107,"2004-01-03","Saturday",19,1
"705",10700102,107,"2004-01-03","Saturday",20,1
"740",10700102,107,"2004-01-03","Saturday",21,2
"775",10700102,107,"2004-01-03","Saturday",22,1
"810",10700102,107,"2004-01-03","Saturday",23,1
"6",10700102,107,"2004-01-04","Sunday",0,0
"41",10700102,107,"2004-01-04","Sunday",1,2
"76",10700102,107,"2004-01-04","Sunday",2,1
"111",10700102,107,"2004-01-04","Sunday",3,1
"146",10700102,107,"2004-01-04","Sunday",4,0
"181",10700102,107,"2004-01-04","Sunday",5,0
"216",10700102,107,"2004-01-04","Sunday",6,2
"251",10700102,107,"2004-01-04","Sunday",7,2
"286",10700102,107,"2004-01-04","Sunday",8,4
"321",10700102,107,"2004-01-04","Sunday",9,3
"356",10700102,107,"2004-01-04","Sunday",10,3
"391",10700102,107,"2004-01-04","Sunday",11,4
"426",10700102,107,"2004-01-04","Sunday",12,13
"461",10700102,107,"2004-01-04","Sunday",13,18
"496",10700102,107,"2004-01-04","Sunday",14,11
"531",10700102,107,"2004-01-04","Sunday",15,15
"566",10700102,107,"2004-01-04","Sunday",16,5
"601",10700102,107,"2004-01-04","Sunday",17,1
"636",10700102,107,"2004-01-04","Sunday",18,10
"671",10700102,107,"2004-01-04","Sunday",19,0
"706",10700102,107,"2004-01-04","Sunday",20,3
"741",10700102,107,"2004-01-04","Sunday",21,258
"776",10700102,107,"2004-01-04","Sunday",22,4
"811",10700102,107,"2004-01-04","Sunday",23,2
"7",10700102,107,"2004-01-05","Monday",0,0
"42",10700102,107,"2004-01-05","Monday",1,1
"77",10700102,107,"2004-01-05","Monday",2,0
"112",10700102,107,"2004-01-05","Monday",3,0
"147",10700102,107,"2004-01-05","Monday",4,1
"182",10700102,107,"2004-01-05","Monday",5,4
"217",10700102,107,"2004-01-05","Monday",6,5
"252",10700102,107,"2004-01-05","Monday",7,11
"287",10700102,107,"2004-01-05","Monday",8,27
"322",10700102,107,"2004-01-05","Monday",9,3
"357",10700102,107,"2004-01-05","Monday",10,7
"392",10700102,107,"2004-01-05","Monday",11,21
"427",10700102,107,"2004-01-05","Monday",12,44
"462",10700102,107,"2004-01-05","Monday",13,13
"497",10700102,107,"2004-01-05","Monday",14,11
"532",10700102,107,"2004-01-05","Monday",15,17
"567",10700102,107,"2004-01-05","Monday",16,12
"602",10700102,107,"2004-01-05","Monday",17,21
"637",10700102,107,"2004-01-05","Monday",18,15
"672",10700102,107,"2004-01-05","Monday",19,5
"707",10700102,107,"2004-01-05","Monday",20,4
"742",10700102,107,"2004-01-05","Monday",21,4
"777",10700102,107,"2004-01-05","Monday",22,4
"812",10700102,107,"2004-01-05","Monday",23,2
"8",10700102,107,"2004-01-06","Tuesday",0,1
"43",10700102,107,"2004-01-06","Tuesday",1,2
"78",10700102,107,"2004-01-06","Tuesday",2,3
"113",10700102,107,"2004-01-06","Tuesday",3,0
"148",10700102,107,"2004-01-06","Tuesday",4,0
"183",10700102,107,"2004-01-06","Tuesday",5,2049
"218",10700102,107,"2004-01-06","Tuesday",6,0
"253",10700102,107,"2004-01-06","Tuesday",7,0
"288",10700102,107,"2004-01-06","Tuesday",8,2
"323",10700102,107,"2004-01-06","Tuesday",9,3
"358",10700102,107,"2004-01-06","Tuesday",10,5
"393",10700102,107,"2004-01-06","Tuesday",11,7
"428",10700102,107,"2004-01-06","Tuesday",12,9
"463",10700102,107,"2004-01-06","Tuesday",13,9
"498",10700102,107,"2004-01-06","Tuesday",14,15
"533",10700102,107,"2004-01-06","Tuesday",15,13
"568",10700102,107,"2004-01-06","Tuesday",16,7
"603",10700102,107,"2004-01-06","Tuesday",17,4
"638",10700102,107,"2004-01-06","Tuesday",18,11
"673",10700102,107,"2004-01-06","Tuesday",19,5
"708",10700102,107,"2004-01-06","Tuesday",20,3
"743",10700102,107,"2004-01-06","Tuesday",21,1
"778",10700102,107,"2004-01-06","Tuesday",22,2
"813",10700102,107,"2004-01-06","Tuesday",23,0
"9",10700102,107,"2004-01-07","Wednesday",0,1
"44",10700102,107,"2004-01-07","Wednesday",1,1
"79",10700102,107,"2004-01-07","Wednesday",2,1
"114",10700102,107,"2004-01-07","Wednesday",3,0
"149",10700102,107,"2004-01-07","Wednesday",4,8
"184",10700102,107,"2004-01-07","Wednesday",5,0
"219",10700102,107,"2004-01-07","Wednesday",6,10
"254",10700102,107,"2004-01-07","Wednesday",7,25
"289",10700102,107,"2004-01-07","Wednesday",8,31
"324",10700102,107,"2004-01-07","Wednesday",9,526
"359",10700102,107,"2004-01-07","Wednesday",10,16
"394",10700102,107,"2004-01-07","Wednesday",11,13
"429",10700102,107,"2004-01-07","Wednesday",12,18
"464",10700102,107,"2004-01-07","Wednesday",13,17
"499",10700102,107,"2004-01-07","Wednesday",14,15
"534",10700102,107,"2004-01-07","Wednesday",15,25
"569",10700102,107,"2004-01-07","Wednesday",16,35
"604",10700102,107,"2004-01-07","Wednesday",17,26
"639",10700102,107,"2004-01-07","Wednesday",18,13
"674",10700102,107,"2004-01-07","Wednesday",19,12
"709",10700102,107,"2004-01-07","Wednesday",20,9
"744",10700102,107,"2004-01-07","Wednesday",21,6
"779",10700102,107,"2004-01-07","Wednesday",22,3
"814",10700102,107,"2004-01-07","Wednesday",23,3
"10",10700102,107,"2004-01-08","Thursday",0,2
"45",10700102,107,"2004-01-08","Thursday",1,0
"80",10700102,107,"2004-01-08","Thursday",2,2
"115",10700102,107,"2004-01-08","Thursday",3,0
"150",10700102,107,"2004-01-08","Thursday",4,0
"185",10700102,107,"2004-01-08","Thursday",5,4
"220",10700102,107,"2004-01-08","Thursday",6,11
"255",10700102,107,"2004-01-08","Thursday",7,19
"290",10700102,107,"2004-01-08","Thursday",8,34
"325",10700102,107,"2004-01-08","Thursday",9,18
"360",10700102,107,"2004-01-08","Thursday",10,4
"395",10700102,107,"2004-01-08","Thursday",11,6
"430",10700102,107,"2004-01-08","Thursday",12,18
"465",10700102,107,"2004-01-08","Thursday",13,9
"500",10700102,107,"2004-01-08","Thursday",14,11
"535",10700102,107,"2004-01-08","Thursday",15,24
"570",10700102,107,"2004-01-08","Thursday",16,43
"605",10700102,107,"2004-01-08","Thursday",17,25
"640",10700102,107,"2004-01-08","Thursday",18,16
"675",10700102,107,"2004-01-08","Thursday",19,7
"710",10700102,107,"2004-01-08","Thursday",20,5
"745",10700102,107,"2004-01-08","Thursday",21,5
"780",10700102,107,"2004-01-08","Thursday",22,2
"815",10700102,107,"2004-01-08","Thursday",23,2
"11",10700102,107,"2004-01-09","Friday",0,0
"46",10700102,107,"2004-01-09","Friday",1,0
"81",10700102,107,"2004-01-09","Friday",2,0
"116",10700102,107,"2004-01-09","Friday",3,0
"151",10700102,107,"2004-01-09","Friday",4,0
"186",10700102,107,"2004-01-09","Friday",5,0
"221",10700102,107,"2004-01-09","Friday",6,13
"256",10700102,107,"2004-01-09","Friday",7,22
"291",10700102,107,"2004-01-09","Friday",8,28
"326",10700102,107,"2004-01-09","Friday",9,18
"361",10700102,107,"2004-01-09","Friday",10,9
"396",10700102,107,"2004-01-09","Friday",11,19
"431",10700102,107,"2004-01-09","Friday",12,13
"466",10700102,107,"2004-01-09","Friday",13,14
"501",10700102,107,"2004-01-09","Friday",14,22
"536",10700102,107,"2004-01-09","Friday",15,27
"571",10700102,107,"2004-01-09","Friday",16,35
"606",10700102,107,"2004-01-09","Friday",17,19
"641",10700102,107,"2004-01-09","Friday",18,17
"676",10700102,107,"2004-01-09","Friday",19,10
"711",10700102,107,"2004-01-09","Friday",20,7
"746",10700102,107,"2004-01-09","Friday",21,4
"781",10700102,107,"2004-01-09","Friday",22,3
"816",10700102,107,"2004-01-09","Friday",23,0
"12",10700102,107,"2004-01-10","Saturday",0,3
"47",10700102,107,"2004-01-10","Saturday",1,2
"82",10700102,107,"2004-01-10","Saturday",2,1
"117",10700102,107,"2004-01-10","Saturday",3,0
"152",10700102,107,"2004-01-10","Saturday",4,0
"187",10700102,107,"2004-01-10","Saturday",5,1
"222",10700102,107,"2004-01-10","Saturday",6,5
"257",10700102,107,"2004-01-10","Saturday",7,2
"292",10700102,107,"2004-01-10","Saturday",8,4
"327",10700102,107,"2004-01-10","Saturday",9,5
"362",10700102,107,"2004-01-10","Saturday",10,2
