"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10201405,102,"2004-03-29","Monday",0,NA
"22",10201405,102,"2004-03-29","Monday",1,NA
"43",10201405,102,"2004-03-29","Monday",2,NA
"64",10201405,102,"2004-03-29","Monday",3,NA
"85",10201405,102,"2004-03-29","Monday",4,NA
"106",10201405,102,"2004-03-29","Monday",5,NA
"127",10201405,102,"2004-03-29","Monday",6,NA
"148",10201405,102,"2004-03-29","Monday",7,NA
"169",10201405,102,"2004-03-29","Monday",8,NA
"190",10201405,102,"2004-03-29","Monday",9,NA
"211",10201405,102,"2004-03-29","Monday",10,NA
"232",10201405,102,"2004-03-29","Monday",11,NA
"253",10201405,102,"2004-03-29","Monday",12,NA
"274",10201405,102,"2004-03-29","Monday",13,NA
"295",10201405,102,"2004-03-29","Monday",14,NA
"316",10201405,102,"2004-03-29","Monday",15,36
"337",10201405,102,"2004-03-29","Monday",16,65
"358",10201405,102,"2004-03-29","Monday",17,72
"379",10201405,102,"2004-03-29","Monday",18,56
"400",10201405,102,"2004-03-29","Monday",19,25
"421",10201405,102,"2004-03-29","Monday",20,22
"442",10201405,102,"2004-03-29","Monday",21,17
"463",10201405,102,"2004-03-29","Monday",22,10
"484",10201405,102,"2004-03-29","Monday",23,2
"2",10201405,102,"2004-03-30","Tuesday",0,2
"23",10201405,102,"2004-03-30","Tuesday",1,3
"44",10201405,102,"2004-03-30","Tuesday",2,2
"65",10201405,102,"2004-03-30","Tuesday",3,1
"86",10201405,102,"2004-03-30","Tuesday",4,0
"107",10201405,102,"2004-03-30","Tuesday",5,7
"128",10201405,102,"2004-03-30","Tuesday",6,30
"149",10201405,102,"2004-03-30","Tuesday",7,87
"170",10201405,102,"2004-03-30","Tuesday",8,87
"191",10201405,102,"2004-03-30","Tuesday",9,40
"212",10201405,102,"2004-03-30","Tuesday",10,24
"233",10201405,102,"2004-03-30","Tuesday",11,35
"254",10201405,102,"2004-03-30","Tuesday",12,25
"275",10201405,102,"2004-03-30","Tuesday",13,34
"296",10201405,102,"2004-03-30","Tuesday",14,35
"317",10201405,102,"2004-03-30","Tuesday",15,61
"338",10201405,102,"2004-03-30","Tuesday",16,98
"359",10201405,102,"2004-03-30","Tuesday",17,77
"380",10201405,102,"2004-03-30","Tuesday",18,60
"401",10201405,102,"2004-03-30","Tuesday",19,52
"422",10201405,102,"2004-03-30","Tuesday",20,28
"443",10201405,102,"2004-03-30","Tuesday",21,15
"464",10201405,102,"2004-03-30","Tuesday",22,6
"485",10201405,102,"2004-03-30","Tuesday",23,1
"3",10201405,102,"2004-03-31","Wednesday",0,0
"24",10201405,102,"2004-03-31","Wednesday",1,2
"45",10201405,102,"2004-03-31","Wednesday",2,1
"66",10201405,102,"2004-03-31","Wednesday",3,0
"87",10201405,102,"2004-03-31","Wednesday",4,0
"108",10201405,102,"2004-03-31","Wednesday",5,8
"129",10201405,102,"2004-03-31","Wednesday",6,30
"150",10201405,102,"2004-03-31","Wednesday",7,80
"171",10201405,102,"2004-03-31","Wednesday",8,86
"192",10201405,102,"2004-03-31","Wednesday",9,54
"213",10201405,102,"2004-03-31","Wednesday",10,40
"234",10201405,102,"2004-03-31","Wednesday",11,48
"255",10201405,102,"2004-03-31","Wednesday",12,33
