"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10202311,102,"2004-05-31","Monday",0,NA
"36",10202311,102,"2004-05-31","Monday",1,NA
"71",10202311,102,"2004-05-31","Monday",2,NA
"106",10202311,102,"2004-05-31","Monday",3,NA
"141",10202311,102,"2004-05-31","Monday",4,NA
"176",10202311,102,"2004-05-31","Monday",5,NA
"211",10202311,102,"2004-05-31","Monday",6,NA
"246",10202311,102,"2004-05-31","Monday",7,NA
"281",10202311,102,"2004-05-31","Monday",8,NA
"316",10202311,102,"2004-05-31","Monday",9,NA
"351",10202311,102,"2004-05-31","Monday",10,NA
"386",10202311,102,"2004-05-31","Monday",11,NA
"421",10202311,102,"2004-05-31","Monday",12,NA
"456",10202311,102,"2004-05-31","Monday",13,NA
"491",10202311,102,"2004-05-31","Monday",14,NA
"526",10202311,102,"2004-05-31","Monday",15,NA
"561",10202311,102,"2004-05-31","Monday",16,0
"596",10202311,102,"2004-05-31","Monday",17,36
"631",10202311,102,"2004-05-31","Monday",18,120
"666",10202311,102,"2004-05-31","Monday",19,83
"701",10202311,102,"2004-05-31","Monday",20,53
"736",10202311,102,"2004-05-31","Monday",21,50
"771",10202311,102,"2004-05-31","Monday",22,28
"806",10202311,102,"2004-05-31","Monday",23,5
"2",10202311,102,"2004-06-01","Tuesday",0,6
"37",10202311,102,"2004-06-01","Tuesday",1,6
"72",10202311,102,"2004-06-01","Tuesday",2,5
"107",10202311,102,"2004-06-01","Tuesday",3,1
"142",10202311,102,"2004-06-01","Tuesday",4,2
"177",10202311,102,"2004-06-01","Tuesday",5,24
"212",10202311,102,"2004-06-01","Tuesday",6,115
"247",10202311,102,"2004-06-01","Tuesday",7,248
"282",10202311,102,"2004-06-01","Tuesday",8,261
"317",10202311,102,"2004-06-01","Tuesday",9,129
"352",10202311,102,"2004-06-01","Tuesday",10,65
"387",10202311,102,"2004-06-01","Tuesday",11,57
"422",10202311,102,"2004-06-01","Tuesday",12,64
"457",10202311,102,"2004-06-01","Tuesday",13,76
"492",10202311,102,"2004-06-01","Tuesday",14,88
