"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10700436,107,"2006-01-27","Friday",0,NA
"15",10700436,107,"2006-01-27","Friday",1,NA
"29",10700436,107,"2006-01-27","Friday",2,NA
"43",10700436,107,"2006-01-27","Friday",3,NA
"57",10700436,107,"2006-01-27","Friday",4,NA
"71",10700436,107,"2006-01-27","Friday",5,NA
"85",10700436,107,"2006-01-27","Friday",6,NA
"99",10700436,107,"2006-01-27","Friday",7,NA
"113",10700436,107,"2006-01-27","Friday",8,NA
"127",10700436,107,"2006-01-27","Friday",9,NA
"141",10700436,107,"2006-01-27","Friday",10,8
"155",10700436,107,"2006-01-27","Friday",11,12
"169",10700436,107,"2006-01-27","Friday",12,13
"183",10700436,107,"2006-01-27","Friday",13,11
"197",10700436,107,"2006-01-27","Friday",14,23
"211",10700436,107,"2006-01-27","Friday",15,28
"225",10700436,107,"2006-01-27","Friday",16,20
"239",10700436,107,"2006-01-27","Friday",17,23
"253",10700436,107,"2006-01-27","Friday",18,14
"267",10700436,107,"2006-01-27","Friday",19,6
"281",10700436,107,"2006-01-27","Friday",20,7
"295",10700436,107,"2006-01-27","Friday",21,2
"309",10700436,107,"2006-01-27","Friday",22,3
"323",10700436,107,"2006-01-27","Friday",23,7
"2",10700436,107,"2006-01-28","Saturday",0,3
"16",10700436,107,"2006-01-28","Saturday",1,1
"30",10700436,107,"2006-01-28","Saturday",2,0
"44",10700436,107,"2006-01-28","Saturday",3,0
"58",10700436,107,"2006-01-28","Saturday",4,0
"72",10700436,107,"2006-01-28","Saturday",5,2
"86",10700436,107,"2006-01-28","Saturday",6,3
"100",10700436,107,"2006-01-28","Saturday",7,1
"114",10700436,107,"2006-01-28","Saturday",8,4
"128",10700436,107,"2006-01-28","Saturday",9,8
"142",10700436,107,"2006-01-28","Saturday",10,18
"156",10700436,107,"2006-01-28","Saturday",11,10
"170",10700436,107,"2006-01-28","Saturday",12,10
"184",10700436,107,"2006-01-28","Saturday",13,16
"198",10700436,107,"2006-01-28","Saturday",14,5
"212",10700436,107,"2006-01-28","Saturday",15,21
"226",10700436,107,"2006-01-28","Saturday",16,10
"240",10700436,107,"2006-01-28","Saturday",17,7
"254",10700436,107,"2006-01-28","Saturday",18,11
"268",10700436,107,"2006-01-28","Saturday",19,5
"282",10700436,107,"2006-01-28","Saturday",20,1
"296",10700436,107,"2006-01-28","Saturday",21,0
"310",10700436,107,"2006-01-28","Saturday",22,4
"324",10700436,107,"2006-01-28","Saturday",23,2
"3",10700436,107,"2006-01-29","Sunday",0,0
"17",10700436,107,"2006-01-29","Sunday",1,1
"31",10700436,107,"2006-01-29","Sunday",2,0
"45",10700436,107,"2006-01-29","Sunday",3,3
"59",10700436,107,"2006-01-29","Sunday",4,0
"73",10700436,107,"2006-01-29","Sunday",5,1
"87",10700436,107,"2006-01-29","Sunday",6,1
"101",10700436,107,"2006-01-29","Sunday",7,0
"115",10700436,107,"2006-01-29","Sunday",8,1
"129",10700436,107,"2006-01-29","Sunday",9,5
"143",10700436,107,"2006-01-29","Sunday",10,4
"157",10700436,107,"2006-01-29","Sunday",11,6
"171",10700436,107,"2006-01-29","Sunday",12,12
"185",10700436,107,"2006-01-29","Sunday",13,11
"199",10700436,107,"2006-01-29","Sunday",14,12
"213",10700436,107,"2006-01-29","Sunday",15,26
"227",10700436,107,"2006-01-29","Sunday",16,9
"241",10700436,107,"2006-01-29","Sunday",17,5
"255",10700436,107,"2006-01-29","Sunday",18,7
