"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10700906,107,"2006-02-27","Monday",0,NA
"36",10700906,107,"2006-02-27","Monday",1,NA
"71",10700906,107,"2006-02-27","Monday",2,NA
"106",10700906,107,"2006-02-27","Monday",3,NA
"141",10700906,107,"2006-02-27","Monday",4,NA
"176",10700906,107,"2006-02-27","Monday",5,NA
"211",10700906,107,"2006-02-27","Monday",6,NA
"246",10700906,107,"2006-02-27","Monday",7,NA
"281",10700906,107,"2006-02-27","Monday",8,NA
"316",10700906,107,"2006-02-27","Monday",9,NA
"351",10700906,107,"2006-02-27","Monday",10,10
"386",10700906,107,"2006-02-27","Monday",11,5
"421",10700906,107,"2006-02-27","Monday",12,11
"456",10700906,107,"2006-02-27","Monday",13,9
"491",10700906,107,"2006-02-27","Monday",14,14
"526",10700906,107,"2006-02-27","Monday",15,16
"561",10700906,107,"2006-02-27","Monday",16,23
"596",10700906,107,"2006-02-27","Monday",17,28
"631",10700906,107,"2006-02-27","Monday",18,15
"666",10700906,107,"2006-02-27","Monday",19,13
"701",10700906,107,"2006-02-27","Monday",20,6
"736",10700906,107,"2006-02-27","Monday",21,4
"771",10700906,107,"2006-02-27","Monday",22,2
"806",10700906,107,"2006-02-27","Monday",23,0
"2",10700906,107,"2006-02-28","Tuesday",0,0
"37",10700906,107,"2006-02-28","Tuesday",1,0
"72",10700906,107,"2006-02-28","Tuesday",2,0
"107",10700906,107,"2006-02-28","Tuesday",3,1
"142",10700906,107,"2006-02-28","Tuesday",4,1
"177",10700906,107,"2006-02-28","Tuesday",5,7
"212",10700906,107,"2006-02-28","Tuesday",6,15
"247",10700906,107,"2006-02-28","Tuesday",7,19
"282",10700906,107,"2006-02-28","Tuesday",8,25
"317",10700906,107,"2006-02-28","Tuesday",9,16
"352",10700906,107,"2006-02-28","Tuesday",10,12
"387",10700906,107,"2006-02-28","Tuesday",11,7
"422",10700906,107,"2006-02-28","Tuesday",12,10
"457",10700906,107,"2006-02-28","Tuesday",13,15
"492",10700906,107,"2006-02-28","Tuesday",14,10
"527",10700906,107,"2006-02-28","Tuesday",15,27
"562",10700906,107,"2006-02-28","Tuesday",16,26
"597",10700906,107,"2006-02-28","Tuesday",17,25
"632",10700906,107,"2006-02-28","Tuesday",18,17
"667",10700906,107,"2006-02-28","Tuesday",19,9
"702",10700906,107,"2006-02-28","Tuesday",20,5
"737",10700906,107,"2006-02-28","Tuesday",21,7
"772",10700906,107,"2006-02-28","Tuesday",22,2
"807",10700906,107,"2006-02-28","Tuesday",23,5
"3",10700906,107,"2006-03-01","Wednesday",0,3
"38",10700906,107,"2006-03-01","Wednesday",1,1
"73",10700906,107,"2006-03-01","Wednesday",2,3
"108",10700906,107,"2006-03-01","Wednesday",3,0
"143",10700906,107,"2006-03-01","Wednesday",4,0
"178",10700906,107,"2006-03-01","Wednesday",5,8
"213",10700906,107,"2006-03-01","Wednesday",6,8
"248",10700906,107,"2006-03-01","Wednesday",7,38
"283",10700906,107,"2006-03-01","Wednesday",8,26
"318",10700906,107,"2006-03-01","Wednesday",9,17
"353",10700906,107,"2006-03-01","Wednesday",10,10
"388",10700906,107,"2006-03-01","Wednesday",11,13
"423",10700906,107,"2006-03-01","Wednesday",12,5
"458",10700906,107,"2006-03-01","Wednesday",13,12
"493",10700906,107,"2006-03-01","Wednesday",14,10
"528",10700906,107,"2006-03-01","Wednesday",15,20
"563",10700906,107,"2006-03-01","Wednesday",16,28
"598",10700906,107,"2006-03-01","Wednesday",17,28
"633",10700906,107,"2006-03-01","Wednesday",18,15
"668",10700906,107,"2006-03-01","Wednesday",19,9
"703",10700906,107,"2006-03-01","Wednesday",20,6
"738",10700906,107,"2006-03-01","Wednesday",21,3
"773",10700906,107,"2006-03-01","Wednesday",22,3
