"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",11504428,115,"2006-10-30","Monday",0,NA
"43",11504428,115,"2006-10-30","Monday",1,NA
"85",11504428,115,"2006-10-30","Monday",2,NA
"127",11504428,115,"2006-10-30","Monday",3,NA
"169",11504428,115,"2006-10-30","Monday",4,NA
"211",11504428,115,"2006-10-30","Monday",5,NA
"253",11504428,115,"2006-10-30","Monday",6,NA
"295",11504428,115,"2006-10-30","Monday",7,NA
"337",11504428,115,"2006-10-30","Monday",8,NA
"379",11504428,115,"2006-10-30","Monday",9,NA
"421",11504428,115,"2006-10-30","Monday",10,NA
"463",11504428,115,"2006-10-30","Monday",11,NA
"505",11504428,115,"2006-10-30","Monday",12,23
"547",11504428,115,"2006-10-30","Monday",13,29
"589",11504428,115,"2006-10-30","Monday",14,27
"631",11504428,115,"2006-10-30","Monday",15,69
"673",11504428,115,"2006-10-30","Monday",16,83
"715",11504428,115,"2006-10-30","Monday",17,77
"757",11504428,115,"2006-10-30","Monday",18,41
"799",11504428,115,"2006-10-30","Monday",19,28
"841",11504428,115,"2006-10-30","Monday",20,20
"883",11504428,115,"2006-10-30","Monday",21,21
"925",11504428,115,"2006-10-30","Monday",22,12
"967",11504428,115,"2006-10-30","Monday",23,5
"2",11504428,115,"2006-10-31","Tuesday",0,1
"44",11504428,115,"2006-10-31","Tuesday",1,5
"86",11504428,115,"2006-10-31","Tuesday",2,1
"128",11504428,115,"2006-10-31","Tuesday",3,2
"170",11504428,115,"2006-10-31","Tuesday",4,1
"212",11504428,115,"2006-10-31","Tuesday",5,4
"254",11504428,115,"2006-10-31","Tuesday",6,28
"296",11504428,115,"2006-10-31","Tuesday",7,43
"338",11504428,115,"2006-10-31","Tuesday",8,84
"380",11504428,115,"2006-10-31","Tuesday",9,52
"422",11504428,115,"2006-10-31","Tuesday",10,39
"464",11504428,115,"2006-10-31","Tuesday",11,35
"506",11504428,115,"2006-10-31","Tuesday",12,25
"548",11504428,115,"2006-10-31","Tuesday",13,27
"590",11504428,115,"2006-10-31","Tuesday",14,30
"632",11504428,115,"2006-10-31","Tuesday",15,43
"674",11504428,115,"2006-10-31","Tuesday",16,47
"716",11504428,115,"2006-10-31","Tuesday",17,36
"758",11504428,115,"2006-10-31","Tuesday",18,21
"800",11504428,115,"2006-10-31","Tuesday",19,14
"842",11504428,115,"2006-10-31","Tuesday",20,11
"884",11504428,115,"2006-10-31","Tuesday",21,9
"926",11504428,115,"2006-10-31","Tuesday",22,2
"968",11504428,115,"2006-10-31","Tuesday",23,0
"3",11504428,115,"2006-11-01","Wednesday",0,1
"45",11504428,115,"2006-11-01","Wednesday",1,0
"87",11504428,115,"2006-11-01","Wednesday",2,1
"129",11504428,115,"2006-11-01","Wednesday",3,1
"171",11504428,115,"2006-11-01","Wednesday",4,2
"213",11504428,115,"2006-11-01","Wednesday",5,5
"255",11504428,115,"2006-11-01","Wednesday",6,15
"297",11504428,115,"2006-11-01","Wednesday",7,25
"339",11504428,115,"2006-11-01","Wednesday",8,41
"381",11504428,115,"2006-11-01","Wednesday",9,24
"423",11504428,115,"2006-11-01","Wednesday",10,13
"465",11504428,115,"2006-11-01","Wednesday",11,18
"507",11504428,115,"2006-11-01","Wednesday",12,24
"549",11504428,115,"2006-11-01","Wednesday",13,23
"591",11504428,115,"2006-11-01","Wednesday",14,22
"633",11504428,115,"2006-11-01","Wednesday",15,38
"675",11504428,115,"2006-11-01","Wednesday",16,35
"717",11504428,115,"2006-11-01","Wednesday",17,33
"759",11504428,115,"2006-11-01","Wednesday",18,13
"801",11504428,115,"2006-11-01","Wednesday",19,12
"843",11504428,115,"2006-11-01","Wednesday",20,10
"885",11504428,115,"2006-11-01","Wednesday",21,12
"927",11504428,115,"2006-11-01","Wednesday",22,6
"969",11504428,115,"2006-11-01","Wednesday",23,3
"4",11504428,115,"2006-11-02","Thursday",0,4
"46",11504428,115,"2006-11-02","Thursday",1,2
"88",11504428,115,"2006-11-02","Thursday",2,0
"130",11504428,115,"2006-11-02","Thursday",3,0
"172",11504428,115,"2006-11-02","Thursday",4,3
"214",11504428,115,"2006-11-02","Thursday",5,2
"256",11504428,115,"2006-11-02","Thursday",6,12
"298",11504428,115,"2006-11-02","Thursday",7,16
"340",11504428,115,"2006-11-02","Thursday",8,16
"382",11504428,115,"2006-11-02","Thursday",9,23
"424",11504428,115,"2006-11-02","Thursday",10,15
"466",11504428,115,"2006-11-02","Thursday",11,19
"508",11504428,115,"2006-11-02","Thursday",12,19
"550",11504428,115,"2006-11-02","Thursday",13,22
"592",11504428,115,"2006-11-02","Thursday",14,22
"634",11504428,115,"2006-11-02","Thursday",15,39
"676",11504428,115,"2006-11-02","Thursday",16,27
"718",11504428,115,"2006-11-02","Thursday",17,27
"760",11504428,115,"2006-11-02","Thursday",18,18
"802",11504428,115,"2006-11-02","Thursday",19,6
"844",11504428,115,"2006-11-02","Thursday",20,9
