"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10201915,102,"2007-05-09","Wednesday",0,NA
"29",10201915,102,"2007-05-09","Wednesday",1,NA
"57",10201915,102,"2007-05-09","Wednesday",2,NA
"85",10201915,102,"2007-05-09","Wednesday",3,NA
"113",10201915,102,"2007-05-09","Wednesday",4,NA
"141",10201915,102,"2007-05-09","Wednesday",5,NA
"169",10201915,102,"2007-05-09","Wednesday",6,NA
"197",10201915,102,"2007-05-09","Wednesday",7,NA
"225",10201915,102,"2007-05-09","Wednesday",8,NA
"253",10201915,102,"2007-05-09","Wednesday",9,NA
"281",10201915,102,"2007-05-09","Wednesday",10,NA
"309",10201915,102,"2007-05-09","Wednesday",11,NA
"337",10201915,102,"2007-05-09","Wednesday",12,NA
"365",10201915,102,"2007-05-09","Wednesday",13,NA
"393",10201915,102,"2007-05-09","Wednesday",14,NA
"421",10201915,102,"2007-05-09","Wednesday",15,128
"449",10201915,102,"2007-05-09","Wednesday",16,200
"477",10201915,102,"2007-05-09","Wednesday",17,148
"505",10201915,102,"2007-05-09","Wednesday",18,106
"533",10201915,102,"2007-05-09","Wednesday",19,81
"561",10201915,102,"2007-05-09","Wednesday",20,65
"589",10201915,102,"2007-05-09","Wednesday",21,35
"617",10201915,102,"2007-05-09","Wednesday",22,13
"645",10201915,102,"2007-05-09","Wednesday",23,8
"2",10201915,102,"2007-05-10","Thursday",0,2
"30",10201915,102,"2007-05-10","Thursday",1,2
"58",10201915,102,"2007-05-10","Thursday",2,1
"86",10201915,102,"2007-05-10","Thursday",3,1
"114",10201915,102,"2007-05-10","Thursday",4,1
"142",10201915,102,"2007-05-10","Thursday",5,16
"170",10201915,102,"2007-05-10","Thursday",6,65
"198",10201915,102,"2007-05-10","Thursday",7,210
"226",10201915,102,"2007-05-10","Thursday",8,191
"254",10201915,102,"2007-05-10","Thursday",9,71
"282",10201915,102,"2007-05-10","Thursday",10,40
"310",10201915,102,"2007-05-10","Thursday",11,53
"338",10201915,102,"2007-05-10","Thursday",12,47
"366",10201915,102,"2007-05-10","Thursday",13,43
"394",10201915,102,"2007-05-10","Thursday",14,72
"422",10201915,102,"2007-05-10","Thursday",15,128
"450",10201915,102,"2007-05-10","Thursday",16,200
"478",10201915,102,"2007-05-10","Thursday",17,166
"506",10201915,102,"2007-05-10","Thursday",18,118
"534",10201915,102,"2007-05-10","Thursday",19,72
"562",10201915,102,"2007-05-10","Thursday",20,72
"590",10201915,102,"2007-05-10","Thursday",21,35
"618",10201915,102,"2007-05-10","Thursday",22,13
"646",10201915,102,"2007-05-10","Thursday",23,4
"3",10201915,102,"2007-05-11","Friday",0,2
"31",10201915,102,"2007-05-11","Friday",1,0
"59",10201915,102,"2007-05-11","Friday",2,0
"87",10201915,102,"2007-05-11","Friday",3,1
"115",10201915,102,"2007-05-11","Friday",4,1
"143",10201915,102,"2007-05-11","Friday",5,17
"171",10201915,102,"2007-05-11","Friday",6,72
"199",10201915,102,"2007-05-11","Friday",7,197
"227",10201915,102,"2007-05-11","Friday",8,175
"255",10201915,102,"2007-05-11","Friday",9,69
"283",10201915,102,"2007-05-11","Friday",10,30
"311",10201915,102,"2007-05-11","Friday",11,41
"339",10201915,102,"2007-05-11","Friday",12,47
"367",10201915,102,"2007-05-11","Friday",13,42
"395",10201915,102,"2007-05-11","Friday",14,65
"423",10201915,102,"2007-05-11","Friday",15,129
"451",10201915,102,"2007-05-11","Friday",16,179
"479",10201915,102,"2007-05-11","Friday",17,135
"507",10201915,102,"2007-05-11","Friday",18,79
"535",10201915,102,"2007-05-11","Friday",19,56
"563",10201915,102,"2007-05-11","Friday",20,34
"591",10201915,102,"2007-05-11","Friday",21,29
"619",10201915,102,"2007-05-11","Friday",22,15
"647",10201915,102,"2007-05-11","Friday",23,7
"4",10201915,102,"2007-05-12","Saturday",0,5
"32",10201915,102,"2007-05-12","Saturday",1,1
"60",10201915,102,"2007-05-12","Saturday",2,1
"88",10201915,102,"2007-05-12","Saturday",3,3
"116",10201915,102,"2007-05-12","Saturday",4,0
"144",10201915,102,"2007-05-12","Saturday",5,3
"172",10201915,102,"2007-05-12","Saturday",6,6
"200",10201915,102,"2007-05-12","Saturday",7,24
"228",10201915,102,"2007-05-12","Saturday",8,24
"256",10201915,102,"2007-05-12","Saturday",9,27
"284",10201915,102,"2007-05-12","Saturday",10,44
"312",10201915,102,"2007-05-12","Saturday",11,65
"340",10201915,102,"2007-05-12","Saturday",12,71
"368",10201915,102,"2007-05-12","Saturday",13,66
"396",10201915,102,"2007-05-12","Saturday",14,59
"424",10201915,102,"2007-05-12","Saturday",15,49
"452",10201915,102,"2007-05-12","Saturday",16,43
"480",10201915,102,"2007-05-12","Saturday",17,66
"508",10201915,102,"2007-05-12","Saturday",18,54
"536",10201915,102,"2007-05-12","Saturday",19,28
"564",10201915,102,"2007-05-12","Saturday",20,35
"592",10201915,102,"2007-05-12","Saturday",21,19
"620",10201915,102,"2007-05-12","Saturday",22,5
"648",10201915,102,"2007-05-12","Saturday",23,0
"5",10201915,102,"2007-05-13","Sunday",0,6
"33",10201915,102,"2007-05-13","Sunday",1,11
"61",10201915,102,"2007-05-13","Sunday",2,5
"89",10201915,102,"2007-05-13","Sunday",3,4
"117",10201915,102,"2007-05-13","Sunday",4,1
"145",10201915,102,"2007-05-13","Sunday",5,2
"173",10201915,102,"2007-05-13","Sunday",6,6
"201",10201915,102,"2007-05-13","Sunday",7,7
"229",10201915,102,"2007-05-13","Sunday",8,12
"257",10201915,102,"2007-05-13","Sunday",9,24
"285",10201915,102,"2007-05-13","Sunday",10,54
"313",10201915,102,"2007-05-13","Sunday",11,77
"341",10201915,102,"2007-05-13","Sunday",12,105
"369",10201915,102,"2007-05-13","Sunday",13,134
"397",10201915,102,"2007-05-13","Sunday",14,134
"425",10201915,102,"2007-05-13","Sunday",15,92
"453",10201915,102,"2007-05-13","Sunday",16,83
"481",10201915,102,"2007-05-13","Sunday",17,77
"509",10201915,102,"2007-05-13","Sunday",18,57
"537",10201915,102,"2007-05-13","Sunday",19,33
"565",10201915,102,"2007-05-13","Sunday",20,27
"593",10201915,102,"2007-05-13","Sunday",21,25
"621",10201915,102,"2007-05-13","Sunday",22,12
"649",10201915,102,"2007-05-13","Sunday",23,6
"6",10201915,102,"2007-05-14","Monday",0,3
"34",10201915,102,"2007-05-14","Monday",1,3
"62",10201915,102,"2007-05-14","Monday",2,0
"90",10201915,102,"2007-05-14","Monday",3,1
"118",10201915,102,"2007-05-14","Monday",4,3
"146",10201915,102,"2007-05-14","Monday",5,11
"174",10201915,102,"2007-05-14","Monday",6,82
"202",10201915,102,"2007-05-14","Monday",7,244
"230",10201915,102,"2007-05-14","Monday",8,205
"258",10201915,102,"2007-05-14","Monday",9,91
"286",10201915,102,"2007-05-14","Monday",10,61
"314",10201915,102,"2007-05-14","Monday",11,60
"342",10201915,102,"2007-05-14","Monday",12,67
"370",10201915,102,"2007-05-14","Monday",13,59
"398",10201915,102,"2007-05-14","Monday",14,67
"426",10201915,102,"2007-05-14","Monday",15,150
"454",10201915,102,"2007-05-14","Monday",16,240
"482",10201915,102,"2007-05-14","Monday",17,154
"510",10201915,102,"2007-05-14","Monday",18,112
