"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10202615,102,"2007-06-26","Tuesday",0,NA
"36",10202615,102,"2007-06-26","Tuesday",1,NA
"71",10202615,102,"2007-06-26","Tuesday",2,NA
"106",10202615,102,"2007-06-26","Tuesday",3,NA
"141",10202615,102,"2007-06-26","Tuesday",4,NA
"176",10202615,102,"2007-06-26","Tuesday",5,NA
"211",10202615,102,"2007-06-26","Tuesday",6,NA
"246",10202615,102,"2007-06-26","Tuesday",7,NA
"281",10202615,102,"2007-06-26","Tuesday",8,NA
"316",10202615,102,"2007-06-26","Tuesday",9,NA
"351",10202615,102,"2007-06-26","Tuesday",10,NA
"386",10202615,102,"2007-06-26","Tuesday",11,NA
"421",10202615,102,"2007-06-26","Tuesday",12,NA
"456",10202615,102,"2007-06-26","Tuesday",13,NA
"491",10202615,102,"2007-06-26","Tuesday",14,NA
"526",10202615,102,"2007-06-26","Tuesday",15,NA
"561",10202615,102,"2007-06-26","Tuesday",16,0
"596",10202615,102,"2007-06-26","Tuesday",17,0
"631",10202615,102,"2007-06-26","Tuesday",18,0
"666",10202615,102,"2007-06-26","Tuesday",19,0
"701",10202615,102,"2007-06-26","Tuesday",20,0
"736",10202615,102,"2007-06-26","Tuesday",21,0
"771",10202615,102,"2007-06-26","Tuesday",22,0
"806",10202615,102,"2007-06-26","Tuesday",23,1
"2",10202615,102,"2007-06-27","Wednesday",0,3
"37",10202615,102,"2007-06-27","Wednesday",1,0
"72",10202615,102,"2007-06-27","Wednesday",2,0
"107",10202615,102,"2007-06-27","Wednesday",3,0
"142",10202615,102,"2007-06-27","Wednesday",4,0
"177",10202615,102,"2007-06-27","Wednesday",5,0
"212",10202615,102,"2007-06-27","Wednesday",6,0
"247",10202615,102,"2007-06-27","Wednesday",7,0
"282",10202615,102,"2007-06-27","Wednesday",8,0
"317",10202615,102,"2007-06-27","Wednesday",9,0
"352",10202615,102,"2007-06-27","Wednesday",10,0
"387",10202615,102,"2007-06-27","Wednesday",11,0
"422",10202615,102,"2007-06-27","Wednesday",12,0
"457",10202615,102,"2007-06-27","Wednesday",13,0
"492",10202615,102,"2007-06-27","Wednesday",14,0
"527",10202615,102,"2007-06-27","Wednesday",15,0
"562",10202615,102,"2007-06-27","Wednesday",16,0
"597",10202615,102,"2007-06-27","Wednesday",17,0
"632",10202615,102,"2007-06-27","Wednesday",18,0
"667",10202615,102,"2007-06-27","Wednesday",19,0
"702",10202615,102,"2007-06-27","Wednesday",20,0
"737",10202615,102,"2007-06-27","Wednesday",21,0
"772",10202615,102,"2007-06-27","Wednesday",22,0
"807",10202615,102,"2007-06-27","Wednesday",23,0
"3",10202615,102,"2007-06-28","Thursday",0,0
"38",10202615,102,"2007-06-28","Thursday",1,0
"73",10202615,102,"2007-06-28","Thursday",2,0
"108",10202615,102,"2007-06-28","Thursday",3,0
"143",10202615,102,"2007-06-28","Thursday",4,0
"178",10202615,102,"2007-06-28","Thursday",5,0
"213",10202615,102,"2007-06-28","Thursday",6,0
"248",10202615,102,"2007-06-28","Thursday",7,0
"283",10202615,102,"2007-06-28","Thursday",8,0
"318",10202615,102,"2007-06-28","Thursday",9,0
"353",10202615,102,"2007-06-28","Thursday",10,0
"388",10202615,102,"2007-06-28","Thursday",11,0
"423",10202615,102,"2007-06-28","Thursday",12,0
"458",10202615,102,"2007-06-28","Thursday",13,0
"493",10202615,102,"2007-06-28","Thursday",14,0
"528",10202615,102,"2007-06-28","Thursday",15,0
"563",10202615,102,"2007-06-28","Thursday",16,0
"598",10202615,102,"2007-06-28","Thursday",17,0
"633",10202615,102,"2007-06-28","Thursday",18,0
"668",10202615,102,"2007-06-28","Thursday",19,0
"703",10202615,102,"2007-06-28","Thursday",20,0
"738",10202615,102,"2007-06-28","Thursday",21,0
"773",10202615,102,"2007-06-28","Thursday",22,0
"808",10202615,102,"2007-06-28","Thursday",23,0
"4",10202615,102,"2007-06-29","Friday",0,0
"39",10202615,102,"2007-06-29","Friday",1,0
"74",10202615,102,"2007-06-29","Friday",2,0
