"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10704006,107,"2007-10-01","Monday",0,NA
"36",10704006,107,"2007-10-01","Monday",1,NA
"71",10704006,107,"2007-10-01","Monday",2,NA
"106",10704006,107,"2007-10-01","Monday",3,NA
"141",10704006,107,"2007-10-01","Monday",4,NA
"176",10704006,107,"2007-10-01","Monday",5,NA
"211",10704006,107,"2007-10-01","Monday",6,NA
"246",10704006,107,"2007-10-01","Monday",7,NA
"281",10704006,107,"2007-10-01","Monday",8,NA
"316",10704006,107,"2007-10-01","Monday",9,NA
"351",10704006,107,"2007-10-01","Monday",10,NA
"386",10704006,107,"2007-10-01","Monday",11,NA
"421",10704006,107,"2007-10-01","Monday",12,NA
"456",10704006,107,"2007-10-01","Monday",13,46
"491",10704006,107,"2007-10-01","Monday",14,68
"526",10704006,107,"2007-10-01","Monday",15,85
"561",10704006,107,"2007-10-01","Monday",16,128
"596",10704006,107,"2007-10-01","Monday",17,112
"631",10704006,107,"2007-10-01","Monday",18,82
"666",10704006,107,"2007-10-01","Monday",19,62
"701",10704006,107,"2007-10-01","Monday",20,53
"736",10704006,107,"2007-10-01","Monday",21,17
"771",10704006,107,"2007-10-01","Monday",22,12
"806",10704006,107,"2007-10-01","Monday",23,5
"2",10704006,107,"2007-10-02","Tuesday",0,3
"37",10704006,107,"2007-10-02","Tuesday",1,2
"72",10704006,107,"2007-10-02","Tuesday",2,1
"107",10704006,107,"2007-10-02","Tuesday",3,3
"142",10704006,107,"2007-10-02","Tuesday",4,2
"177",10704006,107,"2007-10-02","Tuesday",5,5
"212",10704006,107,"2007-10-02","Tuesday",6,44
"247",10704006,107,"2007-10-02","Tuesday",7,115
"282",10704006,107,"2007-10-02","Tuesday",8,191
"317",10704006,107,"2007-10-02","Tuesday",9,105
"352",10704006,107,"2007-10-02","Tuesday",10,72
"387",10704006,107,"2007-10-02","Tuesday",11,55
"422",10704006,107,"2007-10-02","Tuesday",12,59
"457",10704006,107,"2007-10-02","Tuesday",13,59
"492",10704006,107,"2007-10-02","Tuesday",14,74
"527",10704006,107,"2007-10-02","Tuesday",15,143
"562",10704006,107,"2007-10-02","Tuesday",16,196
"597",10704006,107,"2007-10-02","Tuesday",17,166
"632",10704006,107,"2007-10-02","Tuesday",18,93
"667",10704006,107,"2007-10-02","Tuesday",19,63
"702",10704006,107,"2007-10-02","Tuesday",20,64
"737",10704006,107,"2007-10-02","Tuesday",21,25
"772",10704006,107,"2007-10-02","Tuesday",22,15
"807",10704006,107,"2007-10-02","Tuesday",23,16
"3",10704006,107,"2007-10-03","Wednesday",0,6
"38",10704006,107,"2007-10-03","Wednesday",1,0
"73",10704006,107,"2007-10-03","Wednesday",2,0
"108",10704006,107,"2007-10-03","Wednesday",3,0
"143",10704006,107,"2007-10-03","Wednesday",4,1
