"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10303125,103,"2008-07-28","Monday",0,NA
"43",10303125,103,"2008-07-28","Monday",1,NA
"85",10303125,103,"2008-07-28","Monday",2,NA
"127",10303125,103,"2008-07-28","Monday",3,NA
"169",10303125,103,"2008-07-28","Monday",4,NA
"211",10303125,103,"2008-07-28","Monday",5,NA
"253",10303125,103,"2008-07-28","Monday",6,NA
"295",10303125,103,"2008-07-28","Monday",7,NA
"337",10303125,103,"2008-07-28","Monday",8,NA
"379",10303125,103,"2008-07-28","Monday",9,NA
"421",10303125,103,"2008-07-28","Monday",10,NA
"463",10303125,103,"2008-07-28","Monday",11,NA
"505",10303125,103,"2008-07-28","Monday",12,NA
"547",10303125,103,"2008-07-28","Monday",13,NA
"589",10303125,103,"2008-07-28","Monday",14,NA
"631",10303125,103,"2008-07-28","Monday",15,NA
"673",10303125,103,"2008-07-28","Monday",16,254
"715",10303125,103,"2008-07-28","Monday",17,215
"757",10303125,103,"2008-07-28","Monday",18,137
"799",10303125,103,"2008-07-28","Monday",19,142
"841",10303125,103,"2008-07-28","Monday",20,84
"883",10303125,103,"2008-07-28","Monday",21,51
"925",10303125,103,"2008-07-28","Monday",22,41
"967",10303125,103,"2008-07-28","Monday",23,12
"2",10303125,103,"2008-07-29","Tuesday",0,7
"44",10303125,103,"2008-07-29","Tuesday",1,6
"86",10303125,103,"2008-07-29","Tuesday",2,1
"128",10303125,103,"2008-07-29","Tuesday",3,3
"170",10303125,103,"2008-07-29","Tuesday",4,2
"212",10303125,103,"2008-07-29","Tuesday",5,16
"254",10303125,103,"2008-07-29","Tuesday",6,105
"296",10303125,103,"2008-07-29","Tuesday",7,210
"338",10303125,103,"2008-07-29","Tuesday",8,209
"380",10303125,103,"2008-07-29","Tuesday",9,127
"422",10303125,103,"2008-07-29","Tuesday",10,83
"464",10303125,103,"2008-07-29","Tuesday",11,117
"506",10303125,103,"2008-07-29","Tuesday",12,93
"548",10303125,103,"2008-07-29","Tuesday",13,100
"590",10303125,103,"2008-07-29","Tuesday",14,113
"632",10303125,103,"2008-07-29","Tuesday",15,250
"674",10303125,103,"2008-07-29","Tuesday",16,292
"716",10303125,103,"2008-07-29","Tuesday",17,229
"758",10303125,103,"2008-07-29","Tuesday",18,191
"800",10303125,103,"2008-07-29","Tuesday",19,112
"842",10303125,103,"2008-07-29","Tuesday",20,105
"884",10303125,103,"2008-07-29","Tuesday",21,60
"926",10303125,103,"2008-07-29","Tuesday",22,33
"968",10303125,103,"2008-07-29","Tuesday",23,22
"3",10303125,103,"2008-07-30","Wednesday",0,11
"45",10303125,103,"2008-07-30","Wednesday",1,8
"87",10303125,103,"2008-07-30","Wednesday",2,4
"129",10303125,103,"2008-07-30","Wednesday",3,7
"171",10303125,103,"2008-07-30","Wednesday",4,1
"213",10303125,103,"2008-07-30","Wednesday",5,15
"255",10303125,103,"2008-07-30","Wednesday",6,101
"297",10303125,103,"2008-07-30","Wednesday",7,184
"339",10303125,103,"2008-07-30","Wednesday",8,203
"381",10303125,103,"2008-07-30","Wednesday",9,116
"423",10303125,103,"2008-07-30","Wednesday",10,84
"465",10303125,103,"2008-07-30","Wednesday",11,101
"507",10303125,103,"2008-07-30","Wednesday",12,97
"549",10303125,103,"2008-07-30","Wednesday",13,96
"591",10303125,103,"2008-07-30","Wednesday",14,127
"633",10303125,103,"2008-07-30","Wednesday",15,203
"675",10303125,103,"2008-07-30","Wednesday",16,286
"717",10303125,103,"2008-07-30","Wednesday",17,199
"759",10303125,103,"2008-07-30","Wednesday",18,177
"801",10303125,103,"2008-07-30","Wednesday",19,112
"843",10303125,103,"2008-07-30","Wednesday",20,113
"885",10303125,103,"2008-07-30","Wednesday",21,73
"927",10303125,103,"2008-07-30","Wednesday",22,49
"969",10303125,103,"2008-07-30","Wednesday",23,21
"4",10303125,103,"2008-07-31","Thursday",0,17
"46",10303125,103,"2008-07-31","Thursday",1,6
"88",10303125,103,"2008-07-31","Thursday",2,9
"130",10303125,103,"2008-07-31","Thursday",3,2
"172",10303125,103,"2008-07-31","Thursday",4,4
"214",10303125,103,"2008-07-31","Thursday",5,19
"256",10303125,103,"2008-07-31","Thursday",6,105
"298",10303125,103,"2008-07-31","Thursday",7,173
"340",10303125,103,"2008-07-31","Thursday",8,204
"382",10303125,103,"2008-07-31","Thursday",9,126
"424",10303125,103,"2008-07-31","Thursday",10,104
"466",10303125,103,"2008-07-31","Thursday",11,101
"508",10303125,103,"2008-07-31","Thursday",12,107
"550",10303125,103,"2008-07-31","Thursday",13,111
"592",10303125,103,"2008-07-31","Thursday",14,152
"634",10303125,103,"2008-07-31","Thursday",15,206
"676",10303125,103,"2008-07-31","Thursday",16,319
"718",10303125,103,"2008-07-31","Thursday",17,219
"760",10303125,103,"2008-07-31","Thursday",18,162
"802",10303125,103,"2008-07-31","Thursday",19,125
"844",10303125,103,"2008-07-31","Thursday",20,102
"886",10303125,103,"2008-07-31","Thursday",21,87
