"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10304925,103,"2008-12-01","Monday",0,NA
"43",10304925,103,"2008-12-01","Monday",1,NA
"85",10304925,103,"2008-12-01","Monday",2,NA
"127",10304925,103,"2008-12-01","Monday",3,NA
"169",10304925,103,"2008-12-01","Monday",4,NA
"211",10304925,103,"2008-12-01","Monday",5,NA
"253",10304925,103,"2008-12-01","Monday",6,NA
"295",10304925,103,"2008-12-01","Monday",7,NA
"337",10304925,103,"2008-12-01","Monday",8,NA
"379",10304925,103,"2008-12-01","Monday",9,NA
"421",10304925,103,"2008-12-01","Monday",10,NA
"463",10304925,103,"2008-12-01","Monday",11,NA
"505",10304925,103,"2008-12-01","Monday",12,2
"547",10304925,103,"2008-12-01","Monday",13,4
"589",10304925,103,"2008-12-01","Monday",14,12
"631",10304925,103,"2008-12-01","Monday",15,18
"673",10304925,103,"2008-12-01","Monday",16,34
"715",10304925,103,"2008-12-01","Monday",17,17
"757",10304925,103,"2008-12-01","Monday",18,12
"799",10304925,103,"2008-12-01","Monday",19,12
"841",10304925,103,"2008-12-01","Monday",20,8
"883",10304925,103,"2008-12-01","Monday",21,8
"925",10304925,103,"2008-12-01","Monday",22,2
"967",10304925,103,"2008-12-01","Monday",23,0
"2",10304925,103,"2008-12-02","Tuesday",0,1
"44",10304925,103,"2008-12-02","Tuesday",1,0
"86",10304925,103,"2008-12-02","Tuesday",2,0
"128",10304925,103,"2008-12-02","Tuesday",3,0
"170",10304925,103,"2008-12-02","Tuesday",4,0
"212",10304925,103,"2008-12-02","Tuesday",5,6
"254",10304925,103,"2008-12-02","Tuesday",6,19
"296",10304925,103,"2008-12-02","Tuesday",7,46
"338",10304925,103,"2008-12-02","Tuesday",8,36
"380",10304925,103,"2008-12-02","Tuesday",9,19
"422",10304925,103,"2008-12-02","Tuesday",10,13
"464",10304925,103,"2008-12-02","Tuesday",11,6
"506",10304925,103,"2008-12-02","Tuesday",12,14
"548",10304925,103,"2008-12-02","Tuesday",13,8
"590",10304925,103,"2008-12-02","Tuesday",14,24
"632",10304925,103,"2008-12-02","Tuesday",15,32
"674",10304925,103,"2008-12-02","Tuesday",16,34
"716",10304925,103,"2008-12-02","Tuesday",17,29
"758",10304925,103,"2008-12-02","Tuesday",18,23
"800",10304925,103,"2008-12-02","Tuesday",19,9
"842",10304925,103,"2008-12-02","Tuesday",20,10
"884",10304925,103,"2008-12-02","Tuesday",21,4
"926",10304925,103,"2008-12-02","Tuesday",22,2
"968",10304925,103,"2008-12-02","Tuesday",23,0
"3",10304925,103,"2008-12-03","Wednesday",0,0
"45",10304925,103,"2008-12-03","Wednesday",1,3
"87",10304925,103,"2008-12-03","Wednesday",2,0
"129",10304925,103,"2008-12-03","Wednesday",3,0
"171",10304925,103,"2008-12-03","Wednesday",4,0
"213",10304925,103,"2008-12-03","Wednesday",5,6
"255",10304925,103,"2008-12-03","Wednesday",6,23
"297",10304925,103,"2008-12-03","Wednesday",7,39
"339",10304925,103,"2008-12-03","Wednesday",8,34
"381",10304925,103,"2008-12-03","Wednesday",9,17
"423",10304925,103,"2008-12-03","Wednesday",10,12
"465",10304925,103,"2008-12-03","Wednesday",11,10
"507",10304925,103,"2008-12-03","Wednesday",12,6
"549",10304925,103,"2008-12-03","Wednesday",13,3
"591",10304925,103,"2008-12-03","Wednesday",14,10
"633",10304925,103,"2008-12-03","Wednesday",15,28
"675",10304925,103,"2008-12-03","Wednesday",16,41
"717",10304925,103,"2008-12-03","Wednesday",17,25
"759",10304925,103,"2008-12-03","Wednesday",18,12
"801",10304925,103,"2008-12-03","Wednesday",19,8
"843",10304925,103,"2008-12-03","Wednesday",20,12
"885",10304925,103,"2008-12-03","Wednesday",21,6
"927",10304925,103,"2008-12-03","Wednesday",22,0
"969",10304925,103,"2008-12-03","Wednesday",23,1
"4",10304925,103,"2008-12-04","Thursday",0,2
"46",10304925,103,"2008-12-04","Thursday",1,1
"88",10304925,103,"2008-12-04","Thursday",2,1
"130",10304925,103,"2008-12-04","Thursday",3,1
"172",10304925,103,"2008-12-04","Thursday",4,0
"214",10304925,103,"2008-12-04","Thursday",5,4
"256",10304925,103,"2008-12-04","Thursday",6,16
"298",10304925,103,"2008-12-04","Thursday",7,44
"340",10304925,103,"2008-12-04","Thursday",8,35
"382",10304925,103,"2008-12-04","Thursday",9,13
"424",10304925,103,"2008-12-04","Thursday",10,9
"466",10304925,103,"2008-12-04","Thursday",11,12
"508",10304925,103,"2008-12-04","Thursday",12,8
"550",10304925,103,"2008-12-04","Thursday",13,2
"592",10304925,103,"2008-12-04","Thursday",14,11
"634",10304925,103,"2008-12-04","Thursday",15,28
"676",10304925,103,"2008-12-04","Thursday",16,38
"718",10304925,103,"2008-12-04","Thursday",17,27
"760",10304925,103,"2008-12-04","Thursday",18,15
"802",10304925,103,"2008-12-04","Thursday",19,6
"844",10304925,103,"2008-12-04","Thursday",20,11
"886",10304925,103,"2008-12-04","Thursday",21,6
"928",10304925,103,"2008-12-04","Thursday",22,2
"970",10304925,103,"2008-12-04","Thursday",23,0
"5",10304925,103,"2008-12-05","Friday",0,3
"47",10304925,103,"2008-12-05","Friday",1,2
"89",10304925,103,"2008-12-05","Friday",2,0
"131",10304925,103,"2008-12-05","Friday",3,0
"173",10304925,103,"2008-12-05","Friday",4,2
"215",10304925,103,"2008-12-05","Friday",5,4
"257",10304925,103,"2008-12-05","Friday",6,12
"299",10304925,103,"2008-12-05","Friday",7,24
"341",10304925,103,"2008-12-05","Friday",8,28
"383",10304925,103,"2008-12-05","Friday",9,19
"425",10304925,103,"2008-12-05","Friday",10,10
"467",10304925,103,"2008-12-05","Friday",11,18
"509",10304925,103,"2008-12-05","Friday",12,8
"551",10304925,103,"2008-12-05","Friday",13,10
"593",10304925,103,"2008-12-05","Friday",14,25
"635",10304925,103,"2008-12-05","Friday",15,22
"677",10304925,103,"2008-12-05","Friday",16,28
"719",10304925,103,"2008-12-05","Friday",17,22
"761",10304925,103,"2008-12-05","Friday",18,8
"803",10304925,103,"2008-12-05","Friday",19,9
"845",10304925,103,"2008-12-05","Friday",20,12
"887",10304925,103,"2008-12-05","Friday",21,1
"929",10304925,103,"2008-12-05","Friday",22,3
"971",10304925,103,"2008-12-05","Friday",23,3
"6",10304925,103,"2008-12-06","Saturday",0,4
"48",10304925,103,"2008-12-06","Saturday",1,1
"90",10304925,103,"2008-12-06","Saturday",2,2
"132",10304925,103,"2008-12-06","Saturday",3,2
"174",10304925,103,"2008-12-06","Saturday",4,1
"216",10304925,103,"2008-12-06","Saturday",5,2
"258",10304925,103,"2008-12-06","Saturday",6,1
"300",10304925,103,"2008-12-06","Saturday",7,2
"342",10304925,103,"2008-12-06","Saturday",8,5
"384",10304925,103,"2008-12-06","Saturday",9,3
"426",10304925,103,"2008-12-06","Saturday",10,11
"468",10304925,103,"2008-12-06","Saturday",11,9
"510",10304925,103,"2008-12-06","Saturday",12,16
"552",10304925,103,"2008-12-06","Saturday",13,17
"594",10304925,103,"2008-12-06","Saturday",14,19
"636",10304925,103,"2008-12-06","Saturday",15,11
"678",10304925,103,"2008-12-06","Saturday",16,6
"720",10304925,103,"2008-12-06","Saturday",17,9
"762",10304925,103,"2008-12-06","Saturday",18,4
"804",10304925,103,"2008-12-06","Saturday",19,4
"846",10304925,103,"2008-12-06","Saturday",20,3
"888",10304925,103,"2008-12-06","Saturday",21,1
"930",10304925,103,"2008-12-06","Saturday",22,4
"972",10304925,103,"2008-12-06","Saturday",23,2
"7",10304925,103,"2008-12-07","Sunday",0,1
"49",10304925,103,"2008-12-07","Sunday",1,2
"91",10304925,103,"2008-12-07","Sunday",2,1
"133",10304925,103,"2008-12-07","Sunday",3,1
"175",10304925,103,"2008-12-07","Sunday",4,2
"217",10304925,103,"2008-12-07","Sunday",5,1
"259",10304925,103,"2008-12-07","Sunday",6,1
"301",10304925,103,"2008-12-07","Sunday",7,0
"343",10304925,103,"2008-12-07","Sunday",8,3
"385",10304925,103,"2008-12-07","Sunday",9,2
"427",10304925,103,"2008-12-07","Sunday",10,9
"469",10304925,103,"2008-12-07","Sunday",11,8
"511",10304925,103,"2008-12-07","Sunday",12,18
"553",10304925,103,"2008-12-07","Sunday",13,9
"595",10304925,103,"2008-12-07","Sunday",14,9
"637",10304925,103,"2008-12-07","Sunday",15,4
"679",10304925,103,"2008-12-07","Sunday",16,7
"721",10304925,103,"2008-12-07","Sunday",17,7
"763",10304925,103,"2008-12-07","Sunday",18,6
"805",10304925,103,"2008-12-07","Sunday",19,6
"847",10304925,103,"2008-12-07","Sunday",20,2
"889",10304925,103,"2008-12-07","Sunday",21,5
"931",10304925,103,"2008-12-07","Sunday",22,2
"973",10304925,103,"2008-12-07","Sunday",23,3
"8",10304925,103,"2008-12-08","Monday",0,1
"50",10304925,103,"2008-12-08","Monday",1,1
"92",10304925,103,"2008-12-08","Monday",2,0
"134",10304925,103,"2008-12-08","Monday",3,0
"176",10304925,103,"2008-12-08","Monday",4,1
"218",10304925,103,"2008-12-08","Monday",5,7
"260",10304925,103,"2008-12-08","Monday",6,17
"302",10304925,103,"2008-12-08","Monday",7,53
"344",10304925,103,"2008-12-08","Monday",8,31
"386",10304925,103,"2008-12-08","Monday",9,18
"428",10304925,103,"2008-12-08","Monday",10,8
"470",10304925,103,"2008-12-08","Monday",11,8
"512",10304925,103,"2008-12-08","Monday",12,9
"554",10304925,103,"2008-12-08","Monday",13,8
"596",10304925,103,"2008-12-08","Monday",14,12
"638",10304925,103,"2008-12-08","Monday",15,29
"680",10304925,103,"2008-12-08","Monday",16,33
"722",10304925,103,"2008-12-08","Monday",17,22
"764",10304925,103,"2008-12-08","Monday",18,19
"806",10304925,103,"2008-12-08","Monday",19,22
"848",10304925,103,"2008-12-08","Monday",20,7
"890",10304925,103,"2008-12-08","Monday",21,12
"932",10304925,103,"2008-12-08","Monday",22,3
"974",10304925,103,"2008-12-08","Monday",23,1
"9",10304925,103,"2008-12-09","Tuesday",0,1
"51",10304925,103,"2008-12-09","Tuesday",1,4
"93",10304925,103,"2008-12-09","Tuesday",2,0
"135",10304925,103,"2008-12-09","Tuesday",3,0
"177",10304925,103,"2008-12-09","Tuesday",4,0
"219",10304925,103,"2008-12-09","Tuesday",5,4
"261",10304925,103,"2008-12-09","Tuesday",6,15
"303",10304925,103,"2008-12-09","Tuesday",7,46
"345",10304925,103,"2008-12-09","Tuesday",8,28
"387",10304925,103,"2008-12-09","Tuesday",9,8
"429",10304925,103,"2008-12-09","Tuesday",10,11
"471",10304925,103,"2008-12-09","Tuesday",11,2
"513",10304925,103,"2008-12-09","Tuesday",12,11
"555",10304925,103,"2008-12-09","Tuesday",13,5
"597",10304925,103,"2008-12-09","Tuesday",14,9
"639",10304925,103,"2008-12-09","Tuesday",15,17
"681",10304925,103,"2008-12-09","Tuesday",16,32
"723",10304925,103,"2008-12-09","Tuesday",17,22
"765",10304925,103,"2008-12-09","Tuesday",18,9
"807",10304925,103,"2008-12-09","Tuesday",19,7
"849",10304925,103,"2008-12-09","Tuesday",20,9
"891",10304925,103,"2008-12-09","Tuesday",21,2
"933",10304925,103,"2008-12-09","Tuesday",22,2
"975",10304925,103,"2008-12-09","Tuesday",23,1
"10",10304925,103,"2008-12-10","Wednesday",0,0
"52",10304925,103,"2008-12-10","Wednesday",1,0
"94",10304925,103,"2008-12-10","Wednesday",2,2
"136",10304925,103,"2008-12-10","Wednesday",3,0
"178",10304925,103,"2008-12-10","Wednesday",4,0
"220",10304925,103,"2008-12-10","Wednesday",5,3
"262",10304925,103,"2008-12-10","Wednesday",6,8
"304",10304925,103,"2008-12-10","Wednesday",7,25
"346",10304925,103,"2008-12-10","Wednesday",8,22
"388",10304925,103,"2008-12-10","Wednesday",9,17
"430",10304925,103,"2008-12-10","Wednesday",10,3
"472",10304925,103,"2008-12-10","Wednesday",11,4
"514",10304925,103,"2008-12-10","Wednesday",12,6
"556",10304925,103,"2008-12-10","Wednesday",13,7
"598",10304925,103,"2008-12-10","Wednesday",14,9
"640",10304925,103,"2008-12-10","Wednesday",15,17
"682",10304925,103,"2008-12-10","Wednesday",16,25
"724",10304925,103,"2008-12-10","Wednesday",17,9
"766",10304925,103,"2008-12-10","Wednesday",18,12
"808",10304925,103,"2008-12-10","Wednesday",19,5
"850",10304925,103,"2008-12-10","Wednesday",20,1
"892",10304925,103,"2008-12-10","Wednesday",21,6
"934",10304925,103,"2008-12-10","Wednesday",22,2
"976",10304925,103,"2008-12-10","Wednesday",23,1
"11",10304925,103,"2008-12-11","Thursday",0,0
"53",10304925,103,"2008-12-11","Thursday",1,0
"95",10304925,103,"2008-12-11","Thursday",2,0
"137",10304925,103,"2008-12-11","Thursday",3,2
"179",10304925,103,"2008-12-11","Thursday",4,0
"221",10304925,103,"2008-12-11","Thursday",5,5
"263",10304925,103,"2008-12-11","Thursday",6,5
"305",10304925,103,"2008-12-11","Thursday",7,24
"347",10304925,103,"2008-12-11","Thursday",8,23
"389",10304925,103,"2008-12-11","Thursday",9,16
"431",10304925,103,"2008-12-11","Thursday",10,7
"473",10304925,103,"2008-12-11","Thursday",11,4
"515",10304925,103,"2008-12-11","Thursday",12,3
"557",10304925,103,"2008-12-11","Thursday",13,2
"599",10304925,103,"2008-12-11","Thursday",14,7
"641",10304925,103,"2008-12-11","Thursday",15,17
"683",10304925,103,"2008-12-11","Thursday",16,20
"725",10304925,103,"2008-12-11","Thursday",17,16
"767",10304925,103,"2008-12-11","Thursday",18,13
"809",10304925,103,"2008-12-11","Thursday",19,4
"851",10304925,103,"2008-12-11","Thursday",20,5
"893",10304925,103,"2008-12-11","Thursday",21,6
"935",10304925,103,"2008-12-11","Thursday",22,2
"977",10304925,103,"2008-12-11","Thursday",23,1
"12",10304925,103,"2008-12-12","Friday",0,0
"54",10304925,103,"2008-12-12","Friday",1,0
"96",10304925,103,"2008-12-12","Friday",2,0
"138",10304925,103,"2008-12-12","Friday",3,0
"180",10304925,103,"2008-12-12","Friday",4,1
"222",10304925,103,"2008-12-12","Friday",5,6
"264",10304925,103,"2008-12-12","Friday",6,10
"306",10304925,103,"2008-12-12","Friday",7,27
"348",10304925,103,"2008-12-12","Friday",8,26
"390",10304925,103,"2008-12-12","Friday",9,12
"432",10304925,103,"2008-12-12","Friday",10,5
"474",10304925,103,"2008-12-12","Friday",11,7
"516",10304925,103,"2008-12-12","Friday",12,8
"558",10304925,103,"2008-12-12","Friday",13,11
"600",10304925,103,"2008-12-12","Friday",14,13
"642",10304925,103,"2008-12-12","Friday",15,20
"684",10304925,103,"2008-12-12","Friday",16,22
"726",10304925,103,"2008-12-12","Friday",17,24
"768",10304925,103,"2008-12-12","Friday",18,4
"810",10304925,103,"2008-12-12","Friday",19,8
"852",10304925,103,"2008-12-12","Friday",20,2
"894",10304925,103,"2008-12-12","Friday",21,1
"936",10304925,103,"2008-12-12","Friday",22,4
"978",10304925,103,"2008-12-12","Friday",23,1
"13",10304925,103,"2008-12-13","Saturday",0,6
"55",10304925,103,"2008-12-13","Saturday",1,1
"97",10304925,103,"2008-12-13","Saturday",2,1
"139",10304925,103,"2008-12-13","Saturday",3,3
"181",10304925,103,"2008-12-13","Saturday",4,2
"223",10304925,103,"2008-12-13","Saturday",5,3
"265",10304925,103,"2008-12-13","Saturday",6,2
"307",10304925,103,"2008-12-13","Saturday",7,4
"349",10304925,103,"2008-12-13","Saturday",8,3
"391",10304925,103,"2008-12-13","Saturday",9,6
"433",10304925,103,"2008-12-13","Saturday",10,9
"475",10304925,103,"2008-12-13","Saturday",11,17
"517",10304925,103,"2008-12-13","Saturday",12,11
"559",10304925,103,"2008-12-13","Saturday",13,18
"601",10304925,103,"2008-12-13","Saturday",14,19
"643",10304925,103,"2008-12-13","Saturday",15,14
"685",10304925,103,"2008-12-13","Saturday",16,7
"727",10304925,103,"2008-12-13","Saturday",17,8
"769",10304925,103,"2008-12-13","Saturday",18,4
"811",10304925,103,"2008-12-13","Saturday",19,8
"853",10304925,103,"2008-12-13","Saturday",20,4
"895",10304925,103,"2008-12-13","Saturday",21,8
"937",10304925,103,"2008-12-13","Saturday",22,1
"979",10304925,103,"2008-12-13","Saturday",23,1
"14",10304925,103,"2008-12-14","Sunday",0,5
"56",10304925,103,"2008-12-14","Sunday",1,0
"98",10304925,103,"2008-12-14","Sunday",2,0
"140",10304925,103,"2008-12-14","Sunday",3,2
"182",10304925,103,"2008-12-14","Sunday",4,0
"224",10304925,103,"2008-12-14","Sunday",5,1
"266",10304925,103,"2008-12-14","Sunday",6,4
"308",10304925,103,"2008-12-14","Sunday",7,4
"350",10304925,103,"2008-12-14","Sunday",8,0
"392",10304925,103,"2008-12-14","Sunday",9,3
"434",10304925,103,"2008-12-14","Sunday",10,5
"476",10304925,103,"2008-12-14","Sunday",11,20
"518",10304925,103,"2008-12-14","Sunday",12,11
"560",10304925,103,"2008-12-14","Sunday",13,18
"602",10304925,103,"2008-12-14","Sunday",14,21
"644",10304925,103,"2008-12-14","Sunday",15,21
"686",10304925,103,"2008-12-14","Sunday",16,9
"728",10304925,103,"2008-12-14","Sunday",17,4
"770",10304925,103,"2008-12-14","Sunday",18,7
"812",10304925,103,"2008-12-14","Sunday",19,3
"854",10304925,103,"2008-12-14","Sunday",20,8
"896",10304925,103,"2008-12-14","Sunday",21,6
"938",10304925,103,"2008-12-14","Sunday",22,2
"980",10304925,103,"2008-12-14","Sunday",23,2
"15",10304925,103,"2008-12-15","Monday",0,0
"57",10304925,103,"2008-12-15","Monday",1,0
"99",10304925,103,"2008-12-15","Monday",2,1
"141",10304925,103,"2008-12-15","Monday",3,0
"183",10304925,103,"2008-12-15","Monday",4,0
"225",10304925,103,"2008-12-15","Monday",5,8
"267",10304925,103,"2008-12-15","Monday",6,23
"309",10304925,103,"2008-12-15","Monday",7,45
"351",10304925,103,"2008-12-15","Monday",8,38
"393",10304925,103,"2008-12-15","Monday",9,19
"435",10304925,103,"2008-12-15","Monday",10,13
"477",10304925,103,"2008-12-15","Monday",11,9
"519",10304925,103,"2008-12-15","Monday",12,13
"561",10304925,103,"2008-12-15","Monday",13,14
"603",10304925,103,"2008-12-15","Monday",14,10
"645",10304925,103,"2008-12-15","Monday",15,34
"687",10304925,103,"2008-12-15","Monday",16,40
"729",10304925,103,"2008-12-15","Monday",17,25
"771",10304925,103,"2008-12-15","Monday",18,17
"813",10304925,103,"2008-12-15","Monday",19,10
"855",10304925,103,"2008-12-15","Monday",20,10
"897",10304925,103,"2008-12-15","Monday",21,7
"939",10304925,103,"2008-12-15","Monday",22,9
"981",10304925,103,"2008-12-15","Monday",23,2
"16",10304925,103,"2008-12-16","Tuesday",0,0
"58",10304925,103,"2008-12-16","Tuesday",1,1
"100",10304925,103,"2008-12-16","Tuesday",2,1
"142",10304925,103,"2008-12-16","Tuesday",3,0
"184",10304925,103,"2008-12-16","Tuesday",4,0
"226",10304925,103,"2008-12-16","Tuesday",5,7
"268",10304925,103,"2008-12-16","Tuesday",6,22
"310",10304925,103,"2008-12-16","Tuesday",7,31
"352",10304925,103,"2008-12-16","Tuesday",8,35
"394",10304925,103,"2008-12-16","Tuesday",9,18
