date,obs-obs-1-1-rrday,obs-obs-1-1-tday,obs-obs-1-1-snow,obs-obs-1-1-tmin,obs-obs-1-1-tmax
2004-01-01T00:00:00Z,-1,-7.2,0,-9.9,-1.1
2004-01-02T00:00:00Z,-1,-11.9,0,-12.8,-9.3
2004-01-03T00:00:00Z,-1,-10.2,0,-15.4,-4.2
2004-01-04T00:00:00Z,0.4,-4.4,0,-6.8,-2.5
2004-01-05T00:00:00Z,0.1,-3.2,1,-4.8,-1.3
2004-01-06T00:00:00Z,1.1,-3.4,1,-8.4,-0.4
2004-01-07T00:00:00Z,0,-2.4,4,-3.6,0
2004-01-08T00:00:00Z,0.1,-4.2,4,-5.4,-2.7
2004-01-09T00:00:00Z,-1,-5,5,-6.2,-2.8
2004-01-10T00:00:00Z,0,-7.1,5,-8.1,-5.1
2004-01-11T00:00:00Z,0.6,-5.9,5,-7.7,-4.5
2004-01-12T00:00:00Z,1.4,-3.9,5,-6.6,-2.1
2004-01-13T00:00:00Z,5.4,0.5,6,-2.5,1.3
2004-01-14T00:00:00Z,3.7,-2.3,12,-4.5,0.5
2004-01-15T00:00:00Z,1.7,-4,13,-5,-2.6
2004-01-16T00:00:00Z,1.5,-8.3,14,-11.2,-4.6
2004-01-17T00:00:00Z,2.4,-2.3,15,-8.5,-0.6
2004-01-18T00:00:00Z,1.2,-4.4,21,-9,-1.8
2004-01-19T00:00:00Z,0,-5.5,22,-7.3,-2.3
2004-01-20T00:00:00Z,0,-11.6,22,-14.7,-6.8
2004-01-21T00:00:00Z,0.1,-15.6,19,-19.4,-12
2004-01-22T00:00:00Z,-1,-13,18,-14.5,-9.5
2004-01-23T00:00:00Z,-1,-9.1,18,-19.2,-1.6
2004-01-24T00:00:00Z,0,-2.2,18,-3.2,-0.9
2004-01-25T00:00:00Z,0.2,-6.6,16,-8,-2.6
2004-01-26T00:00:00Z,0.6,-4.5,16,-7.7,-3
2004-01-27T00:00:00Z,1.4,-4.3,17,-6.3,-1.8
2004-01-28T00:00:00Z,1.6,-3.7,19,-4.4,-3
2004-01-29T00:00:00Z,4.1,-3.5,20,-4.4,-2.6
2004-01-30T00:00:00Z,0.3,-3.8,23,-4.9,-2.4
2004-01-31T00:00:00Z,17.7,-3.4,23,-6.1,-0.4
2004-02-01T00:00:00Z,6.4,-0.5,40,-1.5,1
2004-02-02T00:00:00Z,-1,-2.8,43,-5.9,0.8
2004-02-03T00:00:00Z,7.8,-1.9,43,-2.9,-0.9
2004-02-04T00:00:00Z,4.3,1.5,40,-1.5,3.3
2004-02-05T00:00:00Z,0,0.8,31,-2.2,3.6
2004-02-06T00:00:00Z,0.3,-3.1,28,-5.2,-1.5
2004-02-07T00:00:00Z,0.2,-3.5,28,-5.3,-0.9
2004-02-08T00:00:00Z,1.2,-7.4,28,-9.5,-4.9
2004-02-09T00:00:00Z,0.8,-7.7,30,-11,-3.4
2004-02-10T00:00:00Z,-1,-12.3,30,-16.8,-7.9
2004-02-11T00:00:00Z,-1,-13.6,30,-16.1,-9.6
2004-02-12T00:00:00Z,1.2,-12.9,30,-17.7,-9
2004-02-13T00:00:00Z,0.1,-2.2,31,-10.6,0.1
2004-02-14T00:00:00Z,0.1,1.4,31,-0.6,2.8
2004-02-15T00:00:00Z,1,-0.4,30,-3.5,1.6
2004-02-16T00:00:00Z,0,-2,31,-4.5,2.3
2004-02-17T00:00:00Z,7.1,-1.3,30,-4.7,1.2
2004-02-18T00:00:00Z,0,-9.5,31,-11.3,-1.1
