date,name,rrday,snow,tday,tmax,tmin
2004-01-01,Helsinki Helsinki-Malmi lentoasema,NA,NA,-8.2,-1.8,-11.3
2004-01-01,Helsinki Kaisaniemi,0,0,-7.2,-1.1,-9.9
2004-01-02,Helsinki Helsinki-Malmi lentoasema,NA,NA,-13.5,-10.5,-15.1
2004-01-02,Helsinki Kaisaniemi,0,0,-11.9,-9.3,-12.8
2004-01-03,Helsinki Helsinki-Malmi lentoasema,NA,NA,-15,-10,-19
2004-01-03,Helsinki Kaisaniemi,0,0,-10.2,-4.2,-15.4
2004-01-04,Helsinki Helsinki-Malmi lentoasema,NA,NA,-8,-5.5,-15.6
2004-01-04,Helsinki Kaisaniemi,0.4,0,-4.4,-2.5,-6.8
2004-01-05,Helsinki Helsinki-Malmi lentoasema,NA,NA,-4.1,-2,-6.6
2004-01-05,Helsinki Kaisaniemi,0.1,1,-3.2,-1.3,-4.8
2004-01-06,Helsinki Helsinki-Malmi lentoasema,NA,NA,-5.4,-1.8,-13.1
2004-01-06,Helsinki Kaisaniemi,1.1,1,-3.4,-0.4,-8.4
2004-01-07,Helsinki Helsinki-Malmi lentoasema,NA,NA,-3.3,-1.1,-4.1
2004-01-07,Helsinki Kaisaniemi,0,4,-2.4,0,-3.6
2004-01-08,Helsinki Helsinki-Malmi lentoasema,NA,NA,-4.7,-3.6,-5.7
2004-01-08,Helsinki Kaisaniemi,0.1,4,-4.2,-2.7,-5.4
2004-01-09,Helsinki Helsinki-Malmi lentoasema,NA,NA,-5.9,-3.8,-8
2004-01-09,Helsinki Kaisaniemi,0,5,-5,-2.8,-6.2
2004-01-10,Helsinki Helsinki-Malmi lentoasema,NA,NA,-8.3,-7.7,-9.7
2004-01-10,Helsinki Kaisaniemi,0,5,-7.1,-5.1,-8.1
2004-01-11,Helsinki Helsinki-Malmi lentoasema,NA,NA,-6.8,-5.9,-8.7
2004-01-11,Helsinki Herttoniemi,NA,NA,-6.5,NA,NA
2004-01-11,Helsinki Kaisaniemi,0.6,5,-5.9,-4.5,-7.7
2004-01-12,Helsinki Helsinki-Malmi lentoasema,NA,NA,-4.5,-3.1,-7
2004-01-12,Helsinki Kaisaniemi,1.4,5,-3.9,-2.1,-6.6
2004-01-13,Helsinki Helsinki-Malmi lentoasema,NA,NA,0,0.6,-6
2004-01-13,Helsinki Kaisaniemi,5.4,6,0.5,1.3,-2.5
2004-01-14,Helsinki Helsinki-Malmi lentoasema,NA,NA,-2.8,-0.4,-5
2004-01-14,Helsinki Kaisaniemi,3.7,12,-2.3,0.5,-4.5
2004-01-15,Helsinki Helsinki-Malmi lentoasema,NA,NA,-4.3,-3.3,-5.4
2004-01-15,Helsinki Kaisaniemi,1.7,13,-4,-2.6,-5
2004-01-16,Helsinki Helsinki-Malmi lentoasema,NA,NA,-9.1,-5.2,-11.1
2004-01-16,Helsinki Kaisaniemi,1.5,14,-8.3,-4.6,-11.2
2004-01-17,Helsinki Helsinki-Malmi lentoasema,NA,NA,-3.5,-1.6,-10.9
2004-01-17,Helsinki Kaisaniemi,2.4,15,-2.3,-0.6,-8.5
2004-01-18,Helsinki Helsinki-Malmi lentoasema,NA,NA,-5.1,-2.9,-11.7
2004-01-18,Helsinki Kaisaniemi,1.2,21,-4.4,-1.8,-9
2004-01-19,Helsinki Helsinki-Malmi lentoasema,NA,NA,-6.5,-3.1,-8.4
2004-01-19,Helsinki Kaisaniemi,0,22,-5.5,-2.3,-7.3
2004-01-20,Helsinki Helsinki-Malmi lentoasema,NA,NA,-12.5,-8.4,-15.6
2004-01-20,Helsinki Kaisaniemi,0,22,-11.6,-6.8,-14.7
2004-01-21,Helsinki Helsinki-Malmi lentoasema,NA,NA,-16.3,-12.8,-20.3
2004-01-21,Helsinki Kaisaniemi,0.1,19,-15.6,-12,-19.4
2004-01-22,Helsinki Helsinki-Malmi lentoasema,NA,NA,-14.1,-11,-15.8
2004-01-22,Helsinki Kaisaniemi,0,18,-13,-9.5,-14.5
2004-01-23,Helsinki Helsinki-Malmi lentoasema,NA,NA,-11.9,-2.1,-22.8
2004-01-23,Helsinki Kaisaniemi,0,18,-9.1,-1.6,-19.2
2004-01-24,Helsinki Helsinki-Malmi lentoasema,NA,NA,-2.5,-1.5,-3.4
2004-01-24,Helsinki Kaisaniemi,0,18,-2.2,-0.9,-3.2
2004-01-25,Helsinki Helsinki-Malmi lentoasema,NA,NA,-7.2,-3.3,-8.5
2004-01-25,Helsinki Kaisaniemi,0.2,16,-6.6,-2.6,-8
2004-01-26,Helsinki Helsinki-Malmi lentoasema,NA,NA,-5.7,-4.3,-8.4
2004-01-26,Helsinki Kaisaniemi,0.6,16,-4.5,-3,-7.7
2004-01-27,Helsinki Helsinki-Malmi lentoasema,NA,NA,-5,-2.5,-6.7
2004-01-27,Helsinki Kaisaniemi,1.4,17,-4.3,-1.8,-6.3
2004-01-28,Helsinki Helsinki-Malmi lentoasema,NA,NA,-4.3,-4,-4.9
2004-01-28,Helsinki Kaisaniemi,1.6,19,-3.7,-3,-4.4
2004-01-29,Helsinki Helsinki-Malmi lentoasema,NA,NA,-4,-3.6,-4.5
2004-01-29,Helsinki Kaisaniemi,4.1,20,-3.5,-2.6,-4.4
2004-01-30,Helsinki Helsinki-Malmi lentoasema,NA,NA,-4.2,-2.9,-5.3
2004-01-30,Helsinki Kaisaniemi,0.3,23,-3.8,-2.4,-4.9
2004-01-31,Helsinki Helsinki-Malmi lentoasema,NA,NA,-3.9,-1.1,-6.4
2004-01-31,Helsinki Kaisaniemi,17.7,23,-3.4,-0.4,-6.1
2004-02-01,Helsinki Helsinki-Malmi lentoasema,NA,NA,-0.7,0.7,-1.7
2004-02-01,Helsinki Kaisaniemi,6.4,40,-0.5,1,-1.5
2004-02-02,Helsinki Helsinki-Malmi lentoasema,NA,NA,-3.7,0.4,-8.1
2004-02-02,Helsinki Kaisaniemi,0,43,-2.8,0.8,-5.9
2004-02-03,Helsinki Helsinki-Malmi lentoasema,NA,NA,-2.3,-1.7,-3.2
2004-02-03,Helsinki Kaisaniemi,7.8,43,-1.9,-0.9,-2.9
2004-02-04,Helsinki Helsinki-Malmi lentoasema,NA,NA,1.5,3.1,-1.8
2004-02-04,Helsinki Kaisaniemi,4.3,40,1.5,3.3,-1.5
2004-02-05,Helsinki Helsinki-Malmi lentoasema,NA,NA,0.6,3.2,-2.9
2004-02-05,Helsinki Kaisaniemi,0,31,0.8,3.6,-2.2
2004-02-06,Helsinki Helsinki-Malmi lentoasema,NA,NA,-3.7,-2.3,-5.3
2004-02-06,Helsinki Kaisaniemi,0.3,28,-3.1,-1.5,-5.2
2004-02-07,Helsinki Helsinki-Malmi lentoasema,NA,NA,-4.2,-1.8,-5.6
2004-02-07,Helsinki Kaisaniemi,0.2,28,-3.5,-0.9,-5.3
2004-02-08,Helsinki Helsinki-Malmi lentoasema,NA,NA,-9.4,-5.6,-13.1
2004-02-08,Helsinki Kaisaniemi,1.2,28,-7.4,-4.9,-9.5
2004-02-09,Helsinki Helsinki-Malmi lentoasema,NA,NA,-8.4,-4.3,-10.9
2004-02-09,Helsinki Kaisaniemi,0.8,30,-7.7,-3.4,-11
2004-02-10,Helsinki Helsinki-Malmi lentoasema,NA,NA,-13.7,-8.8,-20.8
2004-02-10,Helsinki Kaisaniemi,0,30,-12.3,-7.9,-16.8
2004-02-11,Helsinki Helsinki-Malmi lentoasema,NA,NA,-14.1,-10.7,-16.2
2004-02-11,Helsinki Kaisaniemi,0,30,-13.6,-9.6,-16.1
2004-02-12,Helsinki Helsinki-Malmi lentoasema,NA,NA,-14.4,-10.3,-20.2
2004-02-12,Helsinki Kaisaniemi,1.2,30,-12.9,-9,-17.7
2004-02-13,Helsinki Helsinki-Malmi lentoasema,NA,NA,-2.5,-0.5,-14.6
2004-02-13,Helsinki Kaisaniemi,0.1,31,-2.2,0.1,-10.6
2004-02-14,Helsinki Helsinki-Malmi lentoasema,NA,NA,1.1,2.1,-0.5
2004-02-14,Helsinki Kaisaniemi,0.1,31,1.4,2.8,-0.6
2004-02-15,Helsinki Helsinki-Malmi lentoasema,NA,NA,-0.6,1.3,-3.9
2004-02-15,Helsinki Kaisaniemi,1,30,-0.4,1.6,-3.5
2004-02-16,Helsinki Helsinki-Malmi lentoasema,NA,NA,-2.7,1.6,-5
2004-02-16,Helsinki Kaisaniemi,0,31,-2,2.3,-4.5
2004-02-17,Helsinki Helsinki-Malmi lentoasema,NA,NA,-2.2,NA,NA
2004-02-17,Helsinki Kaisaniemi,7.1,30,-1.3,1.2,-4.7
2004-02-18,Helsinki Helsinki-Malmi lentoasema,NA,NA,-10.5,-3.4,-12.1
2004-02-18,Helsinki Kaisaniemi,0,31,-9.5,-1.1,-11.3
2004-02-19,Helsinki Helsinki-Malmi lentoasema,NA,NA,-12.5,-5.4,-21.2
2004-02-19,Helsinki Kaisaniemi,0.7,31,-10.9,-4.6,-18.1
2004-02-20,Helsinki Helsinki-Malmi lentoasema,NA,NA,-0.1,2.4,-6.2
2004-02-20,Helsinki Kaisaniemi,0,32,-0.1,2.5,-5.9
2004-02-21,Helsinki Helsinki-Malmi lentoasema,NA,NA,0.6,3,-0.3
2004-02-21,Helsinki Kaisaniemi,0,32,0.6,2.5,-0.3
2004-02-22,Helsinki Helsinki-Malmi lentoasema,NA,NA,-2.5,0.9,-3.4
2004-02-22,Helsinki Kaisaniemi,0.5,32,-2.1,1.3,-3.4
2004-02-23,Helsinki Helsinki-Malmi lentoasema,NA,NA,-5.7,-3.4,-5.8
2004-02-23,Helsinki Kaisaniemi,1.9,33,-4.8,-2.4,-5.7
2004-02-24,Helsinki Helsinki-Malmi lentoasema,NA,NA,-9.2,-2.3,-19
2004-02-24,Helsinki Kaisaniemi,1.5,35,-6.8,0,-13.4
2004-02-25,Helsinki Helsinki-Malmi lentoasema,NA,NA,-2,-0.2,-5.9
2004-02-25,Helsinki Kaisaniemi,0.9,38,-1.4,0.6,-4.9
2004-02-26,Helsinki Helsinki-Malmi lentoasema,NA,NA,-0.7,0.5,-1.7
2004-02-26,Helsinki Kaisaniemi,4.5,39,-0.3,1.3,-1.3
