"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10304501,103,"2004-11-01","Monday",0,NA
"36",10304501,103,"2004-11-01","Monday",0,NA
"71",10304501,103,"2004-11-01","Monday",1,NA
"106",10304501,103,"2004-11-01","Monday",1,NA
"141",10304501,103,"2004-11-01","Monday",2,NA
"176",10304501,103,"2004-11-01","Monday",2,NA
"211",10304501,103,"2004-11-01","Monday",3,NA
"246",10304501,103,"2004-11-01","Monday",3,NA
"281",10304501,103,"2004-11-01","Monday",4,NA
"316",10304501,103,"2004-11-01","Monday",4,NA
"351",10304501,103,"2004-11-01","Monday",5,NA
"386",10304501,103,"2004-11-01","Monday",5,NA
"421",10304501,103,"2004-11-01","Monday",6,NA
"456",10304501,103,"2004-11-01","Monday",6,NA
"491",10304501,103,"2004-11-01","Monday",7,NA
"526",10304501,103,"2004-11-01","Monday",7,NA
"561",10304501,103,"2004-11-01","Monday",8,NA
"596",10304501,103,"2004-11-01","Monday",8,NA
"631",10304501,103,"2004-11-01","Monday",9,NA
"666",10304501,103,"2004-11-01","Monday",9,NA
"701",10304501,103,"2004-11-01","Monday",10,13
"736",10304501,103,"2004-11-01","Monday",10,7
"771",10304501,103,"2004-11-01","Monday",11,15
"806",10304501,103,"2004-11-01","Monday",11,8
"841",10304501,103,"2004-11-01","Monday",12,14
"876",10304501,103,"2004-11-01","Monday",12,14
"911",10304501,103,"2004-11-01","Monday",13,16
"946",10304501,103,"2004-11-01","Monday",13,17
"981",10304501,103,"2004-11-01","Monday",14,11
"1016",10304501,103,"2004-11-01","Monday",14,22
"1051",10304501,103,"2004-11-01","Monday",15,22
"1086",10304501,103,"2004-11-01","Monday",15,46
"1121",10304501,103,"2004-11-01","Monday",16,20
"1156",10304501,103,"2004-11-01","Monday",16,63
"1191",10304501,103,"2004-11-01","Monday",17,20
"1226",10304501,103,"2004-11-01","Monday",17,55
"1261",10304501,103,"2004-11-01","Monday",18,7
"1296",10304501,103,"2004-11-01","Monday",18,28
"1331",10304501,103,"2004-11-01","Monday",19,8
"1366",10304501,103,"2004-11-01","Monday",19,15
"1401",10304501,103,"2004-11-01","Monday",20,7
"1436",10304501,103,"2004-11-01","Monday",20,15
"1471",10304501,103,"2004-11-01","Monday",21,6
"1506",10304501,103,"2004-11-01","Monday",21,5
"1541",10304501,103,"2004-11-01","Monday",22,1
"1576",10304501,103,"2004-11-01","Monday",22,1
"1611",10304501,103,"2004-11-01","Monday",23,1
"1646",10304501,103,"2004-11-01","Monday",23,1
"2",10304501,103,"2004-11-02","Tuesday",0,0
"37",10304501,103,"2004-11-02","Tuesday",0,1
"72",10304501,103,"2004-11-02","Tuesday",1,0
"107",10304501,103,"2004-11-02","Tuesday",1,0
"142",10304501,103,"2004-11-02","Tuesday",2,3
"177",10304501,103,"2004-11-02","Tuesday",2,1
"212",10304501,103,"2004-11-02","Tuesday",3,1
"247",10304501,103,"2004-11-02","Tuesday",3,1
"282",10304501,103,"2004-11-02","Tuesday",4,1
"317",10304501,103,"2004-11-02","Tuesday",4,0
"352",10304501,103,"2004-11-02","Tuesday",5,6
"387",10304501,103,"2004-11-02","Tuesday",5,3
"422",10304501,103,"2004-11-02","Tuesday",6,37
"457",10304501,103,"2004-11-02","Tuesday",6,4
"492",10304501,103,"2004-11-02","Tuesday",7,62
"527",10304501,103,"2004-11-02","Tuesday",7,15
"562",10304501,103,"2004-11-02","Tuesday",8,60
"597",10304501,103,"2004-11-02","Tuesday",8,12
"632",10304501,103,"2004-11-02","Tuesday",9,17
"667",10304501,103,"2004-11-02","Tuesday",9,9
"702",10304501,103,"2004-11-02","Tuesday",10,14
"737",10304501,103,"2004-11-02","Tuesday",10,5
"772",10304501,103,"2004-11-02","Tuesday",11,21
"807",10304501,103,"2004-11-02","Tuesday",11,5
"842",10304501,103,"2004-11-02","Tuesday",12,13
"877",10304501,103,"2004-11-02","Tuesday",12,13
"912",10304501,103,"2004-11-02","Tuesday",13,16
"947",10304501,103,"2004-11-02","Tuesday",13,16
"982",10304501,103,"2004-11-02","Tuesday",14,6
"1017",10304501,103,"2004-11-02","Tuesday",14,13
"1052",10304501,103,"2004-11-02","Tuesday",15,13
"1087",10304501,103,"2004-11-02","Tuesday",15,37
"1122",10304501,103,"2004-11-02","Tuesday",16,23
"1157",10304501,103,"2004-11-02","Tuesday",16,62
"1192",10304501,103,"2004-11-02","Tuesday",17,16
"1227",10304501,103,"2004-11-02","Tuesday",17,38
"1262",10304501,103,"2004-11-02","Tuesday",18,7
"1297",10304501,103,"2004-11-02","Tuesday",18,14
"1332",10304501,103,"2004-11-02","Tuesday",19,13
"1367",10304501,103,"2004-11-02","Tuesday",19,22
"1402",10304501,103,"2004-11-02","Tuesday",20,8
"1437",10304501,103,"2004-11-02","Tuesday",20,13
"1472",10304501,103,"2004-11-02","Tuesday",21,5
"1507",10304501,103,"2004-11-02","Tuesday",21,7
"1542",10304501,103,"2004-11-02","Tuesday",22,3
"1577",10304501,103,"2004-11-02","Tuesday",22,3
"1612",10304501,103,"2004-11-02","Tuesday",23,0
"1647",10304501,103,"2004-11-02","Tuesday",23,2
"3",10304501,103,"2004-11-03","Wednesday",0,3
"38",10304501,103,"2004-11-03","Wednesday",0,2
"73",10304501,103,"2004-11-03","Wednesday",1,0
"108",10304501,103,"2004-11-03","Wednesday",1,0
"143",10304501,103,"2004-11-03","Wednesday",2,1
"178",10304501,103,"2004-11-03","Wednesday",2,0
"213",10304501,103,"2004-11-03","Wednesday",3,0
"248",10304501,103,"2004-11-03","Wednesday",3,0
"283",10304501,103,"2004-11-03","Wednesday",4,0
"318",10304501,103,"2004-11-03","Wednesday",4,0
"353",10304501,103,"2004-11-03","Wednesday",5,7
"388",10304501,103,"2004-11-03","Wednesday",5,4
"423",10304501,103,"2004-11-03","Wednesday",6,27
"458",10304501,103,"2004-11-03","Wednesday",6,1
"493",10304501,103,"2004-11-03","Wednesday",7,68
"528",10304501,103,"2004-11-03","Wednesday",7,14
"563",10304501,103,"2004-11-03","Wednesday",8,66
"598",10304501,103,"2004-11-03","Wednesday",8,8
"633",10304501,103,"2004-11-03","Wednesday",9,21
"668",10304501,103,"2004-11-03","Wednesday",9,8
"703",10304501,103,"2004-11-03","Wednesday",10,15
"738",10304501,103,"2004-11-03","Wednesday",10,3
"773",10304501,103,"2004-11-03","Wednesday",11,11
"808",10304501,103,"2004-11-03","Wednesday",11,9
"843",10304501,103,"2004-11-03","Wednesday",12,12
"878",10304501,103,"2004-11-03","Wednesday",12,13
"913",10304501,103,"2004-11-03","Wednesday",13,13
"948",10304501,103,"2004-11-03","Wednesday",13,4
"983",10304501,103,"2004-11-03","Wednesday",14,11
"1018",10304501,103,"2004-11-03","Wednesday",14,18
"1053",10304501,103,"2004-11-03","Wednesday",15,18
"1088",10304501,103,"2004-11-03","Wednesday",15,37
"1123",10304501,103,"2004-11-03","Wednesday",16,22
"1158",10304501,103,"2004-11-03","Wednesday",16,63
"1193",10304501,103,"2004-11-03","Wednesday",17,10
"1228",10304501,103,"2004-11-03","Wednesday",17,32
"1263",10304501,103,"2004-11-03","Wednesday",18,8
"1298",10304501,103,"2004-11-03","Wednesday",18,24
"1333",10304501,103,"2004-11-03","Wednesday",19,8
"1368",10304501,103,"2004-11-03","Wednesday",19,16
"1403",10304501,103,"2004-11-03","Wednesday",20,3
"1438",10304501,103,"2004-11-03","Wednesday",20,15
"1473",10304501,103,"2004-11-03","Wednesday",21,4
"1508",10304501,103,"2004-11-03","Wednesday",21,6
"1543",10304501,103,"2004-11-03","Wednesday",22,1
"1578",10304501,103,"2004-11-03","Wednesday",22,4
"1613",10304501,103,"2004-11-03","Wednesday",23,0
"1648",10304501,103,"2004-11-03","Wednesday",23,2
"4",10304501,103,"2004-11-04","Thursday",0,0
"39",10304501,103,"2004-11-04","Thursday",0,2
"74",10304501,103,"2004-11-04","Thursday",1,1
"109",10304501,103,"2004-11-04","Thursday",1,0
"144",10304501,103,"2004-11-04","Thursday",2,1
"179",10304501,103,"2004-11-04","Thursday",2,1
"214",10304501,103,"2004-11-04","Thursday",3,2
"249",10304501,103,"2004-11-04","Thursday",3,0
"284",10304501,103,"2004-11-04","Thursday",4,0
"319",10304501,103,"2004-11-04","Thursday",4,0
"354",10304501,103,"2004-11-04","Thursday",5,6
"389",10304501,103,"2004-11-04","Thursday",5,3
"424",10304501,103,"2004-11-04","Thursday",6,26
"459",10304501,103,"2004-11-04","Thursday",6,4
"494",10304501,103,"2004-11-04","Thursday",7,56
"529",10304501,103,"2004-11-04","Thursday",7,6
"564",10304501,103,"2004-11-04","Thursday",8,48
"599",10304501,103,"2004-11-04","Thursday",8,11
"634",10304501,103,"2004-11-04","Thursday",9,15
"669",10304501,103,"2004-11-04","Thursday",9,5
"704",10304501,103,"2004-11-04","Thursday",10,12
"739",10304501,103,"2004-11-04","Thursday",10,2
"774",10304501,103,"2004-11-04","Thursday",11,13
"809",10304501,103,"2004-11-04","Thursday",11,8
"844",10304501,103,"2004-11-04","Thursday",12,7
"879",10304501,103,"2004-11-04","Thursday",12,5
"914",10304501,103,"2004-11-04","Thursday",13,5
"949",10304501,103,"2004-11-04","Thursday",13,4
"984",10304501,103,"2004-11-04","Thursday",14,7
"1019",10304501,103,"2004-11-04","Thursday",14,15
"1054",10304501,103,"2004-11-04","Thursday",15,15
"1089",10304501,103,"2004-11-04","Thursday",15,30
"1124",10304501,103,"2004-11-04","Thursday",16,18
