"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10300501,103,"2005-01-31","Monday",0,NA
"36",10300501,103,"2005-01-31","Monday",0,NA
"71",10300501,103,"2005-01-31","Monday",1,NA
"106",10300501,103,"2005-01-31","Monday",1,NA
"141",10300501,103,"2005-01-31","Monday",2,NA
"176",10300501,103,"2005-01-31","Monday",2,NA
"211",10300501,103,"2005-01-31","Monday",3,NA
"246",10300501,103,"2005-01-31","Monday",3,NA
"281",10300501,103,"2005-01-31","Monday",4,NA
"316",10300501,103,"2005-01-31","Monday",4,NA
"351",10300501,103,"2005-01-31","Monday",5,NA
"386",10300501,103,"2005-01-31","Monday",5,NA
"421",10300501,103,"2005-01-31","Monday",6,NA
"456",10300501,103,"2005-01-31","Monday",6,NA
"491",10300501,103,"2005-01-31","Monday",7,NA
"526",10300501,103,"2005-01-31","Monday",7,NA
"561",10300501,103,"2005-01-31","Monday",8,NA
"596",10300501,103,"2005-01-31","Monday",8,NA
"631",10300501,103,"2005-01-31","Monday",9,NA
"666",10300501,103,"2005-01-31","Monday",9,NA
"701",10300501,103,"2005-01-31","Monday",10,NA
"736",10300501,103,"2005-01-31","Monday",10,NA
"771",10300501,103,"2005-01-31","Monday",11,NA
"806",10300501,103,"2005-01-31","Monday",11,NA
"841",10300501,103,"2005-01-31","Monday",12,NA
"876",10300501,103,"2005-01-31","Monday",12,NA
"911",10300501,103,"2005-01-31","Monday",13,NA
"946",10300501,103,"2005-01-31","Monday",13,NA
"981",10300501,103,"2005-01-31","Monday",14,4
"1016",10300501,103,"2005-01-31","Monday",14,4
"1051",10300501,103,"2005-01-31","Monday",15,3
"1086",10300501,103,"2005-01-31","Monday",15,8
"1121",10300501,103,"2005-01-31","Monday",16,2
"1156",10300501,103,"2005-01-31","Monday",16,10
"1191",10300501,103,"2005-01-31","Monday",17,3
"1226",10300501,103,"2005-01-31","Monday",17,4
"1261",10300501,103,"2005-01-31","Monday",18,1
"1296",10300501,103,"2005-01-31","Monday",18,4
"1331",10300501,103,"2005-01-31","Monday",19,0
"1366",10300501,103,"2005-01-31","Monday",19,1
"1401",10300501,103,"2005-01-31","Monday",20,0
"1436",10300501,103,"2005-01-31","Monday",20,3
"1471",10300501,103,"2005-01-31","Monday",21,1
"1506",10300501,103,"2005-01-31","Monday",21,0
"1541",10300501,103,"2005-01-31","Monday",22,0
"1576",10300501,103,"2005-01-31","Monday",22,1
"1611",10300501,103,"2005-01-31","Monday",23,0
"1646",10300501,103,"2005-01-31","Monday",23,2
"2",10300501,103,"2005-02-01","Tuesday",0,0
"37",10300501,103,"2005-02-01","Tuesday",0,0
"72",10300501,103,"2005-02-01","Tuesday",1,0
"107",10300501,103,"2005-02-01","Tuesday",1,0
"142",10300501,103,"2005-02-01","Tuesday",2,0
"177",10300501,103,"2005-02-01","Tuesday",2,0
"212",10300501,103,"2005-02-01","Tuesday",3,0
"247",10300501,103,"2005-02-01","Tuesday",3,0
"282",10300501,103,"2005-02-01","Tuesday",4,0
"317",10300501,103,"2005-02-01","Tuesday",4,0
"352",10300501,103,"2005-02-01","Tuesday",5,3
"387",10300501,103,"2005-02-01","Tuesday",5,1
"422",10300501,103,"2005-02-01","Tuesday",6,10
"457",10300501,103,"2005-02-01","Tuesday",6,3
"492",10300501,103,"2005-02-01","Tuesday",7,14
"527",10300501,103,"2005-02-01","Tuesday",7,4
"562",10300501,103,"2005-02-01","Tuesday",8,17
"597",10300501,103,"2005-02-01","Tuesday",8,2
"632",10300501,103,"2005-02-01","Tuesday",9,2
"667",10300501,103,"2005-02-01","Tuesday",9,3
"702",10300501,103,"2005-02-01","Tuesday",10,6
"737",10300501,103,"2005-02-01","Tuesday",10,0
"772",10300501,103,"2005-02-01","Tuesday",11,2
"807",10300501,103,"2005-02-01","Tuesday",11,2
"842",10300501,103,"2005-02-01","Tuesday",12,5
"877",10300501,103,"2005-02-01","Tuesday",12,2
"912",10300501,103,"2005-02-01","Tuesday",13,3
"947",10300501,103,"2005-02-01","Tuesday",13,3
"982",10300501,103,"2005-02-01","Tuesday",14,1
"1017",10300501,103,"2005-02-01","Tuesday",14,5
"1052",10300501,103,"2005-02-01","Tuesday",15,1
"1087",10300501,103,"2005-02-01","Tuesday",15,9
"1122",10300501,103,"2005-02-01","Tuesday",16,8
"1157",10300501,103,"2005-02-01","Tuesday",16,11
"1192",10300501,103,"2005-02-01","Tuesday",17,2
"1227",10300501,103,"2005-02-01","Tuesday",17,8
"1262",10300501,103,"2005-02-01","Tuesday",18,2
"1297",10300501,103,"2005-02-01","Tuesday",18,5
"1332",10300501,103,"2005-02-01","Tuesday",19,1
"1367",10300501,103,"2005-02-01","Tuesday",19,7
"1402",10300501,103,"2005-02-01","Tuesday",20,3
"1437",10300501,103,"2005-02-01","Tuesday",20,7
"1472",10300501,103,"2005-02-01","Tuesday",21,1
"1507",10300501,103,"2005-02-01","Tuesday",21,3
"1542",10300501,103,"2005-02-01","Tuesday",22,0
"1577",10300501,103,"2005-02-01","Tuesday",22,0
"1612",10300501,103,"2005-02-01","Tuesday",23,1
"1647",10300501,103,"2005-02-01","Tuesday",23,1
"3",10300501,103,"2005-02-02","Wednesday",0,0
"38",10300501,103,"2005-02-02","Wednesday",0,0
"73",10300501,103,"2005-02-02","Wednesday",1,0
"108",10300501,103,"2005-02-02","Wednesday",1,0
"143",10300501,103,"2005-02-02","Wednesday",2,0
"178",10300501,103,"2005-02-02","Wednesday",2,0
"213",10300501,103,"2005-02-02","Wednesday",3,0
"248",10300501,103,"2005-02-02","Wednesday",3,0
"283",10300501,103,"2005-02-02","Wednesday",4,3
"318",10300501,103,"2005-02-02","Wednesday",4,0
"353",10300501,103,"2005-02-02","Wednesday",5,3
"388",10300501,103,"2005-02-02","Wednesday",5,1
"423",10300501,103,"2005-02-02","Wednesday",6,6
"458",10300501,103,"2005-02-02","Wednesday",6,2
"493",10300501,103,"2005-02-02","Wednesday",7,18
"528",10300501,103,"2005-02-02","Wednesday",7,7
"563",10300501,103,"2005-02-02","Wednesday",8,11
"598",10300501,103,"2005-02-02","Wednesday",8,6
"633",10300501,103,"2005-02-02","Wednesday",9,7
"668",10300501,103,"2005-02-02","Wednesday",9,2
"703",10300501,103,"2005-02-02","Wednesday",10,2
"738",10300501,103,"2005-02-02","Wednesday",10,2
"773",10300501,103,"2005-02-02","Wednesday",11,5
"808",10300501,103,"2005-02-02","Wednesday",11,1
"843",10300501,103,"2005-02-02","Wednesday",12,6
"878",10300501,103,"2005-02-02","Wednesday",12,2
"913",10300501,103,"2005-02-02","Wednesday",13,3
"948",10300501,103,"2005-02-02","Wednesday",13,2
"983",10300501,103,"2005-02-02","Wednesday",14,3
"1018",10300501,103,"2005-02-02","Wednesday",14,2
"1053",10300501,103,"2005-02-02","Wednesday",15,1
"1088",10300501,103,"2005-02-02","Wednesday",15,5
"1123",10300501,103,"2005-02-02","Wednesday",16,6
"1158",10300501,103,"2005-02-02","Wednesday",16,16
"1193",10300501,103,"2005-02-02","Wednesday",17,1
"1228",10300501,103,"2005-02-02","Wednesday",17,11
"1263",10300501,103,"2005-02-02","Wednesday",18,1
"1298",10300501,103,"2005-02-02","Wednesday",18,7
"1333",10300501,103,"2005-02-02","Wednesday",19,4
"1368",10300501,103,"2005-02-02","Wednesday",19,1
"1403",10300501,103,"2005-02-02","Wednesday",20,1
"1438",10300501,103,"2005-02-02","Wednesday",20,4
"1473",10300501,103,"2005-02-02","Wednesday",21,2
"1508",10300501,103,"2005-02-02","Wednesday",21,0
"1543",10300501,103,"2005-02-02","Wednesday",22,0
"1578",10300501,103,"2005-02-02","Wednesday",22,0
"1613",10300501,103,"2005-02-02","Wednesday",23,1
"1648",10300501,103,"2005-02-02","Wednesday",23,2
"4",10300501,103,"2005-02-03","Thursday",0,1
"39",10300501,103,"2005-02-03","Thursday",0,1
"74",10300501,103,"2005-02-03","Thursday",1,0
"109",10300501,103,"2005-02-03","Thursday",1,1
"144",10300501,103,"2005-02-03","Thursday",2,1
"179",10300501,103,"2005-02-03","Thursday",2,0
"214",10300501,103,"2005-02-03","Thursday",3,0
"249",10300501,103,"2005-02-03","Thursday",3,0
"284",10300501,103,"2005-02-03","Thursday",4,0
"319",10300501,103,"2005-02-03","Thursday",4,0
"354",10300501,103,"2005-02-03","Thursday",5,2
"389",10300501,103,"2005-02-03","Thursday",5,1
"424",10300501,103,"2005-02-03","Thursday",6,6
"459",10300501,103,"2005-02-03","Thursday",6,2
"494",10300501,103,"2005-02-03","Thursday",7,17
"529",10300501,103,"2005-02-03","Thursday",7,5
"564",10300501,103,"2005-02-03","Thursday",8,10
"599",10300501,103,"2005-02-03","Thursday",8,1
