"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10201302,102,"2005-03-30","Wednesday",0,NA
"22",10201302,102,"2005-03-30","Wednesday",1,NA
"43",10201302,102,"2005-03-30","Wednesday",2,NA
"64",10201302,102,"2005-03-30","Wednesday",3,NA
"85",10201302,102,"2005-03-30","Wednesday",4,NA
"106",10201302,102,"2005-03-30","Wednesday",5,NA
"127",10201302,102,"2005-03-30","Wednesday",6,NA
"148",10201302,102,"2005-03-30","Wednesday",7,NA
"169",10201302,102,"2005-03-30","Wednesday",8,NA
"190",10201302,102,"2005-03-30","Wednesday",9,NA
"211",10201302,102,"2005-03-30","Wednesday",10,NA
"232",10201302,102,"2005-03-30","Wednesday",11,NA
"253",10201302,102,"2005-03-30","Wednesday",12,NA
"274",10201302,102,"2005-03-30","Wednesday",13,NA
"295",10201302,102,"2005-03-30","Wednesday",14,35
"316",10201302,102,"2005-03-30","Wednesday",15,50
"337",10201302,102,"2005-03-30","Wednesday",16,79
"358",10201302,102,"2005-03-30","Wednesday",17,63
"379",10201302,102,"2005-03-30","Wednesday",18,32
"400",10201302,102,"2005-03-30","Wednesday",19,32
"421",10201302,102,"2005-03-30","Wednesday",20,25
"442",10201302,102,"2005-03-30","Wednesday",21,17
"463",10201302,102,"2005-03-30","Wednesday",22,9
"484",10201302,102,"2005-03-30","Wednesday",23,8
"2",10201302,102,"2005-03-31","Thursday",0,5
"23",10201302,102,"2005-03-31","Thursday",1,2
"44",10201302,102,"2005-03-31","Thursday",2,0
"65",10201302,102,"2005-03-31","Thursday",3,1
"86",10201302,102,"2005-03-31","Thursday",4,0
"107",10201302,102,"2005-03-31","Thursday",5,12
"128",10201302,102,"2005-03-31","Thursday",6,28
"149",10201302,102,"2005-03-31","Thursday",7,81
"170",10201302,102,"2005-03-31","Thursday",8,78
"191",10201302,102,"2005-03-31","Thursday",9,64
"212",10201302,102,"2005-03-31","Thursday",10,43
"233",10201302,102,"2005-03-31","Thursday",11,36
"254",10201302,102,"2005-03-31","Thursday",12,27
"275",10201302,102,"2005-03-31","Thursday",13,29
"296",10201302,102,"2005-03-31","Thursday",14,46
"317",10201302,102,"2005-03-31","Thursday",15,53
"338",10201302,102,"2005-03-31","Thursday",16,92
"359",10201302,102,"2005-03-31","Thursday",17,64
"380",10201302,102,"2005-03-31","Thursday",18,52
"401",10201302,102,"2005-03-31","Thursday",19,41
"422",10201302,102,"2005-03-31","Thursday",20,28
"443",10201302,102,"2005-03-31","Thursday",21,21
"464",10201302,102,"2005-03-31","Thursday",22,15
"485",10201302,102,"2005-03-31","Thursday",23,7
"3",10201302,102,"2005-04-01","Friday",0,3
"24",10201302,102,"2005-04-01","Friday",1,2
"45",10201302,102,"2005-04-01","Friday",2,1
"66",10201302,102,"2005-04-01","Friday",3,2
"87",10201302,102,"2005-04-01","Friday",4,0
"108",10201302,102,"2005-04-01","Friday",5,13
"129",10201302,102,"2005-04-01","Friday",6,31
"150",10201302,102,"2005-04-01","Friday",7,95
"171",10201302,102,"2005-04-01","Friday",8,100
"192",10201302,102,"2005-04-01","Friday",9,53
"213",10201302,102,"2005-04-01","Friday",10,34
"234",10201302,102,"2005-04-01","Friday",11,39
"255",10201302,102,"2005-04-01","Friday",12,42
"276",10201302,102,"2005-04-01","Friday",13,43
