"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",11603611,116,"2006-09-06","Wednesday",0,NA
"29",11603611,116,"2006-09-06","Wednesday",1,NA
"57",11603611,116,"2006-09-06","Wednesday",2,NA
"85",11603611,116,"2006-09-06","Wednesday",3,NA
"113",11603611,116,"2006-09-06","Wednesday",4,NA
"141",11603611,116,"2006-09-06","Wednesday",5,NA
"169",11603611,116,"2006-09-06","Wednesday",6,NA
"197",11603611,116,"2006-09-06","Wednesday",7,NA
"225",11603611,116,"2006-09-06","Wednesday",8,NA
"253",11603611,116,"2006-09-06","Wednesday",9,NA
"281",11603611,116,"2006-09-06","Wednesday",10,NA
"309",11603611,116,"2006-09-06","Wednesday",11,NA
"337",11603611,116,"2006-09-06","Wednesday",12,NA
"365",11603611,116,"2006-09-06","Wednesday",13,NA
"393",11603611,116,"2006-09-06","Wednesday",14,NA
"421",11603611,116,"2006-09-06","Wednesday",15,89
"449",11603611,116,"2006-09-06","Wednesday",16,143
"477",11603611,116,"2006-09-06","Wednesday",17,103
"505",11603611,116,"2006-09-06","Wednesday",18,96
"533",11603611,116,"2006-09-06","Wednesday",19,78
"561",11603611,116,"2006-09-06","Wednesday",20,67
"589",11603611,116,"2006-09-06","Wednesday",21,23
"617",11603611,116,"2006-09-06","Wednesday",22,13
"645",11603611,116,"2006-09-06","Wednesday",23,4
"2",11603611,116,"2006-09-07","Thursday",0,2
"30",11603611,116,"2006-09-07","Thursday",1,2
"58",11603611,116,"2006-09-07","Thursday",2,1
"86",11603611,116,"2006-09-07","Thursday",3,1
"114",11603611,116,"2006-09-07","Thursday",4,2
"142",11603611,116,"2006-09-07","Thursday",5,20
"170",11603611,116,"2006-09-07","Thursday",6,44
"198",11603611,116,"2006-09-07","Thursday",7,83
"226",11603611,116,"2006-09-07","Thursday",8,77
"254",11603611,116,"2006-09-07","Thursday",9,65
"282",11603611,116,"2006-09-07","Thursday",10,63
"310",11603611,116,"2006-09-07","Thursday",11,55
"338",11603611,116,"2006-09-07","Thursday",12,79
"366",11603611,116,"2006-09-07","Thursday",13,53
"394",11603611,116,"2006-09-07","Thursday",14,84
"422",11603611,116,"2006-09-07","Thursday",15,110
"450",11603611,116,"2006-09-07","Thursday",16,100
"478",11603611,116,"2006-09-07","Thursday",17,100
"506",11603611,116,"2006-09-07","Thursday",18,70
"534",11603611,116,"2006-09-07","Thursday",19,49
"562",11603611,116,"2006-09-07","Thursday",20,30
"590",11603611,116,"2006-09-07","Thursday",21,18
"618",11603611,116,"2006-09-07","Thursday",22,9
"646",11603611,116,"2006-09-07","Thursday",23,0
"3",11603611,116,"2006-09-08","Friday",0,4
"31",11603611,116,"2006-09-08","Friday",1,1
"59",11603611,116,"2006-09-08","Friday",2,3
"87",11603611,116,"2006-09-08","Friday",3,0
"115",11603611,116,"2006-09-08","Friday",4,2
"143",11603611,116,"2006-09-08","Friday",5,15
"171",11603611,116,"2006-09-08","Friday",6,32
"199",11603611,116,"2006-09-08","Friday",7,75
"227",11603611,116,"2006-09-08","Friday",8,59
"255",11603611,116,"2006-09-08","Friday",9,56
"283",11603611,116,"2006-09-08","Friday",10,65
"311",11603611,116,"2006-09-08","Friday",11,68
"339",11603611,116,"2006-09-08","Friday",12,81
"367",11603611,116,"2006-09-08","Friday",13,76
"395",11603611,116,"2006-09-08","Friday",14,73
"423",11603611,116,"2006-09-08","Friday",15,90
"451",11603611,116,"2006-09-08","Friday",16,105
"479",11603611,116,"2006-09-08","Friday",17,66
"507",11603611,116,"2006-09-08","Friday",18,50
"535",11603611,116,"2006-09-08","Friday",19,55
"563",11603611,116,"2006-09-08","Friday",20,35
"591",11603611,116,"2006-09-08","Friday",21,17
"619",11603611,116,"2006-09-08","Friday",22,7
"647",11603611,116,"2006-09-08","Friday",23,4
"4",11603611,116,"2006-09-09","Saturday",0,1
"32",11603611,116,"2006-09-09","Saturday",1,4
"60",11603611,116,"2006-09-09","Saturday",2,6
"88",11603611,116,"2006-09-09","Saturday",3,2
"116",11603611,116,"2006-09-09","Saturday",4,0
"144",11603611,116,"2006-09-09","Saturday",5,0
"172",11603611,116,"2006-09-09","Saturday",6,4
"200",11603611,116,"2006-09-09","Saturday",7,6
"228",11603611,116,"2006-09-09","Saturday",8,26
"256",11603611,116,"2006-09-09","Saturday",9,33
"284",11603611,116,"2006-09-09","Saturday",10,55
"312",11603611,116,"2006-09-09","Saturday",11,56
"340",11603611,116,"2006-09-09","Saturday",12,73
"368",11603611,116,"2006-09-09","Saturday",13,91
"396",11603611,116,"2006-09-09","Saturday",14,82
"424",11603611,116,"2006-09-09","Saturday",15,64
"452",11603611,116,"2006-09-09","Saturday",16,83
"480",11603611,116,"2006-09-09","Saturday",17,74
"508",11603611,116,"2006-09-09","Saturday",18,42
"536",11603611,116,"2006-09-09","Saturday",19,18
"564",11603611,116,"2006-09-09","Saturday",20,12
"592",11603611,116,"2006-09-09","Saturday",21,15
"620",11603611,116,"2006-09-09","Saturday",22,4
"648",11603611,116,"2006-09-09","Saturday",23,1
"5",11603611,116,"2006-09-10","Sunday",0,2
"33",11603611,116,"2006-09-10","Sunday",1,2
"61",11603611,116,"2006-09-10","Sunday",2,9
"89",11603611,116,"2006-09-10","Sunday",3,2
"117",11603611,116,"2006-09-10","Sunday",4,1
"145",11603611,116,"2006-09-10","Sunday",5,2
"173",11603611,116,"2006-09-10","Sunday",6,6
"201",11603611,116,"2006-09-10","Sunday",7,10
"229",11603611,116,"2006-09-10","Sunday",8,6
"257",11603611,116,"2006-09-10","Sunday",9,27
"285",11603611,116,"2006-09-10","Sunday",10,77
"313",11603611,116,"2006-09-10","Sunday",11,130
"341",11603611,116,"2006-09-10","Sunday",12,171
"369",11603611,116,"2006-09-10","Sunday",13,137
"397",11603611,116,"2006-09-10","Sunday",14,113
"425",11603611,116,"2006-09-10","Sunday",15,78
"453",11603611,116,"2006-09-10","Sunday",16,39
"481",11603611,116,"2006-09-10","Sunday",17,49
"509",11603611,116,"2006-09-10","Sunday",18,38
"537",11603611,116,"2006-09-10","Sunday",19,31
"565",11603611,116,"2006-09-10","Sunday",20,28
"593",11603611,116,"2006-09-10","Sunday",21,15
"621",11603611,116,"2006-09-10","Sunday",22,3
"649",11603611,116,"2006-09-10","Sunday",23,4
"6",11603611,116,"2006-09-11","Monday",0,1
"34",11603611,116,"2006-09-11","Monday",1,1
"62",11603611,116,"2006-09-11","Monday",2,4
"90",11603611,116,"2006-09-11","Monday",3,2
"118",11603611,116,"2006-09-11","Monday",4,1
"146",11603611,116,"2006-09-11","Monday",5,15
"174",11603611,116,"2006-09-11","Monday",6,42
"202",11603611,116,"2006-09-11","Monday",7,90
"230",11603611,116,"2006-09-11","Monday",8,100
"258",11603611,116,"2006-09-11","Monday",9,72
"286",11603611,116,"2006-09-11","Monday",10,58
"314",11603611,116,"2006-09-11","Monday",11,73
