"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10704906,107,"2006-12-04","Monday",0,NA
"36",10704906,107,"2006-12-04","Monday",1,NA
"71",10704906,107,"2006-12-04","Monday",2,NA
"106",10704906,107,"2006-12-04","Monday",3,NA
"141",10704906,107,"2006-12-04","Monday",4,NA
"176",10704906,107,"2006-12-04","Monday",5,NA
"211",10704906,107,"2006-12-04","Monday",6,NA
"246",10704906,107,"2006-12-04","Monday",7,NA
"281",10704906,107,"2006-12-04","Monday",8,NA
"316",10704906,107,"2006-12-04","Monday",9,NA
"351",10704906,107,"2006-12-04","Monday",10,NA
"386",10704906,107,"2006-12-04","Monday",11,NA
"421",10704906,107,"2006-12-04","Monday",12,8
"456",10704906,107,"2006-12-04","Monday",13,17
"491",10704906,107,"2006-12-04","Monday",14,31
"526",10704906,107,"2006-12-04","Monday",15,32
"561",10704906,107,"2006-12-04","Monday",16,49
"596",10704906,107,"2006-12-04","Monday",17,32
"631",10704906,107,"2006-12-04","Monday",18,26
"666",10704906,107,"2006-12-04","Monday",19,13
"701",10704906,107,"2006-12-04","Monday",20,23
"736",10704906,107,"2006-12-04","Monday",21,15
"771",10704906,107,"2006-12-04","Monday",22,7
"806",10704906,107,"2006-12-04","Monday",23,2
"2",10704906,107,"2006-12-05","Tuesday",0,2
"37",10704906,107,"2006-12-05","Tuesday",1,1
"72",10704906,107,"2006-12-05","Tuesday",2,1
"107",10704906,107,"2006-12-05","Tuesday",3,1
"142",10704906,107,"2006-12-05","Tuesday",4,1
"177",10704906,107,"2006-12-05","Tuesday",5,3
"212",10704906,107,"2006-12-05","Tuesday",6,15
"247",10704906,107,"2006-12-05","Tuesday",7,48
"282",10704906,107,"2006-12-05","Tuesday",8,64
"317",10704906,107,"2006-12-05","Tuesday",9,50
"352",10704906,107,"2006-12-05","Tuesday",10,34
"387",10704906,107,"2006-12-05","Tuesday",11,24
"422",10704906,107,"2006-12-05","Tuesday",12,22
"457",10704906,107,"2006-12-05","Tuesday",13,24
"492",10704906,107,"2006-12-05","Tuesday",14,40
"527",10704906,107,"2006-12-05","Tuesday",15,42
"562",10704906,107,"2006-12-05","Tuesday",16,51
"597",10704906,107,"2006-12-05","Tuesday",17,51
"632",10704906,107,"2006-12-05","Tuesday",18,38
"667",10704906,107,"2006-12-05","Tuesday",19,16
"702",10704906,107,"2006-12-05","Tuesday",20,15
"737",10704906,107,"2006-12-05","Tuesday",21,9
"772",10704906,107,"2006-12-05","Tuesday",22,6
"807",10704906,107,"2006-12-05","Tuesday",23,2
"3",10704906,107,"2006-12-06","Wednesday",0,2
"38",10704906,107,"2006-12-06","Wednesday",1,4
"73",10704906,107,"2006-12-06","Wednesday",2,4
"108",10704906,107,"2006-12-06","Wednesday",3,0
"143",10704906,107,"2006-12-06","Wednesday",4,0
"178",10704906,107,"2006-12-06","Wednesday",5,1
"213",10704906,107,"2006-12-06","Wednesday",6,6
"248",10704906,107,"2006-12-06","Wednesday",7,4
"283",10704906,107,"2006-12-06","Wednesday",8,3
"318",10704906,107,"2006-12-06","Wednesday",9,11
"353",10704906,107,"2006-12-06","Wednesday",10,15
"388",10704906,107,"2006-12-06","Wednesday",11,19
"423",10704906,107,"2006-12-06","Wednesday",12,21
"458",10704906,107,"2006-12-06","Wednesday",13,33
"493",10704906,107,"2006-12-06","Wednesday",14,24
"528",10704906,107,"2006-12-06","Wednesday",15,25
"563",10704906,107,"2006-12-06","Wednesday",16,11
"598",10704906,107,"2006-12-06","Wednesday",17,9
"633",10704906,107,"2006-12-06","Wednesday",18,16
"668",10704906,107,"2006-12-06","Wednesday",19,9
"703",10704906,107,"2006-12-06","Wednesday",20,6
"738",10704906,107,"2006-12-06","Wednesday",21,5
"773",10704906,107,"2006-12-06","Wednesday",22,4
