"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10202618,102,"2008-06-25","Wednesday",0,NA
"22",10202618,102,"2008-06-25","Wednesday",1,NA
"43",10202618,102,"2008-06-25","Wednesday",2,NA
"64",10202618,102,"2008-06-25","Wednesday",3,NA
"85",10202618,102,"2008-06-25","Wednesday",4,NA
"106",10202618,102,"2008-06-25","Wednesday",5,NA
"127",10202618,102,"2008-06-25","Wednesday",6,NA
"148",10202618,102,"2008-06-25","Wednesday",7,NA
"169",10202618,102,"2008-06-25","Wednesday",8,NA
"190",10202618,102,"2008-06-25","Wednesday",9,NA
"211",10202618,102,"2008-06-25","Wednesday",10,NA
"232",10202618,102,"2008-06-25","Wednesday",11,NA
"253",10202618,102,"2008-06-25","Wednesday",12,NA
"274",10202618,102,"2008-06-25","Wednesday",13,NA
"295",10202618,102,"2008-06-25","Wednesday",14,NA
"316",10202618,102,"2008-06-25","Wednesday",15,NA
"337",10202618,102,"2008-06-25","Wednesday",16,275
"358",10202618,102,"2008-06-25","Wednesday",17,209
"379",10202618,102,"2008-06-25","Wednesday",18,120
"400",10202618,102,"2008-06-25","Wednesday",19,93
"421",10202618,102,"2008-06-25","Wednesday",20,85
"442",10202618,102,"2008-06-25","Wednesday",21,61
"463",10202618,102,"2008-06-25","Wednesday",22,22
"484",10202618,102,"2008-06-25","Wednesday",23,10
"2",10202618,102,"2008-06-26","Thursday",0,8
"23",10202618,102,"2008-06-26","Thursday",1,0
"44",10202618,102,"2008-06-26","Thursday",2,1
"65",10202618,102,"2008-06-26","Thursday",3,2
"86",10202618,102,"2008-06-26","Thursday",4,1
"107",10202618,102,"2008-06-26","Thursday",5,9
"128",10202618,102,"2008-06-26","Thursday",6,99
"149",10202618,102,"2008-06-26","Thursday",7,241
"170",10202618,102,"2008-06-26","Thursday",8,231
"191",10202618,102,"2008-06-26","Thursday",9,86
"212",10202618,102,"2008-06-26","Thursday",10,57
"233",10202618,102,"2008-06-26","Thursday",11,45
"254",10202618,102,"2008-06-26","Thursday",12,41
"275",10202618,102,"2008-06-26","Thursday",13,59
"296",10202618,102,"2008-06-26","Thursday",14,73
"317",10202618,102,"2008-06-26","Thursday",15,131
"338",10202618,102,"2008-06-26","Thursday",16,190
"359",10202618,102,"2008-06-26","Thursday",17,169
"380",10202618,102,"2008-06-26","Thursday",18,119
"401",10202618,102,"2008-06-26","Thursday",19,66
"422",10202618,102,"2008-06-26","Thursday",20,67
"443",10202618,102,"2008-06-26","Thursday",21,58
"464",10202618,102,"2008-06-26","Thursday",22,24
"485",10202618,102,"2008-06-26","Thursday",23,8
"3",10202618,102,"2008-06-27","Friday",0,4
"24",10202618,102,"2008-06-27","Friday",1,1
"45",10202618,102,"2008-06-27","Friday",2,3
"66",10202618,102,"2008-06-27","Friday",3,1
"87",10202618,102,"2008-06-27","Friday",4,3
"108",10202618,102,"2008-06-27","Friday",5,9
"129",10202618,102,"2008-06-27","Friday",6,82
"150",10202618,102,"2008-06-27","Friday",7,172
"171",10202618,102,"2008-06-27","Friday",8,175
"192",10202618,102,"2008-06-27","Friday",9,93
"213",10202618,102,"2008-06-27","Friday",10,39
"234",10202618,102,"2008-06-27","Friday",11,65
"255",10202618,102,"2008-06-27","Friday",12,56
"276",10202618,102,"2008-06-27","Friday",13,65
"297",10202618,102,"2008-06-27","Friday",14,71
"318",10202618,102,"2008-06-27","Friday",15,177
"339",10202618,102,"2008-06-27","Friday",16,218
"360",10202618,102,"2008-06-27","Friday",17,130
"381",10202618,102,"2008-06-27","Friday",18,78
"402",10202618,102,"2008-06-27","Friday",19,66
"423",10202618,102,"2008-06-27","Friday",20,40
"444",10202618,102,"2008-06-27","Friday",21,33
"465",10202618,102,"2008-06-27","Friday",22,28
"486",10202618,102,"2008-06-27","Friday",23,14
"4",10202618,102,"2008-06-28","Saturday",0,14
"25",10202618,102,"2008-06-28","Saturday",1,8
"46",10202618,102,"2008-06-28","Saturday",2,3
"67",10202618,102,"2008-06-28","Saturday",3,0
"88",10202618,102,"2008-06-28","Saturday",4,1
"109",10202618,102,"2008-06-28","Saturday",5,3
"130",10202618,102,"2008-06-28","Saturday",6,14
"151",10202618,102,"2008-06-28","Saturday",7,11
"172",10202618,102,"2008-06-28","Saturday",8,20
"193",10202618,102,"2008-06-28","Saturday",9,35
"214",10202618,102,"2008-06-28","Saturday",10,40
"235",10202618,102,"2008-06-28","Saturday",11,55
"256",10202618,102,"2008-06-28","Saturday",12,50
"277",10202618,102,"2008-06-28","Saturday",13,77
"298",10202618,102,"2008-06-28","Saturday",14,85
"319",10202618,102,"2008-06-28","Saturday",15,76
"340",10202618,102,"2008-06-28","Saturday",16,78
"361",10202618,102,"2008-06-28","Saturday",17,58
"382",10202618,102,"2008-06-28","Saturday",18,65
"403",10202618,102,"2008-06-28","Saturday",19,44
"424",10202618,102,"2008-06-28","Saturday",20,30
"445",10202618,102,"2008-06-28","Saturday",21,31
"466",10202618,102,"2008-06-28","Saturday",22,18
"487",10202618,102,"2008-06-28","Saturday",23,5
"5",10202618,102,"2008-06-29","Sunday",0,6
"26",10202618,102,"2008-06-29","Sunday",1,2
"47",10202618,102,"2008-06-29","Sunday",2,1
"68",10202618,102,"2008-06-29","Sunday",3,1
"89",10202618,102,"2008-06-29","Sunday",4,0
"110",10202618,102,"2008-06-29","Sunday",5,1
"131",10202618,102,"2008-06-29","Sunday",6,14
"152",10202618,102,"2008-06-29","Sunday",7,8
"173",10202618,102,"2008-06-29","Sunday",8,7
"194",10202618,102,"2008-06-29","Sunday",9,21
"215",10202618,102,"2008-06-29","Sunday",10,26
"236",10202618,102,"2008-06-29","Sunday",11,45
"257",10202618,102,"2008-06-29","Sunday",12,56
"278",10202618,102,"2008-06-29","Sunday",13,114
"299",10202618,102,"2008-06-29","Sunday",14,101
"320",10202618,102,"2008-06-29","Sunday",15,112
"341",10202618,102,"2008-06-29","Sunday",16,84
"362",10202618,102,"2008-06-29","Sunday",17,94
"383",10202618,102,"2008-06-29","Sunday",18,96
"404",10202618,102,"2008-06-29","Sunday",19,91
"425",10202618,102,"2008-06-29","Sunday",20,74
"446",10202618,102,"2008-06-29","Sunday",21,32
"467",10202618,102,"2008-06-29","Sunday",22,19
"488",10202618,102,"2008-06-29","Sunday",23,11
"6",10202618,102,"2008-06-30","Monday",0,12
"27",10202618,102,"2008-06-30","Monday",1,0
"48",10202618,102,"2008-06-30","Monday",2,2
"69",10202618,102,"2008-06-30","Monday",3,1
"90",10202618,102,"2008-06-30","Monday",4,0
"111",10202618,102,"2008-06-30","Monday",5,18
"132",10202618,102,"2008-06-30","Monday",6,99
"153",10202618,102,"2008-06-30","Monday",7,245
"174",10202618,102,"2008-06-30","Monday",8,221
"195",10202618,102,"2008-06-30","Monday",9,113
"216",10202618,102,"2008-06-30","Monday",10,62
"237",10202618,102,"2008-06-30","Monday",11,71
"258",10202618,102,"2008-06-30","Monday",12,59
"279",10202618,102,"2008-06-30","Monday",13,68
"300",10202618,102,"2008-06-30","Monday",14,67
"321",10202618,102,"2008-06-30","Monday",15,169
"342",10202618,102,"2008-06-30","Monday",16,268
"363",10202618,102,"2008-06-30","Monday",17,219
"384",10202618,102,"2008-06-30","Monday",18,140
"405",10202618,102,"2008-06-30","Monday",19,110
"426",10202618,102,"2008-06-30","Monday",20,86
"447",10202618,102,"2008-06-30","Monday",21,66
"468",10202618,102,"2008-06-30","Monday",22,32
"489",10202618,102,"2008-06-30","Monday",23,15
"7",10202618,102,"2008-07-01","Tuesday",0,4
"28",10202618,102,"2008-07-01","Tuesday",1,3
"49",10202618,102,"2008-07-01","Tuesday",2,1
"70",10202618,102,"2008-07-01","Tuesday",3,0
"91",10202618,102,"2008-07-01","Tuesday",4,0
"112",10202618,102,"2008-07-01","Tuesday",5,15
"133",10202618,102,"2008-07-01","Tuesday",6,94
"154",10202618,102,"2008-07-01","Tuesday",7,243
"175",10202618,102,"2008-07-01","Tuesday",8,197
"196",10202618,102,"2008-07-01","Tuesday",9,91
"217",10202618,102,"2008-07-01","Tuesday",10,52
"238",10202618,102,"2008-07-01","Tuesday",11,30
"259",10202618,102,"2008-07-01","Tuesday",12,38
"280",10202618,102,"2008-07-01","Tuesday",13,52
"301",10202618,102,"2008-07-01","Tuesday",14,80
"322",10202618,102,"2008-07-01","Tuesday",15,179
"343",10202618,102,"2008-07-01","Tuesday",16,241
"364",10202618,102,"2008-07-01","Tuesday",17,234
"385",10202618,102,"2008-07-01","Tuesday",18,204
"406",10202618,102,"2008-07-01","Tuesday",19,122
"427",10202618,102,"2008-07-01","Tuesday",20,118
"448",10202618,102,"2008-07-01","Tuesday",21,67
"469",10202618,102,"2008-07-01","Tuesday",22,31
"490",10202618,102,"2008-07-01","Tuesday",23,11
"8",10202618,102,"2008-07-02","Wednesday",0,5
"29",10202618,102,"2008-07-02","Wednesday",1,5
"50",10202618,102,"2008-07-02","Wednesday",2,0
"71",10202618,102,"2008-07-02","Wednesday",3,0
"92",10202618,102,"2008-07-02","Wednesday",4,0
"113",10202618,102,"2008-07-02","Wednesday",5,23
"134",10202618,102,"2008-07-02","Wednesday",6,116
"155",10202618,102,"2008-07-02","Wednesday",7,249
"176",10202618,102,"2008-07-02","Wednesday",8,248
"197",10202618,102,"2008-07-02","Wednesday",9,106
"218",10202618,102,"2008-07-02","Wednesday",10,63
"239",10202618,102,"2008-07-02","Wednesday",11,62
"260",10202618,102,"2008-07-02","Wednesday",12,58
"281",10202618,102,"2008-07-02","Wednesday",13,64
"302",10202618,102,"2008-07-02","Wednesday",14,86
"323",10202618,102,"2008-07-02","Wednesday",15,177
"344",10202618,102,"2008-07-02","Wednesday",16,263
"365",10202618,102,"2008-07-02","Wednesday",17,240
"386",10202618,102,"2008-07-02","Wednesday",18,170
"407",10202618,102,"2008-07-02","Wednesday",19,99
"428",10202618,102,"2008-07-02","Wednesday",20,66
"449",10202618,102,"2008-07-02","Wednesday",21,52
"470",10202618,102,"2008-07-02","Wednesday",22,22
"491",10202618,102,"2008-07-02","Wednesday",23,14
"9",10202618,102,"2008-07-03","Thursday",0,1
"30",10202618,102,"2008-07-03","Thursday",1,1
"51",10202618,102,"2008-07-03","Thursday",2,0
"72",10202618,102,"2008-07-03","Thursday",3,1
"93",10202618,102,"2008-07-03","Thursday",4,0
"114",10202618,102,"2008-07-03","Thursday",5,11
"135",10202618,102,"2008-07-03","Thursday",6,107
"156",10202618,102,"2008-07-03","Thursday",7,212
"177",10202618,102,"2008-07-03","Thursday",8,206
"198",10202618,102,"2008-07-03","Thursday",9,95
"219",10202618,102,"2008-07-03","Thursday",10,53
"240",10202618,102,"2008-07-03","Thursday",11,31
"261",10202618,102,"2008-07-03","Thursday",12,22
"282",10202618,102,"2008-07-03","Thursday",13,28
"303",10202618,102,"2008-07-03","Thursday",14,43
"324",10202618,102,"2008-07-03","Thursday",15,130
"345",10202618,102,"2008-07-03","Thursday",16,223
"366",10202618,102,"2008-07-03","Thursday",17,161
"387",10202618,102,"2008-07-03","Thursday",18,102
"408",10202618,102,"2008-07-03","Thursday",19,92
"429",10202618,102,"2008-07-03","Thursday",20,70
"450",10202618,102,"2008-07-03","Thursday",21,61
"471",10202618,102,"2008-07-03","Thursday",22,35
"492",10202618,102,"2008-07-03","Thursday",23,8
"10",10202618,102,"2008-07-04","Friday",0,4
"31",10202618,102,"2008-07-04","Friday",1,0
"52",10202618,102,"2008-07-04","Friday",2,1
"73",10202618,102,"2008-07-04","Friday",3,0
"94",10202618,102,"2008-07-04","Friday",4,3
"115",10202618,102,"2008-07-04","Friday",5,19
"136",10202618,102,"2008-07-04","Friday",6,98
"157",10202618,102,"2008-07-04","Friday",7,205
"178",10202618,102,"2008-07-04","Friday",8,182
"199",10202618,102,"2008-07-04","Friday",9,109
"220",10202618,102,"2008-07-04","Friday",10,68
"241",10202618,102,"2008-07-04","Friday",11,67
"262",10202618,102,"2008-07-04","Friday",12,92
"283",10202618,102,"2008-07-04","Friday",13,112
"304",10202618,102,"2008-07-04","Friday",14,160
"325",10202618,102,"2008-07-04","Friday",15,225
"346",10202618,102,"2008-07-04","Friday",16,264
"367",10202618,102,"2008-07-04","Friday",17,177
"388",10202618,102,"2008-07-04","Friday",18,121
"409",10202618,102,"2008-07-04","Friday",19,92
"430",10202618,102,"2008-07-04","Friday",20,74
"451",10202618,102,"2008-07-04","Friday",21,62
"472",10202618,102,"2008-07-04","Friday",22,21
"493",10202618,102,"2008-07-04","Friday",23,14
"11",10202618,102,"2008-07-05","Saturday",0,10
"32",10202618,102,"2008-07-05","Saturday",1,5
"53",10202618,102,"2008-07-05","Saturday",2,2
"74",10202618,102,"2008-07-05","Saturday",3,0
"95",10202618,102,"2008-07-05","Saturday",4,2
"116",10202618,102,"2008-07-05","Saturday",5,7
"137",10202618,102,"2008-07-05","Saturday",6,9
"158",10202618,102,"2008-07-05","Saturday",7,14
"179",10202618,102,"2008-07-05","Saturday",8,29
"200",10202618,102,"2008-07-05","Saturday",9,30
"221",10202618,102,"2008-07-05","Saturday",10,49
"242",10202618,102,"2008-07-05","Saturday",11,77
"263",10202618,102,"2008-07-05","Saturday",12,63
"284",10202618,102,"2008-07-05","Saturday",13,69
"305",10202618,102,"2008-07-05","Saturday",14,66
"326",10202618,102,"2008-07-05","Saturday",15,76
"347",10202618,102,"2008-07-05","Saturday",16,68
"368",10202618,102,"2008-07-05","Saturday",17,71
"389",10202618,102,"2008-07-05","Saturday",18,89
"410",10202618,102,"2008-07-05","Saturday",19,54
"431",10202618,102,"2008-07-05","Saturday",20,37
"452",10202618,102,"2008-07-05","Saturday",21,39
"473",10202618,102,"2008-07-05","Saturday",22,24
"494",10202618,102,"2008-07-05","Saturday",23,10
"12",10202618,102,"2008-07-06","Sunday",0,5
"33",10202618,102,"2008-07-06","Sunday",1,1
"54",10202618,102,"2008-07-06","Sunday",2,1
"75",10202618,102,"2008-07-06","Sunday",3,2
"96",10202618,102,"2008-07-06","Sunday",4,1
"117",10202618,102,"2008-07-06","Sunday",5,3
"138",10202618,102,"2008-07-06","Sunday",6,5
"159",10202618,102,"2008-07-06","Sunday",7,10
"180",10202618,102,"2008-07-06","Sunday",8,12
"201",10202618,102,"2008-07-06","Sunday",9,22
"222",10202618,102,"2008-07-06","Sunday",10,47
"243",10202618,102,"2008-07-06","Sunday",11,57
"264",10202618,102,"2008-07-06","Sunday",12,71
"285",10202618,102,"2008-07-06","Sunday",13,73
"306",10202618,102,"2008-07-06","Sunday",14,61
"327",10202618,102,"2008-07-06","Sunday",15,54
"348",10202618,102,"2008-07-06","Sunday",16,67
"369",10202618,102,"2008-07-06","Sunday",17,57
"390",10202618,102,"2008-07-06","Sunday",18,69
"411",10202618,102,"2008-07-06","Sunday",19,67
"432",10202618,102,"2008-07-06","Sunday",20,44
"453",10202618,102,"2008-07-06","Sunday",21,42
"474",10202618,102,"2008-07-06","Sunday",22,19
"495",10202618,102,"2008-07-06","Sunday",23,6
"13",10202618,102,"2008-07-07","Monday",0,3
"34",10202618,102,"2008-07-07","Monday",1,5
"55",10202618,102,"2008-07-07","Monday",2,0
"76",10202618,102,"2008-07-07","Monday",3,3
"97",10202618,102,"2008-07-07","Monday",4,0
"118",10202618,102,"2008-07-07","Monday",5,10
"139",10202618,102,"2008-07-07","Monday",6,82
"160",10202618,102,"2008-07-07","Monday",7,190
"181",10202618,102,"2008-07-07","Monday",8,191
"202",10202618,102,"2008-07-07","Monday",9,95
"223",10202618,102,"2008-07-07","Monday",10,66
"244",10202618,102,"2008-07-07","Monday",11,114
