"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10304025,103,"2008-10-02","Thursday",0,NA
"36",10304025,103,"2008-10-02","Thursday",1,NA
"71",10304025,103,"2008-10-02","Thursday",2,NA
"106",10304025,103,"2008-10-02","Thursday",3,NA
"141",10304025,103,"2008-10-02","Thursday",4,NA
"176",10304025,103,"2008-10-02","Thursday",5,NA
"211",10304025,103,"2008-10-02","Thursday",6,NA
"246",10304025,103,"2008-10-02","Thursday",7,NA
"281",10304025,103,"2008-10-02","Thursday",8,NA
"316",10304025,103,"2008-10-02","Thursday",9,NA
"351",10304025,103,"2008-10-02","Thursday",10,NA
"386",10304025,103,"2008-10-02","Thursday",11,NA
"421",10304025,103,"2008-10-02","Thursday",12,NA
"456",10304025,103,"2008-10-02","Thursday",13,NA
"491",10304025,103,"2008-10-02","Thursday",14,NA
"526",10304025,103,"2008-10-02","Thursday",15,49
"561",10304025,103,"2008-10-02","Thursday",16,52
"596",10304025,103,"2008-10-02","Thursday",17,51
"631",10304025,103,"2008-10-02","Thursday",18,27
"666",10304025,103,"2008-10-02","Thursday",19,25
"701",10304025,103,"2008-10-02","Thursday",20,16
"736",10304025,103,"2008-10-02","Thursday",21,13
"771",10304025,103,"2008-10-02","Thursday",22,4
"806",10304025,103,"2008-10-02","Thursday",23,5
"2",10304025,103,"2008-10-03","Friday",0,4
"37",10304025,103,"2008-10-03","Friday",1,2
"72",10304025,103,"2008-10-03","Friday",2,0
"107",10304025,103,"2008-10-03","Friday",3,0
"142",10304025,103,"2008-10-03","Friday",4,0
"177",10304025,103,"2008-10-03","Friday",5,9
"212",10304025,103,"2008-10-03","Friday",6,31
"247",10304025,103,"2008-10-03","Friday",7,82
"282",10304025,103,"2008-10-03","Friday",8,76
"317",10304025,103,"2008-10-03","Friday",9,37
"352",10304025,103,"2008-10-03","Friday",10,32
"387",10304025,103,"2008-10-03","Friday",11,18
"422",10304025,103,"2008-10-03","Friday",12,16
"457",10304025,103,"2008-10-03","Friday",13,20
"492",10304025,103,"2008-10-03","Friday",14,25
"527",10304025,103,"2008-10-03","Friday",15,57
"562",10304025,103,"2008-10-03","Friday",16,97
"597",10304025,103,"2008-10-03","Friday",17,56
"632",10304025,103,"2008-10-03","Friday",18,40
"667",10304025,103,"2008-10-03","Friday",19,27
"702",10304025,103,"2008-10-03","Friday",20,16
"737",10304025,103,"2008-10-03","Friday",21,18
