"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10300923,103,"2009-02-25","Wednesday",0,NA
"36",10300923,103,"2009-02-25","Wednesday",1,NA
"71",10300923,103,"2009-02-25","Wednesday",2,NA
"106",10300923,103,"2009-02-25","Wednesday",3,NA
"141",10300923,103,"2009-02-25","Wednesday",4,NA
"176",10300923,103,"2009-02-25","Wednesday",5,NA
"211",10300923,103,"2009-02-25","Wednesday",6,NA
"246",10300923,103,"2009-02-25","Wednesday",7,NA
"281",10300923,103,"2009-02-25","Wednesday",8,NA
"316",10300923,103,"2009-02-25","Wednesday",9,NA
"351",10300923,103,"2009-02-25","Wednesday",10,NA
"386",10300923,103,"2009-02-25","Wednesday",11,NA
"421",10300923,103,"2009-02-25","Wednesday",12,NA
"456",10300923,103,"2009-02-25","Wednesday",13,7
"491",10300923,103,"2009-02-25","Wednesday",14,4
"526",10300923,103,"2009-02-25","Wednesday",15,10
"561",10300923,103,"2009-02-25","Wednesday",16,19
"596",10300923,103,"2009-02-25","Wednesday",17,18
"631",10300923,103,"2009-02-25","Wednesday",18,8
"666",10300923,103,"2009-02-25","Wednesday",19,8
"701",10300923,103,"2009-02-25","Wednesday",20,5
"736",10300923,103,"2009-02-25","Wednesday",21,5
"771",10300923,103,"2009-02-25","Wednesday",22,2
"806",10300923,103,"2009-02-25","Wednesday",23,4
"2",10300923,103,"2009-02-26","Thursday",0,2
"37",10300923,103,"2009-02-26","Thursday",1,0
"72",10300923,103,"2009-02-26","Thursday",2,0
"107",10300923,103,"2009-02-26","Thursday",3,0
"142",10300923,103,"2009-02-26","Thursday",4,0
"177",10300923,103,"2009-02-26","Thursday",5,2
"212",10300923,103,"2009-02-26","Thursday",6,10
"247",10300923,103,"2009-02-26","Thursday",7,17
"282",10300923,103,"2009-02-26","Thursday",8,20
"317",10300923,103,"2009-02-26","Thursday",9,5
"352",10300923,103,"2009-02-26","Thursday",10,7
"387",10300923,103,"2009-02-26","Thursday",11,13
"422",10300923,103,"2009-02-26","Thursday",12,3
"457",10300923,103,"2009-02-26","Thursday",13,4
"492",10300923,103,"2009-02-26","Thursday",14,3
"527",10300923,103,"2009-02-26","Thursday",15,6
"562",10300923,103,"2009-02-26","Thursday",16,30
"597",10300923,103,"2009-02-26","Thursday",17,16
"632",10300923,103,"2009-02-26","Thursday",18,18
"667",10300923,103,"2009-02-26","Thursday",19,3
"702",10300923,103,"2009-02-26","Thursday",20,10
"737",10300923,103,"2009-02-26","Thursday",21,0
"772",10300923,103,"2009-02-26","Thursday",22,1
"807",10300923,103,"2009-02-26","Thursday",23,1
"3",10300923,103,"2009-02-27","Friday",0,2
"38",10300923,103,"2009-02-27","Friday",1,1
"73",10300923,103,"2009-02-27","Friday",2,0
"108",10300923,103,"2009-02-27","Friday",3,2
"143",10300923,103,"2009-02-27","Friday",4,2
"178",10300923,103,"2009-02-27","Friday",5,1
"213",10300923,103,"2009-02-27","Friday",6,4
"248",10300923,103,"2009-02-27","Friday",7,20
"283",10300923,103,"2009-02-27","Friday",8,19
"318",10300923,103,"2009-02-27","Friday",9,7
"353",10300923,103,"2009-02-27","Friday",10,5
"388",10300923,103,"2009-02-27","Friday",11,4
"423",10300923,103,"2009-02-27","Friday",12,5
"458",10300923,103,"2009-02-27","Friday",13,3
"493",10300923,103,"2009-02-27","Friday",14,6
"528",10300923,103,"2009-02-27","Friday",15,9
"563",10300923,103,"2009-02-27","Friday",16,14
"598",10300923,103,"2009-02-27","Friday",17,10
