"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10203208,102,"2009-08-04","Tuesday",0,NA
"29",10203208,102,"2009-08-04","Tuesday",1,NA
"57",10203208,102,"2009-08-04","Tuesday",2,NA
"85",10203208,102,"2009-08-04","Tuesday",3,NA
"113",10203208,102,"2009-08-04","Tuesday",4,NA
"141",10203208,102,"2009-08-04","Tuesday",5,NA
"169",10203208,102,"2009-08-04","Tuesday",6,NA
"197",10203208,102,"2009-08-04","Tuesday",7,NA
"225",10203208,102,"2009-08-04","Tuesday",8,NA
"253",10203208,102,"2009-08-04","Tuesday",9,NA
"281",10203208,102,"2009-08-04","Tuesday",10,NA
"309",10203208,102,"2009-08-04","Tuesday",11,NA
"337",10203208,102,"2009-08-04","Tuesday",12,NA
"365",10203208,102,"2009-08-04","Tuesday",13,NA
"393",10203208,102,"2009-08-04","Tuesday",14,NA
"421",10203208,102,"2009-08-04","Tuesday",15,NA
"449",10203208,102,"2009-08-04","Tuesday",16,353
"477",10203208,102,"2009-08-04","Tuesday",17,279
"505",10203208,102,"2009-08-04","Tuesday",18,181
"533",10203208,102,"2009-08-04","Tuesday",19,126
"561",10203208,102,"2009-08-04","Tuesday",20,103
"589",10203208,102,"2009-08-04","Tuesday",21,65
"617",10203208,102,"2009-08-04","Tuesday",22,31
"645",10203208,102,"2009-08-04","Tuesday",23,19
"2",10203208,102,"2009-08-05","Wednesday",0,11
"30",10203208,102,"2009-08-05","Wednesday",1,4
"58",10203208,102,"2009-08-05","Wednesday",2,3
"86",10203208,102,"2009-08-05","Wednesday",3,1
"114",10203208,102,"2009-08-05","Wednesday",4,5
"142",10203208,102,"2009-08-05","Wednesday",5,25
"170",10203208,102,"2009-08-05","Wednesday",6,124
"198",10203208,102,"2009-08-05","Wednesday",7,309
"226",10203208,102,"2009-08-05","Wednesday",8,289
"254",10203208,102,"2009-08-05","Wednesday",9,138
"282",10203208,102,"2009-08-05","Wednesday",10,85
"310",10203208,102,"2009-08-05","Wednesday",11,108
"338",10203208,102,"2009-08-05","Wednesday",12,88
"366",10203208,102,"2009-08-05","Wednesday",13,78
"394",10203208,102,"2009-08-05","Wednesday",14,124
"422",10203208,102,"2009-08-05","Wednesday",15,242
"450",10203208,102,"2009-08-05","Wednesday",16,355
"478",10203208,102,"2009-08-05","Wednesday",17,302
