"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"2353",1171001,1171,"2011-01-03","Monday",0,NA
"2388",1171001,1171,"2011-01-03","Monday",1,NA
"2423",1171001,1171,"2011-01-03","Monday",2,NA
"2458",1171001,1171,"2011-01-03","Monday",3,NA
"2493",1171001,1171,"2011-01-03","Monday",4,NA
"2528",1171001,1171,"2011-01-03","Monday",5,NA
"2563",1171001,1171,"2011-01-03","Monday",6,NA
"2598",1171001,1171,"2011-01-03","Monday",7,NA
"2633",1171001,1171,"2011-01-03","Monday",8,NA
"2668",1171001,1171,"2011-01-03","Monday",9,NA
"2703",1171001,1171,"2011-01-03","Monday",10,NA
"2738",1171001,1171,"2011-01-03","Monday",11,NA
"2773",1171001,1171,"2011-01-03","Monday",12,NA
"2808",1171001,1171,"2011-01-03","Monday",13,NA
"2843",1171001,1171,"2011-01-03","Monday",14,NA
"2878",1171001,1171,"2011-01-03","Monday",15,15
"2913",1171001,1171,"2011-01-03","Monday",16,25
"2948",1171001,1171,"2011-01-03","Monday",17,27
"2983",1171001,1171,"2011-01-03","Monday",18,11
"3018",1171001,1171,"2011-01-03","Monday",19,10
"3053",1171001,1171,"2011-01-03","Monday",20,3
"3088",1171001,1171,"2011-01-03","Monday",21,2
"3123",1171001,1171,"2011-01-03","Monday",22,3
"3158",1171001,1171,"2011-01-03","Monday",23,3
"2354",1171001,1171,"2011-01-04","Tuesday",0,1
"2389",1171001,1171,"2011-01-04","Tuesday",1,1
"2424",1171001,1171,"2011-01-04","Tuesday",2,0
"2459",1171001,1171,"2011-01-04","Tuesday",3,0
"2494",1171001,1171,"2011-01-04","Tuesday",4,1
"2529",1171001,1171,"2011-01-04","Tuesday",5,4
"2564",1171001,1171,"2011-01-04","Tuesday",6,7
"2599",1171001,1171,"2011-01-04","Tuesday",7,16
"2634",1171001,1171,"2011-01-04","Tuesday",8,29
"2669",1171001,1171,"2011-01-04","Tuesday",9,8
"2704",1171001,1171,"2011-01-04","Tuesday",10,8
"2739",1171001,1171,"2011-01-04","Tuesday",11,9
"2774",1171001,1171,"2011-01-04","Tuesday",12,3
"2809",1171001,1171,"2011-01-04","Tuesday",13,3
"2844",1171001,1171,"2011-01-04","Tuesday",14,12
"2879",1171001,1171,"2011-01-04","Tuesday",15,11
"2914",1171001,1171,"2011-01-04","Tuesday",16,16
"2949",1171001,1171,"2011-01-04","Tuesday",17,20
"2984",1171001,1171,"2011-01-04","Tuesday",18,15
"3019",1171001,1171,"2011-01-04","Tuesday",19,6
"3054",1171001,1171,"2011-01-04","Tuesday",20,8
"3089",1171001,1171,"2011-01-04","Tuesday",21,4
"3124",1171001,1171,"2011-01-04","Tuesday",22,0
"3159",1171001,1171,"2011-01-04","Tuesday",23,1
"2355",1171001,1171,"2011-01-05","Wednesday",0,2
"2390",1171001,1171,"2011-01-05","Wednesday",1,0
"2425",1171001,1171,"2011-01-05","Wednesday",2,0
"2460",1171001,1171,"2011-01-05","Wednesday",3,0
"2495",1171001,1171,"2011-01-05","Wednesday",4,0
"2530",1171001,1171,"2011-01-05","Wednesday",5,2
"2565",1171001,1171,"2011-01-05","Wednesday",6,9
"2600",1171001,1171,"2011-01-05","Wednesday",7,19
"2635",1171001,1171,"2011-01-05","Wednesday",8,25
"2670",1171001,1171,"2011-01-05","Wednesday",9,11
"2705",1171001,1171,"2011-01-05","Wednesday",10,9
"2740",1171001,1171,"2011-01-05","Wednesday",11,8
"2775",1171001,1171,"2011-01-05","Wednesday",12,4
"2810",1171001,1171,"2011-01-05","Wednesday",13,12
"2845",1171001,1171,"2011-01-05","Wednesday",14,12
"2880",1171001,1171,"2011-01-05","Wednesday",15,12
"2915",1171001,1171,"2011-01-05","Wednesday",16,25
"2950",1171001,1171,"2011-01-05","Wednesday",17,20
"2985",1171001,1171,"2011-01-05","Wednesday",18,7
"3020",1171001,1171,"2011-01-05","Wednesday",19,6
"3055",1171001,1171,"2011-01-05","Wednesday",20,6
"3090",1171001,1171,"2011-01-05","Wednesday",21,0
"3125",1171001,1171,"2011-01-05","Wednesday",22,4
"3160",1171001,1171,"2011-01-05","Wednesday",23,1
"2356",1171001,1171,"2011-01-06","Thursday",0,0
"2391",1171001,1171,"2011-01-06","Thursday",1,0
"2426",1171001,1171,"2011-01-06","Thursday",2,0
"2461",1171001,1171,"2011-01-06","Thursday",3,0
"2496",1171001,1171,"2011-01-06","Thursday",4,0
"2531",1171001,1171,"2011-01-06","Thursday",5,2
"2566",1171001,1171,"2011-01-06","Thursday",6,2
"2601",1171001,1171,"2011-01-06","Thursday",7,0
"2636",1171001,1171,"2011-01-06","Thursday",8,2
"2671",1171001,1171,"2011-01-06","Thursday",9,2
"2706",1171001,1171,"2011-01-06","Thursday",10,3
"2741",1171001,1171,"2011-01-06","Thursday",11,5
"2776",1171001,1171,"2011-01-06","Thursday",12,5
"2811",1171001,1171,"2011-01-06","Thursday",13,7
"2846",1171001,1171,"2011-01-06","Thursday",14,9
"2881",1171001,1171,"2011-01-06","Thursday",15,4
"2916",1171001,1171,"2011-01-06","Thursday",16,4
"2951",1171001,1171,"2011-01-06","Thursday",17,4
"2986",1171001,1171,"2011-01-06","Thursday",18,3
"3021",1171001,1171,"2011-01-06","Thursday",19,1
"3056",1171001,1171,"2011-01-06","Thursday",20,3
"3091",1171001,1171,"2011-01-06","Thursday",21,1
"3126",1171001,1171,"2011-01-06","Thursday",22,2
"3161",1171001,1171,"2011-01-06","Thursday",23,2
"2357",1171001,1171,"2011-01-07","Friday",0,0
"2392",1171001,1171,"2011-01-07","Friday",1,0
"2427",1171001,1171,"2011-01-07","Friday",2,0
"2462",1171001,1171,"2011-01-07","Friday",3,0
"2497",1171001,1171,"2011-01-07","Friday",4,0
"2532",1171001,1171,"2011-01-07","Friday",5,21
"2567",1171001,1171,"2011-01-07","Friday",6,7
"2602",1171001,1171,"2011-01-07","Friday",7,8
"2637",1171001,1171,"2011-01-07","Friday",8,13
"2672",1171001,1171,"2011-01-07","Friday",9,8
"2707",1171001,1171,"2011-01-07","Friday",10,8
"2742",1171001,1171,"2011-01-07","Friday",11,9
"2777",1171001,1171,"2011-01-07","Friday",12,3
"2812",1171001,1171,"2011-01-07","Friday",13,9
"2847",1171001,1171,"2011-01-07","Friday",14,7
"2882",1171001,1171,"2011-01-07","Friday",15,13
"2917",1171001,1171,"2011-01-07","Friday",16,10
"2952",1171001,1171,"2011-01-07","Friday",17,9
"2987",1171001,1171,"2011-01-07","Friday",18,8
"3022",1171001,1171,"2011-01-07","Friday",19,4
"3057",1171001,1171,"2011-01-07","Friday",20,2
"3092",1171001,1171,"2011-01-07","Friday",21,2
"3127",1171001,1171,"2011-01-07","Friday",22,0
"3162",1171001,1171,"2011-01-07","Friday",23,3
"2358",1171001,1171,"2011-01-08","Saturday",0,0
"2393",1171001,1171,"2011-01-08","Saturday",1,2
"2428",1171001,1171,"2011-01-08","Saturday",2,14
"2463",1171001,1171,"2011-01-08","Saturday",3,0
"2498",1171001,1171,"2011-01-08","Saturday",4,0
"2533",1171001,1171,"2011-01-08","Saturday",5,0
"2568",1171001,1171,"2011-01-08","Saturday",6,1
"2603",1171001,1171,"2011-01-08","Saturday",7,1
"2638",1171001,1171,"2011-01-08","Saturday",8,1
"2673",1171001,1171,"2011-01-08","Saturday",9,11
"2708",1171001,1171,"2011-01-08","Saturday",10,5
"2743",1171001,1171,"2011-01-08","Saturday",11,9
"2778",1171001,1171,"2011-01-08","Saturday",12,11
"2813",1171001,1171,"2011-01-08","Saturday",13,7
"2848",1171001,1171,"2011-01-08","Saturday",14,5
"2883",1171001,1171,"2011-01-08","Saturday",15,2
"2918",1171001,1171,"2011-01-08","Saturday",16,6
"2953",1171001,1171,"2011-01-08","Saturday",17,6
"2988",1171001,1171,"2011-01-08","Saturday",18,1
"3023",1171001,1171,"2011-01-08","Saturday",19,4
"3058",1171001,1171,"2011-01-08","Saturday",20,1
"3093",1171001,1171,"2011-01-08","Saturday",21,1
"3128",1171001,1171,"2011-01-08","Saturday",22,0
"3163",1171001,1171,"2011-01-08","Saturday",23,0
"2359",1171001,1171,"2011-01-09","Sunday",0,2
"2394",1171001,1171,"2011-01-09","Sunday",1,0
"2429",1171001,1171,"2011-01-09","Sunday",2,0
"2464",1171001,1171,"2011-01-09","Sunday",3,0
"2499",1171001,1171,"2011-01-09","Sunday",4,2
"2534",1171001,1171,"2011-01-09","Sunday",5,0
"2569",1171001,1171,"2011-01-09","Sunday",6,0
"2604",1171001,1171,"2011-01-09","Sunday",7,1
"2639",1171001,1171,"2011-01-09","Sunday",8,0
"2674",1171001,1171,"2011-01-09","Sunday",9,3
"2709",1171001,1171,"2011-01-09","Sunday",10,10
"2744",1171001,1171,"2011-01-09","Sunday",11,6
"2779",1171001,1171,"2011-01-09","Sunday",12,5
"2814",1171001,1171,"2011-01-09","Sunday",13,9
"2849",1171001,1171,"2011-01-09","Sunday",14,4
"2884",1171001,1171,"2011-01-09","Sunday",15,2
"2919",1171001,1171,"2011-01-09","Sunday",16,5
"2954",1171001,1171,"2011-01-09","Sunday",17,3
"2989",1171001,1171,"2011-01-09","Sunday",18,4
"3024",1171001,1171,"2011-01-09","Sunday",19,3
"3059",1171001,1171,"2011-01-09","Sunday",20,1
"3094",1171001,1171,"2011-01-09","Sunday",21,2
"3129",1171001,1171,"2011-01-09","Sunday",22,0
"3164",1171001,1171,"2011-01-09","Sunday",23,0
"2360",1171001,1171,"2011-01-10","Monday",0,0
"2395",1171001,1171,"2011-01-10","Monday",1,0
"2430",1171001,1171,"2011-01-10","Monday",2,0
"2465",1171001,1171,"2011-01-10","Monday",3,0
"2500",1171001,1171,"2011-01-10","Monday",4,0
"2535",1171001,1171,"2011-01-10","Monday",5,3
"2570",1171001,1171,"2011-01-10","Monday",6,7
"2605",1171001,1171,"2011-01-10","Monday",7,15
"2640",1171001,1171,"2011-01-10","Monday",8,22
"2675",1171001,1171,"2011-01-10","Monday",9,12
"2710",1171001,1171,"2011-01-10","Monday",10,8
"2745",1171001,1171,"2011-01-10","Monday",11,15
"2780",1171001,1171,"2011-01-10","Monday",12,5
"2815",1171001,1171,"2011-01-10","Monday",13,6
"2850",1171001,1171,"2011-01-10","Monday",14,13
"2885",1171001,1171,"2011-01-10","Monday",15,8
"2920",1171001,1171,"2011-01-10","Monday",16,18
"2955",1171001,1171,"2011-01-10","Monday",17,6
"2990",1171001,1171,"2011-01-10","Monday",18,11
"3025",1171001,1171,"2011-01-10","Monday",19,4
"3060",1171001,1171,"2011-01-10","Monday",20,6
"3095",1171001,1171,"2011-01-10","Monday",21,1
"3130",1171001,1171,"2011-01-10","Monday",22,1
"3165",1171001,1171,"2011-01-10","Monday",23,0
"2361",1171001,1171,"2011-01-11","Tuesday",0,0
"2396",1171001,1171,"2011-01-11","Tuesday",1,0
"2431",1171001,1171,"2011-01-11","Tuesday",2,0
"2466",1171001,1171,"2011-01-11","Tuesday",3,0
"2501",1171001,1171,"2011-01-11","Tuesday",4,0
"2536",1171001,1171,"2011-01-11","Tuesday",5,6
"2571",1171001,1171,"2011-01-11","Tuesday",6,8
"2606",1171001,1171,"2011-01-11","Tuesday",7,18
"2641",1171001,1171,"2011-01-11","Tuesday",8,15
"2676",1171001,1171,"2011-01-11","Tuesday",9,8
"2711",1171001,1171,"2011-01-11","Tuesday",10,5
"2746",1171001,1171,"2011-01-11","Tuesday",11,7
"2781",1171001,1171,"2011-01-11","Tuesday",12,5
"2816",1171001,1171,"2011-01-11","Tuesday",13,13
"2851",1171001,1171,"2011-01-11","Tuesday",14,10
"2886",1171001,1171,"2011-01-11","Tuesday",15,11
"2921",1171001,1171,"2011-01-11","Tuesday",16,11
"2956",1171001,1171,"2011-01-11","Tuesday",17,17
"2991",1171001,1171,"2011-01-11","Tuesday",18,11
"3026",1171001,1171,"2011-01-11","Tuesday",19,5
"3061",1171001,1171,"2011-01-11","Tuesday",20,7
"3096",1171001,1171,"2011-01-11","Tuesday",21,4
"3131",1171001,1171,"2011-01-11","Tuesday",22,1
"3166",1171001,1171,"2011-01-11","Tuesday",23,0
"2362",1171001,1171,"2011-01-12","Wednesday",0,0
"2397",1171001,1171,"2011-01-12","Wednesday",1,0
"2432",1171001,1171,"2011-01-12","Wednesday",2,0
"2467",1171001,1171,"2011-01-12","Wednesday",3,1
"2502",1171001,1171,"2011-01-12","Wednesday",4,0
"2537",1171001,1171,"2011-01-12","Wednesday",5,2
"2572",1171001,1171,"2011-01-12","Wednesday",6,4
"2607",1171001,1171,"2011-01-12","Wednesday",7,16
"2642",1171001,1171,"2011-01-12","Wednesday",8,25
"2677",1171001,1171,"2011-01-12","Wednesday",9,9
"2712",1171001,1171,"2011-01-12","Wednesday",10,6
"2747",1171001,1171,"2011-01-12","Wednesday",11,3
"2782",1171001,1171,"2011-01-12","Wednesday",12,11
"2817",1171001,1171,"2011-01-12","Wednesday",13,7
"2852",1171001,1171,"2011-01-12","Wednesday",14,4
"2887",1171001,1171,"2011-01-12","Wednesday",15,9
"2922",1171001,1171,"2011-01-12","Wednesday",16,16
"2957",1171001,1171,"2011-01-12","Wednesday",17,14
"2992",1171001,1171,"2011-01-12","Wednesday",18,13
"3027",1171001,1171,"2011-01-12","Wednesday",19,7
