"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10201807,102,"2011-05-05","Thursday",0,NA
"36",10201807,102,"2011-05-05","Thursday",1,NA
"71",10201807,102,"2011-05-05","Thursday",2,NA
"106",10201807,102,"2011-05-05","Thursday",3,NA
"141",10201807,102,"2011-05-05","Thursday",4,NA
"176",10201807,102,"2011-05-05","Thursday",5,NA
"211",10201807,102,"2011-05-05","Thursday",6,NA
"246",10201807,102,"2011-05-05","Thursday",7,NA
"281",10201807,102,"2011-05-05","Thursday",8,NA
"316",10201807,102,"2011-05-05","Thursday",9,NA
"351",10201807,102,"2011-05-05","Thursday",10,NA
"386",10201807,102,"2011-05-05","Thursday",11,NA
"421",10201807,102,"2011-05-05","Thursday",12,NA
"456",10201807,102,"2011-05-05","Thursday",13,NA
"491",10201807,102,"2011-05-05","Thursday",14,NA
"526",10201807,102,"2011-05-05","Thursday",15,0
"561",10201807,102,"2011-05-05","Thursday",16,0
"596",10201807,102,"2011-05-05","Thursday",17,0
"631",10201807,102,"2011-05-05","Thursday",18,0
"666",10201807,102,"2011-05-05","Thursday",19,0
"701",10201807,102,"2011-05-05","Thursday",20,0
"736",10201807,102,"2011-05-05","Thursday",21,0
"771",10201807,102,"2011-05-05","Thursday",22,0
"806",10201807,102,"2011-05-05","Thursday",23,0
"2",10201807,102,"2011-05-06","Friday",0,0
"37",10201807,102,"2011-05-06","Friday",1,0
"72",10201807,102,"2011-05-06","Friday",2,0
"107",10201807,102,"2011-05-06","Friday",3,0
"142",10201807,102,"2011-05-06","Friday",4,0
"177",10201807,102,"2011-05-06","Friday",5,0
"212",10201807,102,"2011-05-06","Friday",6,0
"247",10201807,102,"2011-05-06","Friday",7,0
"282",10201807,102,"2011-05-06","Friday",8,0
"317",10201807,102,"2011-05-06","Friday",9,0
"352",10201807,102,"2011-05-06","Friday",10,0
"387",10201807,102,"2011-05-06","Friday",11,0
"422",10201807,102,"2011-05-06","Friday",12,0
"457",10201807,102,"2011-05-06","Friday",13,0
"492",10201807,102,"2011-05-06","Friday",14,0
"527",10201807,102,"2011-05-06","Friday",15,0
"562",10201807,102,"2011-05-06","Friday",16,0
"597",10201807,102,"2011-05-06","Friday",17,0
"632",10201807,102,"2011-05-06","Friday",18,0
"667",10201807,102,"2011-05-06","Friday",19,0
"702",10201807,102,"2011-05-06","Friday",20,0
"737",10201807,102,"2011-05-06","Friday",21,0
"772",10201807,102,"2011-05-06","Friday",22,0
"807",10201807,102,"2011-05-06","Friday",23,0
"3",10201807,102,"2011-05-07","Saturday",0,0
"38",10201807,102,"2011-05-07","Saturday",1,0
"73",10201807,102,"2011-05-07","Saturday",2,0
"108",10201807,102,"2011-05-07","Saturday",3,0
"143",10201807,102,"2011-05-07","Saturday",4,0
"178",10201807,102,"2011-05-07","Saturday",5,0
"213",10201807,102,"2011-05-07","Saturday",6,0
"248",10201807,102,"2011-05-07","Saturday",7,0
"283",10201807,102,"2011-05-07","Saturday",8,0
"318",10201807,102,"2011-05-07","Saturday",9,0
"353",10201807,102,"2011-05-07","Saturday",10,0
"388",10201807,102,"2011-05-07","Saturday",11,0
"423",10201807,102,"2011-05-07","Saturday",12,0
"458",10201807,102,"2011-05-07","Saturday",13,0
"493",10201807,102,"2011-05-07","Saturday",14,0
"528",10201807,102,"2011-05-07","Saturday",15,0
"563",10201807,102,"2011-05-07","Saturday",16,0
"598",10201807,102,"2011-05-07","Saturday",17,0
"633",10201807,102,"2011-05-07","Saturday",18,0
"668",10201807,102,"2011-05-07","Saturday",19,0
"703",10201807,102,"2011-05-07","Saturday",20,0
"738",10201807,102,"2011-05-07","Saturday",21,0
"773",10201807,102,"2011-05-07","Saturday",22,0
"808",10201807,102,"2011-05-07","Saturday",23,0
"4",10201807,102,"2011-05-08","Sunday",0,0
"39",10201807,102,"2011-05-08","Sunday",1,0
"74",10201807,102,"2011-05-08","Sunday",2,0
"109",10201807,102,"2011-05-08","Sunday",3,0
"144",10201807,102,"2011-05-08","Sunday",4,0
"179",10201807,102,"2011-05-08","Sunday",5,0
"214",10201807,102,"2011-05-08","Sunday",6,0
"249",10201807,102,"2011-05-08","Sunday",7,0
"284",10201807,102,"2011-05-08","Sunday",8,0
"319",10201807,102,"2011-05-08","Sunday",9,0
"354",10201807,102,"2011-05-08","Sunday",10,0
"389",10201807,102,"2011-05-08","Sunday",11,0
"424",10201807,102,"2011-05-08","Sunday",12,0
"459",10201807,102,"2011-05-08","Sunday",13,0
"494",10201807,102,"2011-05-08","Sunday",14,0
"529",10201807,102,"2011-05-08","Sunday",15,0
"564",10201807,102,"2011-05-08","Sunday",16,0
"599",10201807,102,"2011-05-08","Sunday",17,0
"634",10201807,102,"2011-05-08","Sunday",18,0
"669",10201807,102,"2011-05-08","Sunday",19,0
"704",10201807,102,"2011-05-08","Sunday",20,0
"739",10201807,102,"2011-05-08","Sunday",21,0
"774",10201807,102,"2011-05-08","Sunday",22,0
"809",10201807,102,"2011-05-08","Sunday",23,0
"5",10201807,102,"2011-05-09","Monday",0,0
"40",10201807,102,"2011-05-09","Monday",1,0
"75",10201807,102,"2011-05-09","Monday",2,0
"110",10201807,102,"2011-05-09","Monday",3,0
"145",10201807,102,"2011-05-09","Monday",4,0
"180",10201807,102,"2011-05-09","Monday",5,0
"215",10201807,102,"2011-05-09","Monday",6,0
"250",10201807,102,"2011-05-09","Monday",7,0
"285",10201807,102,"2011-05-09","Monday",8,0
"320",10201807,102,"2011-05-09","Monday",9,0
"355",10201807,102,"2011-05-09","Monday",10,0
"390",10201807,102,"2011-05-09","Monday",11,0
"425",10201807,102,"2011-05-09","Monday",12,0
"460",10201807,102,"2011-05-09","Monday",13,0
"495",10201807,102,"2011-05-09","Monday",14,0
"530",10201807,102,"2011-05-09","Monday",15,0
"565",10201807,102,"2011-05-09","Monday",16,0
"600",10201807,102,"2011-05-09","Monday",17,0
"635",10201807,102,"2011-05-09","Monday",18,0
"670",10201807,102,"2011-05-09","Monday",19,0
"705",10201807,102,"2011-05-09","Monday",20,0
"740",10201807,102,"2011-05-09","Monday",21,0
"775",10201807,102,"2011-05-09","Monday",22,0
"810",10201807,102,"2011-05-09","Monday",23,0
"6",10201807,102,"2011-05-10","Tuesday",0,0
"41",10201807,102,"2011-05-10","Tuesday",1,0
"76",10201807,102,"2011-05-10","Tuesday",2,0
"111",10201807,102,"2011-05-10","Tuesday",3,0
"146",10201807,102,"2011-05-10","Tuesday",4,0
"181",10201807,102,"2011-05-10","Tuesday",5,0
"216",10201807,102,"2011-05-10","Tuesday",6,0
"251",10201807,102,"2011-05-10","Tuesday",7,0
"286",10201807,102,"2011-05-10","Tuesday",8,0
"321",10201807,102,"2011-05-10","Tuesday",9,0
"356",10201807,102,"2011-05-10","Tuesday",10,0
"391",10201807,102,"2011-05-10","Tuesday",11,0
"426",10201807,102,"2011-05-10","Tuesday",12,0
"461",10201807,102,"2011-05-10","Tuesday",13,0
"496",10201807,102,"2011-05-10","Tuesday",14,0
"531",10201807,102,"2011-05-10","Tuesday",15,0
"566",10201807,102,"2011-05-10","Tuesday",16,1
"601",10201807,102,"2011-05-10","Tuesday",17,0
"636",10201807,102,"2011-05-10","Tuesday",18,0
"671",10201807,102,"2011-05-10","Tuesday",19,0
"706",10201807,102,"2011-05-10","Tuesday",20,0
"741",10201807,102,"2011-05-10","Tuesday",21,0
"776",10201807,102,"2011-05-10","Tuesday",22,0
"811",10201807,102,"2011-05-10","Tuesday",23,0
"7",10201807,102,"2011-05-11","Wednesday",0,0
"42",10201807,102,"2011-05-11","Wednesday",1,0
"77",10201807,102,"2011-05-11","Wednesday",2,0
"112",10201807,102,"2011-05-11","Wednesday",3,0
"147",10201807,102,"2011-05-11","Wednesday",4,0
"182",10201807,102,"2011-05-11","Wednesday",5,0
"217",10201807,102,"2011-05-11","Wednesday",6,0
"252",10201807,102,"2011-05-11","Wednesday",7,0
"287",10201807,102,"2011-05-11","Wednesday",8,0
"322",10201807,102,"2011-05-11","Wednesday",9,0
"357",10201807,102,"2011-05-11","Wednesday",10,0
"392",10201807,102,"2011-05-11","Wednesday",11,0
"427",10201807,102,"2011-05-11","Wednesday",12,0
"462",10201807,102,"2011-05-11","Wednesday",13,0
"497",10201807,102,"2011-05-11","Wednesday",14,0
"532",10201807,102,"2011-05-11","Wednesday",15,0
"567",10201807,102,"2011-05-11","Wednesday",16,0
"602",10201807,102,"2011-05-11","Wednesday",17,0
