"","LocationID1","LocationID2","Date","WeekDay","Hour","Value"
"1",10202407,102,"2011-06-06","Monday",0,NA
"22",10202407,102,"2011-06-06","Monday",1,NA
"43",10202407,102,"2011-06-06","Monday",2,NA
"64",10202407,102,"2011-06-06","Monday",3,NA
"85",10202407,102,"2011-06-06","Monday",4,NA
"106",10202407,102,"2011-06-06","Monday",5,NA
"127",10202407,102,"2011-06-06","Monday",6,NA
"148",10202407,102,"2011-06-06","Monday",7,NA
"169",10202407,102,"2011-06-06","Monday",8,NA
"190",10202407,102,"2011-06-06","Monday",9,NA
"211",10202407,102,"2011-06-06","Monday",10,NA
"232",10202407,102,"2011-06-06","Monday",11,NA
"253",10202407,102,"2011-06-06","Monday",12,NA
"274",10202407,102,"2011-06-06","Monday",13,NA
"295",10202407,102,"2011-06-06","Monday",14,NA
"316",10202407,102,"2011-06-06","Monday",15,2
"337",10202407,102,"2011-06-06","Monday",16,0
"358",10202407,102,"2011-06-06","Monday",17,0
"379",10202407,102,"2011-06-06","Monday",18,0
"400",10202407,102,"2011-06-06","Monday",19,0
"421",10202407,102,"2011-06-06","Monday",20,0
"442",10202407,102,"2011-06-06","Monday",21,0
"463",10202407,102,"2011-06-06","Monday",22,0
"484",10202407,102,"2011-06-06","Monday",23,0
"2",10202407,102,"2011-06-07","Tuesday",0,0
"23",10202407,102,"2011-06-07","Tuesday",1,0
"44",10202407,102,"2011-06-07","Tuesday",2,0
"65",10202407,102,"2011-06-07","Tuesday",3,0
"86",10202407,102,"2011-06-07","Tuesday",4,0
"107",10202407,102,"2011-06-07","Tuesday",5,0
"128",10202407,102,"2011-06-07","Tuesday",6,0
"149",10202407,102,"2011-06-07","Tuesday",7,0
"170",10202407,102,"2011-06-07","Tuesday",8,0
"191",10202407,102,"2011-06-07","Tuesday",9,0
"212",10202407,102,"2011-06-07","Tuesday",10,0
"233",10202407,102,"2011-06-07","Tuesday",11,0
"254",10202407,102,"2011-06-07","Tuesday",12,0
"275",10202407,102,"2011-06-07","Tuesday",13,0
"296",10202407,102,"2011-06-07","Tuesday",14,0
"317",10202407,102,"2011-06-07","Tuesday",15,0
"338",10202407,102,"2011-06-07","Tuesday",16,0
"359",10202407,102,"2011-06-07","Tuesday",17,1
"380",10202407,102,"2011-06-07","Tuesday",18,6
"401",10202407,102,"2011-06-07","Tuesday",19,6
"422",10202407,102,"2011-06-07","Tuesday",20,1
"443",10202407,102,"2011-06-07","Tuesday",21,0
"464",10202407,102,"2011-06-07","Tuesday",22,0
"485",10202407,102,"2011-06-07","Tuesday",23,0
"3",10202407,102,"2011-06-08","Wednesday",0,0
"24",10202407,102,"2011-06-08","Wednesday",1,0
"45",10202407,102,"2011-06-08","Wednesday",2,0
"66",10202407,102,"2011-06-08","Wednesday",3,0
"87",10202407,102,"2011-06-08","Wednesday",4,0
"108",10202407,102,"2011-06-08","Wednesday",5,0
"129",10202407,102,"2011-06-08","Wednesday",6,0
"150",10202407,102,"2011-06-08","Wednesday",7,0
"171",10202407,102,"2011-06-08","Wednesday",8,0
"192",10202407,102,"2011-06-08","Wednesday",9,0
"213",10202407,102,"2011-06-08","Wednesday",10,81
"234",10202407,102,"2011-06-08","Wednesday",11,101
"255",10202407,102,"2011-06-08","Wednesday",12,133
"276",10202407,102,"2011-06-08","Wednesday",13,126
"297",10202407,102,"2011-06-08","Wednesday",14,146
"318",10202407,102,"2011-06-08","Wednesday",15,362
"339",10202407,102,"2011-06-08","Wednesday",16,529
"360",10202407,102,"2011-06-08","Wednesday",17,421
"381",10202407,102,"2011-06-08","Wednesday",18,298
"402",10202407,102,"2011-06-08","Wednesday",19,243
"423",10202407,102,"2011-06-08","Wednesday",20,243
"444",10202407,102,"2011-06-08","Wednesday",21,109
"465",10202407,102,"2011-06-08","Wednesday",22,52
"486",10202407,102,"2011-06-08","Wednesday",23,21
"4",10202407,102,"2011-06-09","Thursday",0,13
"25",10202407,102,"2011-06-09","Thursday",1,4
"46",10202407,102,"2011-06-09","Thursday",2,2
"67",10202407,102,"2011-06-09","Thursday",3,1
"88",10202407,102,"2011-06-09","Thursday",4,1
"109",10202407,102,"2011-06-09","Thursday",5,39
"130",10202407,102,"2011-06-09","Thursday",6,237
"151",10202407,102,"2011-06-09","Thursday",7,480
"172",10202407,102,"2011-06-09","Thursday",8,445
"193",10202407,102,"2011-06-09","Thursday",9,198
"214",10202407,102,"2011-06-09","Thursday",10,118
"235",10202407,102,"2011-06-09","Thursday",11,93
"256",10202407,102,"2011-06-09","Thursday",12,111
"277",10202407,102,"2011-06-09","Thursday",13,104
"298",10202407,102,"2011-06-09","Thursday",14,167
"319",10202407,102,"2011-06-09","Thursday",15,353
"340",10202407,102,"2011-06-09","Thursday",16,504
"361",10202407,102,"2011-06-09","Thursday",17,419
"382",10202407,102,"2011-06-09","Thursday",18,288
"403",10202407,102,"2011-06-09","Thursday",19,237
"424",10202407,102,"2011-06-09","Thursday",20,275
"445",10202407,102,"2011-06-09","Thursday",21,140
"466",10202407,102,"2011-06-09","Thursday",22,60
"487",10202407,102,"2011-06-09","Thursday",23,27
"5",10202407,102,"2011-06-10","Friday",0,18
"26",10202407,102,"2011-06-10","Friday",1,6
"47",10202407,102,"2011-06-10","Friday",2,3
"68",10202407,102,"2011-06-10","Friday",3,0
"89",10202407,102,"2011-06-10","Friday",4,2
"110",10202407,102,"2011-06-10","Friday",5,32
"131",10202407,102,"2011-06-10","Friday",6,173
"152",10202407,102,"2011-06-10","Friday",7,412
"173",10202407,102,"2011-06-10","Friday",8,345
"194",10202407,102,"2011-06-10","Friday",9,176
"215",10202407,102,"2011-06-10","Friday",10,93
"236",10202407,102,"2011-06-10","Friday",11,91
"257",10202407,102,"2011-06-10","Friday",12,109
"278",10202407,102,"2011-06-10","Friday",13,178
"299",10202407,102,"2011-06-10","Friday",14,191
"320",10202407,102,"2011-06-10","Friday",15,481
"341",10202407,102,"2011-06-10","Friday",16,727
"362",10202407,102,"2011-06-10","Friday",17,717
"383",10202407,102,"2011-06-10","Friday",18,594
"404",10202407,102,"2011-06-10","Friday",19,717
"425",10202407,102,"2011-06-10","Friday",20,701
"446",10202407,102,"2011-06-10","Friday",21,287
"467",10202407,102,"2011-06-10","Friday",22,47
"488",10202407,102,"2011-06-10","Friday",23,27
"6",10202407,102,"2011-06-11","Saturday",0,21
"27",10202407,102,"2011-06-11","Saturday",1,10
"48",10202407,102,"2011-06-11","Saturday",2,9
"69",10202407,102,"2011-06-11","Saturday",3,3
"90",10202407,102,"2011-06-11","Saturday",4,5
"111",10202407,102,"2011-06-11","Saturday",5,6
"132",10202407,102,"2011-06-11","Saturday",6,26
"153",10202407,102,"2011-06-11","Saturday",7,20
"174",10202407,102,"2011-06-11","Saturday",8,53
"195",10202407,102,"2011-06-11","Saturday",9,56
"216",10202407,102,"2011-06-11","Saturday",10,90
"237",10202407,102,"2011-06-11","Saturday",11,110
"258",10202407,102,"2011-06-11","Saturday",12,143
"279",10202407,102,"2011-06-11","Saturday",13,153
"300",10202407,102,"2011-06-11","Saturday",14,136
"321",10202407,102,"2011-06-11","Saturday",15,130
"342",10202407,102,"2011-06-11","Saturday",16,139
"363",10202407,102,"2011-06-11","Saturday",17,115
"384",10202407,102,"2011-06-11","Saturday",18,108
"405",10202407,102,"2011-06-11","Saturday",19,124
"426",10202407,102,"2011-06-11","Saturday",20,54
"447",10202407,102,"2011-06-11","Saturday",21,56
"468",10202407,102,"2011-06-11","Saturday",22,37
"489",10202407,102,"2011-06-11","Saturday",23,34
"7",10202407,102,"2011-06-12","Sunday",0,13
"28",10202407,102,"2011-06-12","Sunday",1,9
"49",10202407,102,"2011-06-12","Sunday",2,9
"70",10202407,102,"2011-06-12","Sunday",3,6
"91",10202407,102,"2011-06-12","Sunday",4,7
"112",10202407,102,"2011-06-12","Sunday",5,4
"133",10202407,102,"2011-06-12","Sunday",6,17
"154",10202407,102,"2011-06-12","Sunday",7,20
"175",10202407,102,"2011-06-12","Sunday",8,35
"196",10202407,102,"2011-06-12","Sunday",9,58
"217",10202407,102,"2011-06-12","Sunday",10,96
"238",10202407,102,"2011-06-12","Sunday",11,124
"259",10202407,102,"2011-06-12","Sunday",12,169
"280",10202407,102,"2011-06-12","Sunday",13,176
"301",10202407,102,"2011-06-12","Sunday",14,194
"322",10202407,102,"2011-06-12","Sunday",15,150
"343",10202407,102,"2011-06-12","Sunday",16,179
"364",10202407,102,"2011-06-12","Sunday",17,172
"385",10202407,102,"2011-06-12","Sunday",18,160
"406",10202407,102,"2011-06-12","Sunday",19,143
"427",10202407,102,"2011-06-12","Sunday",20,104
"448",10202407,102,"2011-06-12","Sunday",21,60
"469",10202407,102,"2011-06-12","Sunday",22,32
"490",10202407,102,"2011-06-12","Sunday",23,13
"8",10202407,102,"2011-06-13","Monday",0,11
"29",10202407,102,"2011-06-13","Monday",1,2
"50",10202407,102,"2011-06-13","Monday",2,4
"71",10202407,102,"2011-06-13","Monday",3,2
"92",10202407,102,"2011-06-13","Monday",4,2
"113",10202407,102,"2011-06-13","Monday",5,21
"134",10202407,102,"2011-06-13","Monday",6,163
"155",10202407,102,"2011-06-13","Monday",7,295
"176",10202407,102,"2011-06-13","Monday",8,316
"197",10202407,102,"2011-06-13","Monday",9,112
"218",10202407,102,"2011-06-13","Monday",10,60
"239",10202407,102,"2011-06-13","Monday",11,41
"260",10202407,102,"2011-06-13","Monday",12,26
"281",10202407,102,"2011-06-13","Monday",13,30
"302",10202407,102,"2011-06-13","Monday",14,71
"323",10202407,102,"2011-06-13","Monday",15,156
"344",10202407,102,"2011-06-13","Monday",16,265
"365",10202407,102,"2011-06-13","Monday",17,197
"386",10202407,102,"2011-06-13","Monday",18,130
"407",10202407,102,"2011-06-13","Monday",19,78
"428",10202407,102,"2011-06-13","Monday",20,63
"449",10202407,102,"2011-06-13","Monday",21,51
"470",10202407,102,"2011-06-13","Monday",22,15
"491",10202407,102,"2011-06-13","Monday",23,13
"9",10202407,102,"2011-06-14","Tuesday",0,7
"30",10202407,102,"2011-06-14","Tuesday",1,6
"51",10202407,102,"2011-06-14","Tuesday",2,8
"72",10202407,102,"2011-06-14","Tuesday",3,0
"93",10202407,102,"2011-06-14","Tuesday",4,0
"114",10202407,102,"2011-06-14","Tuesday",5,0
"135",10202407,102,"2011-06-14","Tuesday",6,0
"156",10202407,102,"2011-06-14","Tuesday",7,0
"177",10202407,102,"2011-06-14","Tuesday",8,0
"198",10202407,102,"2011-06-14","Tuesday",9,0
"219",10202407,102,"2011-06-14","Tuesday",10,0
